table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_structures,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
765,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['558,899', '&nbsp;']","['28,203', '&nbsp;']","['3,674', '&nbsp;']","['13,704', '&nbsp;']","['6,970', '&nbsp;']","['3,856', '&nbsp;']"
765,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['229,229', '&nbsp;']","['16,626', '&nbsp;']","['2,789', '&nbsp;']","['9,241', '&nbsp;']","['1,738', '&nbsp;']","['2,858', '&nbsp;']"
765,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['14,601', '&nbsp;']","['420', '&nbsp;']","['82', '&nbsp;']","['310', '&nbsp;']","['7', '&nbsp;']","['21', '&nbsp;']"
765,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['6,138', '&nbsp;']","['59', '&nbsp;']","['17', '&nbsp;']","['40', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']"
765,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['2,675', '&nbsp;']","['46', 'i']","['8', 'i']","['26', 'i']","['7', 'i']","['5', 'i']"
765,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['1,377', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
765,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['5,295', '&nbsp;']","['24', 'i']","['*', 'i']","['24', 'i']","['0', '&nbsp;']","['*', 'i']"
765,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1,627', 'i']","['62', 'i']","['2', 'i']","['5', 'i']","['55', 'i']","['*', '&nbsp;']"
765,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['6,092', '&nbsp;']","['43', '&nbsp;']","['D', '&nbsp;']","['23', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
765,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['52,704', '&nbsp;']","['3,839', '&nbsp;']","['849', '&nbsp;']","['2,116', '&nbsp;']","['457', '&nbsp;']","['417', '&nbsp;']"
765,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['18,229', '&nbsp;']","['456', '&nbsp;']","['42', '&nbsp;']","['312', '&nbsp;']","['54', '&nbsp;']","['48', '&nbsp;']"
765,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['7,094', '&nbsp;']","['95', '&nbsp;']","['12', '&nbsp;']","['63', '&nbsp;']","['4', '&nbsp;']","['16', 'i']"
765,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['5,078', '&nbsp;']","['201', '&nbsp;']","['4', '&nbsp;']","['95', '&nbsp;']","['*', '&nbsp;']","['103', '&nbsp;']"
