table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7311,r001,All states and outlying areas,All states and outlying areas,,,1,39122152.2,36569461.0,400144.6,19753.3,1621880.0,95944.0,414969.3
7311,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,531815.2,494908.4,1885.6,399.3,28816.5,3821.7,1983.7
7311,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,7938.1,7039.0,0.0,0.0,0.0,522.5,376.6
7311,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,2259.9,1121.9,0.0,0.0,1138.0,0.0,0.0
7311,r005,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,48541.0,45966.8,280.5,0.0,1824.4,0.0,469.3
7311,r006,All states and outlying areas -> Alabama -> Birmingham Southern C.,All states and outlying areas,Alabama,Birmingham Southern C.,3,50.0,0.0,0.0,0.0,0.0,50.0,0.0
7311,r007,"All states and outlying areas -> Alabama -> Lawson State Community C., Birmingham",All states and outlying areas,Alabama,"Lawson State Community C., Birmingham",3,521.1,104.2,0.0,0.0,416.9,0.0,0.0
7311,r008,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,1622.5,1599.5,0.0,0.0,23.0,0.0,0.0
7311,r009,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,183.7,0.0,0.0,0.0,0.0,0.0,183.7
7311,r010,All states and outlying areas -> Alabama -> Spring Hill C.,All states and outlying areas,Alabama,Spring Hill C.,3,75.0,1.5,0.0,0.0,73.5,0.0,0.0
7311,r011,All states and outlying areas -> Alabama -> Stillman C.,All states and outlying areas,Alabama,Stillman C.,3,249.9,0.0,0.0,0.0,0.0,0.0,249.9
7311,r012,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,3082.7,3082.7,0.0,0.0,0.0,0.0,0.0
7311,r013,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,10615.4,8480.5,0.0,0.0,2129.9,5.0,0.0
