table_id,row_id,field_full_path,field_level_1,field_level_2,field_hierarchy_depth,field_started_in_fy_2018_or_fy_2019,field_planned_to_start_in_fy_2020_or_fy_2021,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
2941,r001,All research space,All research space,,1,5483.4,5307.2,5981.9,4394.7
2941,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,196.1,128.8,504.4,211.9
2941,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,1745.2,1826.8,1645.2,934.8
2941,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,110.6,74.9,151.2,55.3
2941,r005,All research space -> Engineering,All research space,Engineering,2,757.7,897.1,1019.1,786.2
2941,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,237.4,175.1,247.0,240.8
2941,r007,All research space -> Health sciences,All research space,Health sciences,2,1376.7,876.7,690.6,548.2
2941,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,14.7,94.3,166.1,75.5
2941,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,73.0,66.2,108.4,99.6
2941,r010,All research space -> Physical sciences,All research space,Physical sciences,2,526.1,883.8,870.5,749.3
2941,r011,All research space -> Psychology,All research space,Psychology,2,139.1,160.8,321.4,270.1
2941,r012,All research space -> Social sciences,All research space,Social sciences,2,199.5,96.7,187.0,271.3
2941,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,107.5,26.0,70.9,151.8
