table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10397,r001,All states and outlying areas,All states and outlying areas,,,1,43222829,39504025,418694,11320,1750588,1538202
10397,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,581957,498006,4331,0,46801,32818
10397,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,21957,11430,0,0,3606,6921
10397,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,3256,2456,0,0,800,0
10397,r005,All states and outlying areas -> Alabama -> Athens State U.,All states and outlying areas,Alabama,Athens State U.,3,650,162,0,0,487,0
10397,r006,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,74736,56204,0,0,7663,10868
10397,r007,All states and outlying areas -> Alabama -> Jacksonville State U.,All states and outlying areas,Alabama,Jacksonville State U.,3,1050,1050,0,0,0,0
10397,r008,"All states and outlying areas -> Alabama -> Lawson State Community C., Birmingham",All states and outlying areas,Alabama,"Lawson State Community C., Birmingham",3,394,79,0,0,315,0
10397,r009,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,1341,1341,0,0,0,0
10397,r010,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,1007,123,0,0,493,390
10397,r011,All states and outlying areas -> Alabama -> Samford U.,All states and outlying areas,Alabama,Samford U.,3,2387,250,0,0,2137,0
10397,r012,All states and outlying areas -> Alabama -> Stillman C.,All states and outlying areas,Alabama,Stillman C.,3,709,395,0,0,100,214
10397,r013,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,1337,1337,0,0,0,0
10397,r014,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,21979,11528,346,0,8267,1838
10397,r015,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,363792,336501,3546,0,13555,10190
10397,r016,"All states and outlying areas -> Alabama -> U. Alabama, The, Huntsville",All states and outlying areas,Alabama,"U. Alabama, The, Huntsville",3,28877,28239,439,0,0,198
