table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_spending_on_environment_too_little,field_spending_on_environment_about_right,field_spending_on_environment_too_much,field_spending_on_environment_don_t_know
2270,r001,"All adults (<i>n</i> = 2,348)","All adults (<i>n</i> = 2,348)",,1,66,24,7,3
2270,r002,Sex,Sex,,1,,,,
2270,r003,"Sex -> Male (<i>n</i> = 1,052)",Sex,"Male (<i>n</i> = 1,052)",2,64,26,8,2
2270,r004,"Sex -> Female (<i>n</i> = 1,296)",Sex,"Female (<i>n</i> = 1,296)",2,69,22,6,3
2270,r005,Formal education,Formal education,,1,,,,
2270,r006,Formal education -> Less than high school diploma (<i>n</i> = 262),Formal education,Less than high school diploma (<i>n</i> = 262),2,54,31,10,5
2270,r007,Formal education -> High school diploma (<i>n</i> = 704),Formal education,High school diploma (<i>n</i> = 704),2,66,24,6,3
2270,r008,Formal education -> Some college (<i>n</i> = 670),Formal education,Some college (<i>n</i> = 670),2,68,23,7,2
2270,r009,Formal education -> Bachelor's degree (<i>n</i> = 465),Formal education,Bachelor's degree (<i>n</i> = 465),2,70,23,6,2
2270,r010,Formal education -> Graduate or professional degree (<i>n</i> = 247),Formal education,Graduate or professional degree (<i>n</i> = 247),2,70,18,8,4
2270,r011,"Science and mathematics education<sup>a</sup><sup>,b</sup>","Science and mathematics education<sup>a</sup><sup>,b</sup>",,1,,,,
2270,r012,"Science and mathematics education<sup>a</sup><sup>,b</sup> -> Low (<i>n</i> = 598)","Science and mathematics education<sup>a</sup><sup>,b</sup>",Low (<i>n</i> = 598),2,62,28,8,2
2270,r013,"Science and mathematics education<sup>a</sup><sup>,b</sup> -> Middle (<i>n</i> = 237)","Science and mathematics education<sup>a</sup><sup>,b</sup>",Middle (<i>n</i> = 237),2,72,19,6,4
2270,r014,"Science and mathematics education<sup>a</sup><sup>,b</sup> -> High (<i>n</i> = 252)","Science and mathematics education<sup>a</sup><sup>,b</sup>",High (<i>n</i> = 252),2,73,19,8,1
2270,r015,Family income (quartile)<sup>b</sup>,Family income (quartile)<sup>b</sup>,,1,,,,
2270,r016,Family income (quartile)<sup>b</sup> -> Bottom (<i>n</i> = 534),Family income (quartile)<sup>b</sup>,Bottom (<i>n</i> = 534),2,65,23,8,3
2270,r017,Family income (quartile)<sup>b</sup> -> Third (<i>n</i> = 456),Family income (quartile)<sup>b</sup>,Third (<i>n</i> = 456),2,68,24,4,4
2270,r018,Family income (quartile)<sup>b</sup> -> Second (<i>n</i> = 569),Family income (quartile)<sup>b</sup>,Second (<i>n</i> = 569),2,68,23,7,2
2270,r019,Family income (quartile)<sup>b</sup> -> Top (<i>n</i> = 593),Family income (quartile)<sup>b</sup>,Top (<i>n</i> = 593),2,68,23,8,1
2270,r020,Age (years)<sup>b</sup>,Age (years)<sup>b</sup>,,1,,,,
2270,r021,Age (years)<sup>b</sup> -> 18&#8211;24 (<i>n</i> = 197),Age (years)<sup>b</sup>,18&#8211;24 (<i>n</i> = 197),2,74,21,3,2
2270,r022,Age (years)<sup>b</sup> -> 25&#8211;34 (<i>n</i> = 435),Age (years)<sup>b</sup>,25&#8211;34 (<i>n</i> = 435),2,74,20,4,3
2270,r023,Age (years)<sup>b</sup> -> 35&#8211;44 (<i>n</i> = 416),Age (years)<sup>b</sup>,35&#8211;44 (<i>n</i> = 416),2,69,22,6,3
2270,r024,Age (years)<sup>b</sup> -> 45&#8211;54 (<i>n</i> = 355),Age (years)<sup>b</sup>,45&#8211;54 (<i>n</i> = 355),2,66,26,6,1
2270,r025,Age (years)<sup>b</sup> -> 55&#8211;64 (<i>n</i> = 399),Age (years)<sup>b</sup>,55&#8211;64 (<i>n</i> = 399),2,60,25,13,2
2270,r026,Age (years)<sup>b</sup> -> 65 or older (<i>n</i> = 539),Age (years)<sup>b</sup>,65 or older (<i>n</i> = 539),2,57,29,9,5
2270,r027,Correct answers to questions about basic scientific facts<sup>c</sup>,Correct answers to questions about basic scientific facts<sup>c</sup>,,1,,,,
2270,r028,Correct answers to questions about basic scientific facts<sup>c</sup> -> Low (<i>n </i>= 227),Correct answers to questions about basic scientific facts<sup>c</sup>,Low (<i>n </i>= 227),2,57,28,9,6
2270,r029,Correct answers to questions about basic scientific facts<sup>c</sup> -> Middle (<i>n </i>= 512),Correct answers to questions about basic scientific facts<sup>c</sup>,Middle (<i>n </i>= 512),2,64,26,7,2
2270,r030,Correct answers to questions about basic scientific facts<sup>c</sup> -> High (<i>n </i>= 436),Correct answers to questions about basic scientific facts<sup>c</sup>,High (<i>n </i>= 436),2,72,19,7,1
