table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_hierarchy_depth,value
10101,r001,2010,Total,All R&D expenditures,2,61286610
10101,r002,2010,Total,Basic research,2,40949184
10101,r003,2010,Total,Applied research,2,15107127
10101,r004,2010,Total,Experimental development,2,5230299
10101,r005,2010,Federal,All R&D expenditures,2,37477582
10101,r006,2010,Federal,Basic research,2,25677713
10101,r007,2010,Federal,Applied research,2,9133503
10101,r008,2010,Federal,Experimental development,2,2666366
10101,r009,2010,Nonfederal,All R&D expenditures,2,23809028
10101,r010,2010,Nonfederal,Basic research,2,15271471
10101,r011,2010,Nonfederal,Applied research,2,5973624
10101,r012,2010,Nonfederal,Experimental development,2,2563933
10101,r013,2011,Total,All R&D expenditures,2,65274393
10101,r014,2011,Total,Basic research,2,43455207
10101,r015,2011,Total,Applied research,2,16298883
10101,r016,2011,Total,Experimental development,2,5520303
10101,r017,2011,Federal,All R&D expenditures,2,40768251
10101,r018,2011,Federal,Basic research,2,27675430
10101,r019,2011,Federal,Applied research,2,10227797
10101,r020,2011,Federal,Experimental development,2,2865024
10101,r021,2011,Nonfederal,All R&D expenditures,2,24506142
10101,r022,2011,Nonfederal,Basic research,2,15779777
10101,r023,2011,Nonfederal,Applied research,2,6071086
10101,r024,2011,Nonfederal,Experimental development,2,2655279
10101,r025,2012,Total,All R&D expenditures,2,65729007
10101,r026,2012,Total,Basic research,2,43119743
10101,r027,2012,Total,Applied research,2,16787565
10101,r028,2012,Total,Experimental development,2,5821699
10101,r029,2012,Federal,All R&D expenditures,2,40142223
10101,r030,2012,Federal,Basic research,2,26850432
10101,r031,2012,Federal,Applied research,2,10268318
10101,r032,2012,Federal,Experimental development,2,3023473
10101,r033,2012,Nonfederal,All R&D expenditures,2,25586784
10101,r034,2012,Nonfederal,Basic research,2,16269311
10101,r035,2012,Nonfederal,Applied research,2,6519247
10101,r036,2012,Nonfederal,Experimental development,2,2798226
10101,r037,2013,Total,All R&D expenditures,2,66977566
10101,r038,2013,Total,Basic research,2,43976241
10101,r039,2013,Total,Applied research,2,16905628
10101,r040,2013,Total,Experimental development,2,6095697
10101,r041,2013,Federal,All R&D expenditures,2,39445931
10101,r042,2013,Federal,Basic research,2,26409024
10101,r043,2013,Federal,Applied research,2,10052792
10101,r044,2013,Federal,Experimental development,2,2984115
10101,r045,2013,Nonfederal,All R&D expenditures,2,27531635
10101,r046,2013,Nonfederal,Basic research,2,17567217
10101,r047,2013,Nonfederal,Applied research,2,6852836
10101,r048,2013,Nonfederal,Experimental development,2,3111582
10101,r049,2014,Total,All R&D expenditures,2,67161428
10101,r050,2014,Total,Basic research,2,43594083
10101,r051,2014,Total,Applied research,2,17313106
10101,r052,2014,Total,Experimental development,2,6254239
10101,r053,2014,Federal,All R&D expenditures,2,37961118
10101,r054,2014,Federal,Basic research,2,25210261
10101,r055,2014,Federal,Applied research,2,9775786
10101,r056,2014,Federal,Experimental development,2,2975071
10101,r057,2014,Nonfederal,All R&D expenditures,2,29200310
10101,r058,2014,Nonfederal,Basic research,2,18383822
10101,r059,2014,Nonfederal,Applied research,2,7537320
10101,r060,2014,Nonfederal,Experimental development,2,3279168
10101,r061,2015,Total,All R&D expenditures,2,68519962
10101,r062,2015,Total,Basic research,2,44385516
10101,r063,2015,Total,Applied research,2,17538719
10101,r064,2015,Total,Experimental development,2,6595727
10101,r065,2015,Federal,All R&D expenditures,2,37846802
10101,r066,2015,Federal,Basic research,2,25241977
10101,r067,2015,Federal,Applied research,2,9694550
10101,r068,2015,Federal,Experimental development,2,2910275
10101,r069,2015,Nonfederal,All R&D expenditures,2,30673160
10101,r070,2015,Nonfederal,Basic research,2,19143539
10101,r071,2015,Nonfederal,Applied research,2,7844169
10101,r072,2015,Nonfederal,Experimental development,2,3685452
10101,r073,2016,Total,All R&D expenditures,2,71736671
10101,r074,2016,Total,Basic research,2,45696888
10101,r075,2016,Total,Applied research,2,19412183
10101,r076,2016,Total,Experimental development,2,6627600
10101,r077,2016,Federal,All R&D expenditures,2,38787997
10101,r078,2016,Federal,Basic research,2,25301874
10101,r079,2016,Federal,Applied research,2,10582251
10101,r080,2016,Federal,Experimental development,2,2903872
10101,r081,2016,Nonfederal,All R&D expenditures,2,32948674
10101,r082,2016,Nonfederal,Basic research,2,20395014
10101,r083,2016,Nonfederal,Applied research,2,8829932
10101,r084,2016,Nonfederal,Experimental development,2,3723728
10101,r085,2017,Total,All R&D expenditures,2,75148301
10101,r086,2017,Total,Basic research,2,47203811
10101,r087,2017,Total,Applied research,2,20816604
