table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
2754,r001,Total,Total,,,1,"['10,700', '  ']","['797', '  ']"
2754,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['46', '  ']","['1', '  ']"
2754,r003,Total -> Canada,Total,Canada,,2,"['457', '  ']","['40', '  ']"
2754,r004,Total -> Latin America and Other Western Hemisphere,Total,Latin America and Other Western Hemisphere,,2,"['1,673', '  ']","['38', '  ']"
2754,r005,Total -> Latin America and Other Western Hemisphere -> Argentina,Total,Latin America and Other Western Hemisphere,Argentina,3,"['72', '  ']","['4', '  ']"
2754,r006,Total -> Latin America and Other Western Hemisphere -> Brazil,Total,Latin America and Other Western Hemisphere,Brazil,3,"['344', '  ']","['12', '  ']"
2754,r007,Total -> Latin America and Other Western Hemisphere -> Chile,Total,Latin America and Other Western Hemisphere,Chile,3,"['55', '  ']","['1', '  ']"
2754,r008,Total -> Latin America and Other Western Hemisphere -> Mexico,Total,Latin America and Other Western Hemisphere,Mexico,3,"['899', '  ']","['17', '  ']"
2754,r009,Total -> Latin America and Other Western Hemisphere -> Other Latin American and Western Hemisphere locations,Total,Latin America and Other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['303', '  ']","['4', '  ']"
2754,r010,Total -> Africa,Total,Africa,,2,"['182', '  ']","['5', '  ']"
2754,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['49', '  ']","['3', '  ']"
2754,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['132', '  ']","['2', '  ']"
2754,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['3,008', '  ']","['336', '  ']"
2754,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['152', '  ']","['12', '  ']"
2754,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['881', '  ']","['73', '  ']"
2754,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['43', '  ']","['2', '  ']"
2754,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['867', '  ']","['173', '  ']"
2754,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['99', '  ']","['*', '  ']"
2754,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['200', '  ']","['22', '  ']"
2754,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['101', '  ']","['7', '  ']"
2754,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['14', '  ']","['1', '  ']"
2754,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['144', '  ']","['11', '  ']"
2754,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['79', '  ']","['9', '  ']"
2754,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['73', '  ']","['13', '  ']"
2754,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['107', '  ']","['3', '  ']"
2754,r026,Total -> Asia and Pacific -> Other Asian/Pacific locations,Total,Asia and Pacific,Other Asian/Pacific locations,3,"['249', '  ']","['11', '  ']"
2754,r027,Total -> Europe,Total,Europe,,2,"['2,896', '  ']","['268', '  ']"
2754,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['29', '  ']","['3', '  ']"
2754,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['84', '  ']","['11', '  ']"
2754,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['77', '  ']","['6', '  ']"
2754,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['22', '  ']","['3', '  ']"
2754,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['18', '  ']","['3', '  ']"
2754,r033,Total -> Europe -> France,Total,Europe,France,3,"['263', '  ']","['21', '  ']"
2754,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['454', '  ']","['47', '  ']"
2754,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['49', '  ']","['3', '  ']"
2754,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['116', '  ']","['14', '  ']"
2754,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['152', '  ']","['13', '  ']"
2754,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['11', '  ']","['2', '  ']"
2754,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['116', '  ']","['11', '  ']"
2754,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['26', '  ']","['2', '  ']"
2754,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['169', '  ']","['10', '  ']"
2754,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['102', '  ']","['6', '  ']"
2754,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['109', '  ']","['10', '  ']"
2754,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['40', '  ']","['6', '  ']"
2754,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['71', '  ']","['10', '  ']"
2754,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['44', '  ']","['1', '  ']"
2754,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['695', '  ']","['68', '  ']"
2754,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['249', '  ']","['18', '  ']"
2754,r049,Total -> Middle East,Total,Middle East,,2,"['161', '  ']","['25', '  ']"
2754,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['57', '  ']","['23', '  ']"
