table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10103,r001,All R&D fields,All R&D fields,,,,1,37477582,40768251,40142223,39445931,37961118,37846802,38787997,40248058,41860369,44460327,46106539,49116033,53971468
10103,r002,All R&D fields -> Science,All R&D fields,Science,,,2,30791579,33373047,32497010,31764798,30400058,30316969,31092549,32203558,33519201,35549587,36748656,39046586,42786338
10103,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1175343,1294280,1360430,1552300,1390677,1419654,1443353,1497617,1630004,1794451,1999926,1994423,2184767
10103,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2013754,2181206,2203399,2094769,2049449,2065928,1991778,2042334,2048305,2067218,2108685,2144257,2478702
10103,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,338687,383740,389095,397620,389370,453694,513280,503368,485737,460463,470710,483964,528068
10103,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,735094,799906,818785,767849,740590,699066,604474,685673,697973,676569,696982,771983,875493
10103,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,666930,705852,673888,662219,663049,647098,665139,656802,649212,698401,713042,640209,785545
10103,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,273043,291708,321631,267081,256440,266070,208885,196491,215383,231785,227951,248101,289596
10103,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,21702125,23663408,22753602,22227173,21270352,21163876,21794872,22749301,23864701,25435484,26229693,28446519,30958717
10103,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,957710,1042740,1137729,1111006,1084890,1096949,977258,978308,950634,989763,1073703,1100161,1265977
