table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5418,r251,"All institutions -> U. Arkansas, Little Rock",All institutions,"U. Arkansas, Little Rock",2,250,"['9,711', '']","['7,289', '']","['259', '']","['1,812', '']","['31', '']","['320', '']","['0', '']"
5418,r252,All institutions -> William Paterson U.,All institutions,William Paterson U.,2,251,"['9,603', '']","['1,896', '']","['0', '']","['7,575', '']","['1', '']","['131', '']","['0', '']"
5418,r253,All institutions -> Salisbury U.,All institutions,Salisbury U.,2,252,"['9,496', '']","['2,413', '']","['3,638', '']","['3,359', '']","['11', '']","['75', '']","['0', '']"
5418,r254,All institutions -> Ball State U.,All institutions,Ball State U.,2,253,"['9,429', '']","['2,397', '']","['453', '']","['5,703', '']","['605', '']","['271', '']","['0', '']"
5418,r255,All institutions -> Eastern Michigan U.,All institutions,Eastern Michigan U.,2,254,"['9,088', '']","['2,598', '']","['63', '']","['5,950', '']","['61', '']","['350', '']","['66', '']"
5418,r256,"All institutions -> California State U., East Bay",All institutions,"California State U., East Bay",2,255,"['9,072', '']","['2,348', '']","['992', '']","['5,434', '']","['77', '']","['221', '']","['0', '']"
5418,r257,"All institutions -> California State U., Fresno",All institutions,"California State U., Fresno",2,256,"['8,856', '']","['3,117', '']","['2,431', '']","['1,949', '']","['455', '']","['904', '']","['0', '']"
5418,r258,"All institutions -> U. Michigan, Dearborn",All institutions,"U. Michigan, Dearborn",2,257,"['8,777', '']","['2,264', '']","['16', '']","['3,984', '']","['2,262', '']","['224', '']","['27', '']"
5418,r259,All institutions -> Alabama A&M U.,All institutions,Alabama A&M U.,2,258,"['8,749', '']","['5,643', '']","['2,541', '']","['448', '']","['117', '']","['0', '']","['0', '']"
5418,r260,All institutions -> Middle Tennessee State U.,All institutions,Middle Tennessee State U.,2,259,"['8,697', '']","['3,062', '']","['421', '']","['4,098', '']","['345', '']","['771', '']","['0', '']"
5418,r261,"All institutions -> Arkansas State U., Jonesboro",All institutions,"Arkansas State U., Jonesboro",2,260,"['8,640', '']","['4,712', '']","['2,987', '']","['746', '']","['187', '']","['1', '']","['7', '']"
5418,r262,"All institutions -> U. Arkansas, Pine Bluff",All institutions,"U. Arkansas, Pine Bluff",2,261,"['8,540', '']","['4,393', '']","['1,748', '']","['2,309', '']","['0', '']","['90', '']","['0', '']"
5418,r263,"All institutions -> Oklahoma State U., Center for Health Sciences",All institutions,"Oklahoma State U., Center for Health Sciences",2,262,"['8,378', '']","['2,618', '']","['147', '']","['5,486', '']","['92', '']","['35', '']","['0', '']"
5418,r264,All institutions -> Western Kentucky U.,All institutions,Western Kentucky U.,2,263,"['8,241', '']","['3,265', '']","['478', '']","['4,250', '']","['153', '']","['83', '']","['12', '']"
5418,r265,"All institutions -> U. Maryland, Eastern Shore",All institutions,"U. Maryland, Eastern Shore",2,264,"['8,092', '']","['8,084', '']","['0', '']","['0', '']","['8', '']","['0', '']","['0', '']"
5418,r266,All institutions -> Kentucky State U.,All institutions,Kentucky State U.,2,265,"['7,963', '']","['4,456', '']","['3,294', '']","['0', '']","['142', '']","['71', '']","['0', '']"
5418,r267,"All institutions -> U. Oklahoma, Tulsa",All institutions,"U. Oklahoma, Tulsa",2,266,"['7,483', '']","['1,953', '']","['1,060', '']","['2,936', '']","['115', '']","['891', '']","['528', '']"
5418,r268,"All institutions -> California State Polytechnic U., Pomona",All institutions,"California State Polytechnic U., Pomona",2,267,"['7,396', '']","['5,514', '']","['821', '']","['509', '']","['344', '']","['208', '']","['0', '']"
5418,r269,All institutions -> Norfolk State U.,All institutions,Norfolk State U.,2,268,"['7,153', '']","['7,148', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']"
5418,r270,"All institutions -> U. Washington, Bothell",All institutions,"U. Washington, Bothell",2,269,"['7,107', '']","['2,815', '']","['42', '']","['1,045', '']","['129', '']","['3,058', '']","['18', '']"
5418,r271,"All institutions -> CUNY, Brooklyn C.",All institutions,"CUNY, Brooklyn C.",2,270,"['7,074', '']","['4,651', '']","['198', '']","['1,489', '']","['72', '']","['645', '']","['19', '']"
5418,r272,"All institutions -> California State U., Bakersfield",All institutions,"California State U., Bakersfield",2,271,"['7,053', '']","['4,486', '']","['150', '']","['2,306', '']","['38', '']","['22', '']","['51', '']"
5418,r273,"All institutions -> U. Hawaii, Hilo",All institutions,"U. Hawaii, Hilo",2,272,"['6,992', '']","['5,274', '']","['102', '']","['1,160', '']","['179', '']","['209', '']","['68', '']"
5418,r274,All institutions -> Grand Valley State U.,All institutions,Grand Valley State U.,2,273,"['6,792', '']","['1,831', '']","['323', '']","['3,475', '']","['24', '']","['641', '']","['498', '']"
5418,r275,All institutions -> Florida Gulf Coast U.,All institutions,Florida Gulf Coast U.,2,274,"['6,671', '']","['5,304', '']","['814', '']","['103', '']","['104', '']","['346', '']","['0', '']"
5418,r276,All institutions -> Indiana U. Pennsylvania,All institutions,Indiana U. Pennsylvania,2,275,"['6,531', '']","['1,309', '']","['147', '']","['4,647', '']","['62', '']","['339', '']","['27', '']"
5418,r277,All institutions -> West Chester U. Pennsylvania,All institutions,West Chester U. Pennsylvania,2,276,"['6,414', '']","['724', '']","['62', '']","['5,277', '']","['28', '']","['175', '']","['148', '']"
