table_id,row_id,occupation_sex_ethnicity_race_and_disability_status_full_path,occupation_sex_ethnicity_race_and_disability_status_level_1,occupation_sex_ethnicity_race_and_disability_status_level_2,occupation_sex_ethnicity_race_and_disability_status_level_3,occupation_sex_ethnicity_race_and_disability_status_level_4,occupation_sex_ethnicity_race_and_disability_status_level_5,occupation_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_total,field_government_federal_government,field_government_state_or_local_government
5584,r001,All occupations,All occupations,,,,,1,50524000,35125000,26774000,5086000,3265000,10335000,3225000,7110000,5064000,1995000,3070000
5584,r002,All occupations -> Female,All occupations,Female,,,,2,26341000,16542000,11462000,3384000,1696000,7318000,1880000,5438000,2481000,815000,1666000
5584,r003,All occupations -> Male,All occupations,Male,,,,2,24183000,18582000,15312000,1701000,1569000,3017000,1345000,1672000,2584000,1180000,1404000
5584,r004,All occupations -> Hispanic or Latino,All occupations,Hispanic or Latino,,,,2,4803000,3043000,2382000,417000,244000,1119000,315000,804000,641000,242000,399000
5584,r005,All occupations -> Not Hispanic or Latino,All occupations,Not Hispanic or Latino,,,,2,,,,,,,,,,,
5584,r006,All occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,Not Hispanic or Latino,American Indian or Alaska Native,,,3,182000,113000,100000,10000,3000,33000,S,21000,37000,S,22000
5584,r007,All occupations -> Not Hispanic or Latino -> Asian,All occupations,Not Hispanic or Latino,Asian,,,3,5062000,3876000,3221000,423000,232000,799000,499000,300000,387000,157000,229000
5584,r008,All occupations -> Not Hispanic or Latino -> Black or African American,All occupations,Not Hispanic or Latino,Black or African American,,,3,3895000,2259000,1602000,479000,178000,827000,211000,616000,809000,314000,495000
5584,r009,All occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,3,129000,93000,67000,24000,S,14000,9000,5000,23000,3000,19000
5584,r010,All occupations -> Not Hispanic or Latino -> White,All occupations,Not Hispanic or Latino,White,,,3,35269000,24890000,18775000,3595000,2520000,7330000,2134000,5196000,3049000,1201000,1848000
5584,r011,All occupations -> Not Hispanic or Latino -> More than one race,All occupations,Not Hispanic or Latino,More than one race,,,3,1184000,851000,628000,138000,85000,214000,46000,168000,120000,62000,58000
5584,r012,All occupations -> Without disability,All occupations,Without disability,,,,2,44717000,31246000,23807000,4630000,2809000,9141000,2934000,6208000,4330000,1683000,2646000
5584,r013,All occupations -> With disability,All occupations,With disability,,,,2,5807000,3878000,2967000,456000,456000,1194000,291000,903000,735000,311000,423000
5584,r014,All occupations -> S&E occupations,All occupations,S&E occupations,,,,2,7466000,5444000,4878000,378000,189000,1225000,1013000,211000,798000,421000,377000
5584,r015,All occupations -> S&E occupations -> Female,All occupations,S&E occupations,Female,,,3,2193000,1361000,1118000,171000,72000,559000,450000,109000,273000,128000,145000
5584,r016,All occupations -> S&E occupations -> Male,All occupations,S&E occupations,Male,,,3,5274000,4083000,3760000,207000,117000,666000,563000,102000,524000,293000,231000
