table_id,row_id,_b_state_or_location_and_institution_b_full_path,_b_state_or_location_and_institution_b_level_1,_b_state_or_location_and_institution_b_level_2,_b_state_or_location_and_institution_b_level_3,_b_state_or_location_and_institution_b_hierarchy_depth,field_all_fields,field_science_life_sciences_total,field_science_life_sciences_agricultural_sciences_and_natural_resources,field_science_life_sciences_biological_and_biomedical_sciences,field_science_life_sciences_health_sciences,field_science_physical_sciences_and_earth_sciences_total,field_science_physical_sciences_and_earth_sciences_chemistry,field_science_physical_sciences_and_earth_sciences_geosciences_atmospheric_sciences_and_ocean_sciences,field_science_physical_sciences_and_earth_sciences_physics_and_astronomy,field_science_mathematics_and_computer_sciences_total,field_science_mathematics_and_computer_sciences_computer_and_information_sciences,field_science_mathematics_and_computer_sciences_mathematics_and_statistics_,field_science_psychology_and_social_sciences_total,field_science_psychology_and_social_sciences_psychology,field_science_psychology_and_social_sciences_anthropology,field_science_psychology_and_social_sciences_economics,field_science_psychology_and_social_sciences_political_science_and_government,field_science_psychology_and_social_sciences_sociology,field_science_psychology_and_social_sciences_other_social_sciences,field_engineering_total,field_engineering_aerospace_aeronautical_and_astronautical,field_engineering_bioengineering_and_biomedical,field_engineering_chemical,field_engineering_civil,field_engineering_electrical_electronics_and_communications,field_engineering_industrial_and_manufacturing,field_engineering_materials_science,field_engineering_mechanical,field_engineering_other_engineering
4644,r001,All institutions,All institutions,,,1,55283,12561,1472,8418,2671,6247,2763,1243,2241,4392,2361,2031,8946,3879,448,1216,637,607,2159,10476,399,1083,994,796,1973,304,880,1634,2413
4644,r002,All institutions -> Alabama,All institutions,Alabama,,2,692,186,19,117,50,63,21,16,26,44,23,21,84,53,1,15,5,2,8,135,6,6,8,19,19,13,14,24,26
4644,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,9,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4644,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,269,75,15,37,23,18,8,4,6,20,6,14,28,18,0,6,3,0,1,62,2,1,6,8,7,13,4,14,7
4644,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,14,11,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4644,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,149,84,1,61,22,10,4,0,6,5,3,2,14,12,0,0,0,2,0,19,0,3,0,5,0,0,1,1,9
4644,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,40,2,0,2,0,11,0,4,7,6,5,1,0,0,0,0,0,0,0,21,1,0,0,1,5,0,0,6,8
4644,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,157,5,0,3,2,20,9,6,5,7,3,4,32,16,1,9,2,0,4,30,3,1,2,5,7,0,8,3,1
4644,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,36,4,0,1,3,2,0,2,0,6,6,0,7,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
4644,r011,All institutions -> Alaska,All institutions,Alaska,,2,54,20,9,11,0,14,1,13,0,1,0,1,12,9,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
4644,r012,"All institutions -> Alaska -> U. Alaska, Anchorage",All institutions,Alaska,"U. Alaska, Anchorage",3,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4644,r013,"All institutions -> Alaska -> U. Alaska, Fairbanks",All institutions,Alaska,"U. Alaska, Fairbanks",3,49,20,9,11,0,14,1,13,0,1,0,1,7,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
4644,r014,All institutions -> Arizona,All institutions,Arizona,,2,1052,184,30,105,49,126,27,36,63,85,45,40,190,40,17,19,5,15,94,208,4,12,20,16,54,10,18,16,58
4644,r015,All institutions -> Arizona -> Arizona State U.,All institutions,Arizona,Arizona State U.,3,536,62,8,40,14,47,14,16,17,61,37,24,88,27,6,7,1,1,46,143,4,7,10,12,41,9,16,11,33
4644,r016,All institutions -> Arizona -> Northern Arizona U.,All institutions,Arizona,Northern Arizona U.,3,35,12,7,5,0,2,0,1,1,1,1,0,7,1,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0
4644,r017,All institutions -> Arizona -> Prescott C.,All institutions,Arizona,Prescott C.,3,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
