table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_hierarchy_depth,value
12656,r001,2010,Total,All R&D expenditures,2,61286610
12656,r002,2010,Total,Basic research,2,40949184
12656,r003,2010,Total,Applied research,2,15107127
12656,r004,2010,Total,Experimental development,2,5230299
12656,r005,2010,Federal,All R&D expenditures,2,37477582
12656,r006,2010,Federal,Basic research,2,25677713
12656,r007,2010,Federal,Applied research,2,9133503
12656,r008,2010,Federal,Experimental development,2,2666366
12656,r009,2010,Nonfederal,All R&D expenditures,2,23809028
12656,r010,2010,Nonfederal,Basic research,2,15271471
12656,r011,2010,Nonfederal,Applied research,2,5973624
12656,r012,2010,Nonfederal,Experimental development,2,2563933
12656,r013,2011,Total,All R&D expenditures,2,65274393
12656,r014,2011,Total,Basic research,2,43455207
12656,r015,2011,Total,Applied research,2,16298883
12656,r016,2011,Total,Experimental development,2,5520303
12656,r017,2011,Federal,All R&D expenditures,2,40768251
12656,r018,2011,Federal,Basic research,2,27675430
12656,r019,2011,Federal,Applied research,2,10227797
12656,r020,2011,Federal,Experimental development,2,2865024
12656,r021,2011,Nonfederal,All R&D expenditures,2,24506142
12656,r022,2011,Nonfederal,Basic research,2,15779777
12656,r023,2011,Nonfederal,Applied research,2,6071086
12656,r024,2011,Nonfederal,Experimental development,2,2655279
12656,r025,2012,Total,All R&D expenditures,2,65729007
12656,r026,2012,Total,Basic research,2,43119743
12656,r027,2012,Total,Applied research,2,16787565
12656,r028,2012,Total,Experimental development,2,5821699
12656,r029,2012,Federal,All R&D expenditures,2,40142223
12656,r030,2012,Federal,Basic research,2,26850432
12656,r031,2012,Federal,Applied research,2,10268318
12656,r032,2012,Federal,Experimental development,2,3023473
12656,r033,2012,Nonfederal,All R&D expenditures,2,25586784
12656,r034,2012,Nonfederal,Basic research,2,16269311
12656,r035,2012,Nonfederal,Applied research,2,6519247
12656,r036,2012,Nonfederal,Experimental development,2,2798226
12656,r037,2013,Total,All R&D expenditures,2,66977566
12656,r038,2013,Total,Basic research,2,43976241
12656,r039,2013,Total,Applied research,2,16905628
12656,r040,2013,Total,Experimental development,2,6095697
12656,r041,2013,Federal,All R&D expenditures,2,39445931
12656,r042,2013,Federal,Basic research,2,26409024
12656,r043,2013,Federal,Applied research,2,10052792
