table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_intramural_r_d_2020_,field_personnel_costs_2020_amount,field_personnel_costs_2020_of_total,field_total_intramural_r_d_2021_,field_personnel_costs_2021_amount,field_personnel_costs_2021_of_total
6429,r001,All agencies,All agencies,,,,,1,51471719.7,11212545.0,21.8,64209097.0,11382617.8,17.7
6429,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
6429,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1689762.7,248252.8,14.7,1827880.4,243320.7,13.3
6429,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,6952.5,5214.4,75.0,7000.5,5250.4,75.0
6429,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1247897.3,661.6,0.1,1455276.4,719.3,**
6429,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,27618.9,13257.1,48.0,29775.7,14292.4,48.0
6429,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,74618.9,31324.9,42.0,79901.0,31324.9,39.2
6429,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,305000.0,184000.0,60.3,227904.3,177000.0,77.7
6429,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,8404.1,7371.1,87.7,8750.5,8309.8,95.0
6429,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,19271.0,6423.7,33.3,19272.0,6424.0,33.3
6429,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1193045.0,646234.1,54.2,1298258.7,710124.2,54.7
