table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3358,r001,R&D and R&D plant,R&D and R&D plant,,,,1,13165,13675,12087,3.9,-11.6
3358,r002,R&D and R&D plant -> Department of Energy,R&D and R&D plant,Department of Energy,,,2,,,,,
3358,r003,R&D and R&D plant -> Department of Energy -> Office of Science,R&D and R&D plant,Department of Energy,Office of Science,,3,6517,6923,5760,6.2,-16.8
3358,r004,R&D and R&D plant -> National Science Foundation<sup>b</sup>,R&D and R&D plant,National Science Foundation<sup>b</sup>,,,2,6648,6752,6327,1.6,-6.3
3358,r005,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Arctic Research Commission,R&D and R&D plant,National Science Foundation<sup>b</sup>,Arctic Research Commission,,3,1,NA,2,--,--
3358,r006,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Biological Sciences,R&D and R&D plant,National Science Foundation<sup>b</sup>,Biological Sciences,,3,784,NA,705,--,--
3358,r007,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Computer and Information Science and Engineering,R&D and R&D plant,National Science Foundation<sup>b</sup>,Computer and Information Science and Engineering,,3,985,NA,1062,--,--
3358,r008,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Education and Human Resources,R&D and R&D plant,National Science Foundation<sup>b</sup>,Education and Human Resources,,3,935,940,931,0.6,-1.0
3358,r009,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Engineering,R&D and R&D plant,National Science Foundation<sup>b</sup>,Engineering,,3,991,NA,910,--,--
3358,r010,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Geosciences,R&D and R&D plant,National Science Foundation<sup>b</sup>,Geosciences,,3,970,NA,837,--,--
3358,r011,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Integrative Activities,R&D and R&D plant,National Science Foundation<sup>b</sup>,Integrative Activities,,3,547,NA,539,--,--
3358,r012,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> International Science and Engineering,R&D and R&D plant,National Science Foundation<sup>b</sup>,International Science and Engineering,,3,49,NA,44,--,--
3358,r013,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Major Research Equipment and Facilities and Construction,R&D and R&D plant,National Science Foundation<sup>b</sup>,Major Research Equipment and Facilities and Construction,,3,285,243,230,-14.7,-5.5
3358,r014,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Mathematical and Physical Sciences,R&D and R&D plant,National Science Foundation<sup>b</sup>,Mathematical and Physical Sciences,,3,1491,NA,1448,--,--
3358,r015,"R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,National Science Foundation<sup>b</sup>,"Social, Behavioral and Economic Sciences",,3,271,NA,247,--,--
3358,r016,R&D and R&D plant -> National Science Foundation<sup>b</sup> -> Budget authority adjustment<sup>c</sup>,R&D and R&D plant,National Science Foundation<sup>b</sup>,Budget authority adjustment<sup>c</sup>,,3,-661,NA,-627,na,na
3358,r017,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,10961,11454,10539,4.5,-8.0
