table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
2575,r001,All states,All states,,1,"['    18,395 ', '&nbsp;']","['    6,655,717 ', '&nbsp;']","['    13,003 ', '&nbsp;']","['    3,525,771 ', '&nbsp;']","['    5,392 ', '&nbsp;']","['    3,129,946 ', '&nbsp;']"
2575,r002,All states -> Alabama,All states,Alabama,2,"['    136 ', '&nbsp;']","['    41,998 ', '&nbsp;']","['    92 ', '&nbsp;']","['    22,451 ', '&nbsp;']","['    44 ', '&nbsp;']","['    19,547 ', '&nbsp;']"
2575,r003,All states -> Alaska,All states,Alaska,2,"['    10 ', '&nbsp;']","['    1,762 ', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
2575,r004,All states -> Arizona,All states,Arizona,2,"['    284 ', '&nbsp;']","['    93,726 ', '&nbsp;']","['    205 ', '&nbsp;']","['    45,073 ', '&nbsp;']","['    79 ', '&nbsp;']","['    48,653 ', '&nbsp;']"
2575,r005,All states -> Arkansas,All states,Arkansas,2,"['    83 ', '&nbsp;']","['    41,854 ', '&nbsp;']","['    44 ', '&nbsp;']","['    19,632 ', '&nbsp;']","['    39 ', 'r']","['    22,223 ', 'r']"
2575,r006,All states -> California,All states,California,2,"['    4,036 ', '&nbsp;']","['    1,883,619 ', '&nbsp;']","['    2,950 ', '&nbsp;']","['    969,084 ', '&nbsp;']","['    1,087 ', '&nbsp;']","['    914,535 ', '&nbsp;']"
2575,r007,All states -> Colorado,All states,Colorado,2,"['    551 ', '&nbsp;']","['    212,766 ', '&nbsp;']","['    351 ', '&nbsp;']","['    105,448 ', '&nbsp;']","['    200 ', '&nbsp;']","['    107,319 ', '&nbsp;']"
2575,r008,All states -> Connecticut,All states,Connecticut,2,"['    247 ', '&nbsp;']","['    76,256 ', '&nbsp;']","['    157 ', '&nbsp;']","['    40,008 ', '&nbsp;']","['    90 ', '&nbsp;']","['    36,248 ', '&nbsp;']"
2575,r009,All states -> Delaware,All states,Delaware,2,"['    125 ', '&nbsp;']","['    44,481 ', '&nbsp;']","['    104 ', '&nbsp;']","['    31,336 ', '&nbsp;']","['    21 ', '&nbsp;']","['    13,145 ', '&nbsp;']"
2575,r010,All states -> District of Columbia,All states,District of Columbia,2,"['    47 ', '&nbsp;']","['    31,798 ', '&nbsp;']","['    23 ', '&nbsp;']","['    8,204 ', '&nbsp;']","['    24 ', '&nbsp;']","['    23,594 ', 'r']"
