table_id,row_id,source_of_funds_full_path,source_of_funds_level_1,source_of_funds_level_2,source_of_funds_level_3,source_of_funds_hierarchy_depth,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field__change_2020_21
7884,r001,All R&D expenditures,All R&D expenditures,,,1,65274,65729,67013,67199,68550,71768,75147,79023,83487,86300,89723,4.0
7884,r002,All R&D expenditures -> All federal R&D expenditures,All R&D expenditures,All federal R&D expenditures,,2,40768,40142,39446,37961,37847,38789,40249,41861,44461,46114,49143,6.6
7884,r003,All R&D expenditures -> All federal R&D expenditures -> DOD,All R&D expenditures,All federal R&D expenditures,DOD,3,4814,4908,5023,4927,5090,5313,5634,5892,6652,7078,7363,4.0
7884,r004,All R&D expenditures -> All federal R&D expenditures -> DOE,All R&D expenditures,All federal R&D expenditures,DOE,3,1866,1955,1876,1805,1710,1772,1821,1819,1940,2038,2218,8.8
7884,r005,All R&D expenditures -> All federal R&D expenditures -> HHS,All R&D expenditures,All federal R&D expenditures,HHS,3,22995,21916,21211,20298,19994,20663,21627,22837,24408,25372,27532,8.5
7884,r006,All R&D expenditures -> All federal R&D expenditures -> NASA,All R&D expenditures,All federal R&D expenditures,NASA,3,1423,1331,1332,1329,1418,1491,1406,1516,1644,1758,1769,0.6
7884,r007,All R&D expenditures -> All federal R&D expenditures -> NSF,All R&D expenditures,All federal R&D expenditures,NSF,3,5140,5276,5393,5127,5120,5115,5207,5271,5333,5416,5411,-0.1
7884,r008,All R&D expenditures -> All federal R&D expenditures -> USDA,All R&D expenditures,All federal R&D expenditures,USDA,3,1006,1094,1092,1062,1119,1209,1223,1186,1224,1248,1302,4.3
7884,r009,All R&D expenditures -> All federal R&D expenditures -> Other,All R&D expenditures,All federal R&D expenditures,Other,3,3524,3663,3519,3414,3397,3226,3330,3339,3260,3203,3548,10.8
