table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12576,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,3336,2640,2759,-20.9,4.5
12576,r002,R&D and R&D plant -> Postal Service (372),R&D and R&D plant,Postal Service (372),,,,,2,7,3,3,-57.1,0.0
12576,r003,R&D and R&D plant -> Postal Service (372) -> Postal Service Fund,R&D and R&D plant,Postal Service (372),Postal Service Fund,,,,3,7,3,3,-57.1,0.0
12576,r004,R&D and R&D plant -> Other advancement of commerce (376),R&D and R&D plant,Other advancement of commerce (376),,,,,2,3329,2637,2756,-20.8,4.5
12576,r005,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,,,,3,3329,2637,2756,-20.8,4.5
12576,r006,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,Census Bureau,,,4,275,328,381,19.3,16.2
12576,r007,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,,,4,3000,2284,2352,-23.9,3.0
12576,r008,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Construction of research facilities,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Construction of research facilities,,5,130,130,312,0.0,140.0
12576,r009,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Industrial technology services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Industrial technology services,,5,1888,1282,1092,-32.1,-14.8
12576,r010,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Scientific and technical research and services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Scientific and technical research and services,,5,982,872,948,-11.2,8.7
12576,r011,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,4,4,0,0.0,-100.0
12576,r012,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,4,4,0,0.0,-100.0
12576,r013,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,,4,50,21,23,-58.0,9.5
12576,r014,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,3175,2479,2414,-21.9,-2.6
12576,r015,R&D and R&D plant -> R&D -> Postal Service (372),R&D and R&D plant,R&D,Postal Service (372),,,,3,7,3,3,-57.1,0.0
12576,r016,R&D and R&D plant -> R&D -> Postal Service (372) -> Postal Service Fund,R&D and R&D plant,R&D,Postal Service (372),Postal Service Fund,,,4,7,3,3,-57.1,0.0
12576,r017,R&D and R&D plant -> R&D -> Other advancement of commerce (376),R&D and R&D plant,R&D,Other advancement of commerce (376),,,,3,3168,2476,2411,-21.8,-2.6
12576,r018,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,,,4,3168,2476,2411,-21.8,-2.6
12576,r019,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,Census Bureau,,5,275,328,381,19.3,16.2
12576,r020,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,,5,2839,2123,2009,-25.2,-5.4
12576,r021,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Construction of research facilities,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Construction of research facilities,6,0,0,0,-,-
12576,r022,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Industrial technology services,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Industrial technology services,6,1888,1282,1092,-32.1,-14.8
12576,r023,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Scientific and technical research and services,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Scientific and technical research and services,6,951,841,917,-11.6,9.0
12576,r024,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,,5,4,4,0,0.0,-100.0
12576,r025,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,6,4,4,0,0.0,-100.0
12576,r026,R&D and R&D plant -> R&D -> Other advancement of commerce (376) -> Department of Commerce -> National Telecommunications and Information Administration,R&D and R&D plant,R&D,Other advancement of commerce (376),Department of Commerce,National Telecommunications and Information Administration,,5,50,21,21,-58.0,0.0
