table_id,row_id,time_period,current_millions_level_1,current_millions_level_2,current_millions_hierarchy_depth,value
3374,r001,R&D obligations -> 1955,Current $millions,Total,2,2533
3374,r002,R&D obligations -> 1955,Current $millions,National defense,2,2151
3374,r003,R&D obligations -> 1955,Current $millions,Civilian functions,2,382
3374,r004,R&D obligations -> 1955,% distribution,Total,2,100.0
3374,r005,R&D obligations -> 1955,% distribution,National defense,2,84.9
3374,r006,R&D obligations -> 1955,% distribution,Civilian functions,2,15.1
3374,r007,R&D obligations -> 1956,Current $millions,Total,2,2988
3374,r008,R&D obligations -> 1956,Current $millions,National defense,2,2535
3374,r009,R&D obligations -> 1956,Current $millions,Civilian functions,2,453
3374,r010,R&D obligations -> 1956,% distribution,Total,2,100.0
3374,r011,R&D obligations -> 1956,% distribution,National defense,2,84.8
3374,r012,R&D obligations -> 1956,% distribution,Civilian functions,2,15.2
3374,r013,R&D obligations -> 1957,Current $millions,Total,2,3932
3374,r014,R&D obligations -> 1957,Current $millions,National defense,2,3327
3374,r015,R&D obligations -> 1957,Current $millions,Civilian functions,2,605
3374,r016,R&D obligations -> 1957,% distribution,Total,2,100.0
3374,r017,R&D obligations -> 1957,% distribution,National defense,2,84.6
3374,r018,R&D obligations -> 1957,% distribution,Civilian functions,2,15.4
3374,r019,R&D obligations -> 1958,Current $millions,Total,2,4570
3374,r020,R&D obligations -> 1958,Current $millions,National defense,2,3801
3374,r021,R&D obligations -> 1958,Current $millions,Civilian functions,2,769
3374,r022,R&D obligations -> 1958,% distribution,Total,2,100.0
3374,r023,R&D obligations -> 1958,% distribution,National defense,2,83.2
3374,r024,R&D obligations -> 1958,% distribution,Civilian functions,2,16.8
3374,r025,R&D obligations -> 1959,Current $millions,Total,2,6694
3374,r026,R&D obligations -> 1959,Current $millions,National defense,2,5556
3374,r027,R&D obligations -> 1959,Current $millions,Civilian functions,2,1138
3374,r028,R&D obligations -> 1959,% distribution,Total,2,100.0
3374,r029,R&D obligations -> 1959,% distribution,National defense,2,83.0
3374,r030,R&D obligations -> 1959,% distribution,Civilian functions,2,17.0
3374,r031,R&D obligations -> 1960,Current $millions,Total,2,7552
3374,r032,R&D obligations -> 1960,Current $millions,National defense,2,6107
3374,r033,R&D obligations -> 1960,Current $millions,Civilian functions,2,1445
3374,r034,R&D obligations -> 1960,% distribution,Total,2,100.0
3374,r035,R&D obligations -> 1960,% distribution,National defense,2,80.9
3374,r036,R&D obligations -> 1960,% distribution,Civilian functions,2,19.1
3374,r037,R&D obligations -> 1961,Current $millions,Total,2,9059
3374,r038,R&D obligations -> 1961,Current $millions,National defense,2,7005
3374,r039,R&D obligations -> 1961,Current $millions,Civilian functions,2,2054
3374,r040,R&D obligations -> 1961,% distribution,Total,2,100.0
3374,r041,R&D obligations -> 1961,% distribution,National defense,2,77.3
3374,r042,R&D obligations -> 1961,% distribution,Civilian functions,2,22.7
3374,r043,R&D obligations -> 1962,Current $millions,Total,2,10290
3374,r044,R&D obligations -> 1962,Current $millions,National defense,2,7238
3374,r045,R&D obligations -> 1962,Current $millions,Civilian functions,2,3052
3374,r046,R&D obligations -> 1962,% distribution,Total,2,100.0
3374,r047,R&D obligations -> 1962,% distribution,National defense,2,70.3
3374,r048,R&D obligations -> 1962,% distribution,Civilian functions,2,29.7
3374,r049,R&D obligations -> 1963,Current $millions,Total,2,12495
3374,r050,R&D obligations -> 1963,Current $millions,National defense,2,7764
3374,r051,R&D obligations -> 1963,Current $millions,Civilian functions,2,4731
3374,r052,R&D obligations -> 1963,% distribution,Total,2,100.0
3374,r053,R&D obligations -> 1963,% distribution,National defense,2,62.1
3374,r054,R&D obligations -> 1963,% distribution,Civilian functions,2,37.9
3374,r055,R&D obligations -> 1964,Current $millions,Total,2,14225
3374,r056,R&D obligations -> 1964,Current $millions,National defense,2,7829
3374,r057,R&D obligations -> 1964,Current $millions,Civilian functions,2,6396
3374,r058,R&D obligations -> 1964,% distribution,Total,2,100.0
3374,r059,R&D obligations -> 1964,% distribution,National defense,2,55.0
3374,r060,R&D obligations -> 1964,% distribution,Civilian functions,2,45.0
3374,r061,R&D obligations -> 1965,Current $millions,Total,2,14614
3374,r062,R&D obligations -> 1965,Current $millions,National defense,2,7342
3374,r063,R&D obligations -> 1965,Current $millions,Civilian functions,2,7272
3374,r064,R&D obligations -> 1965,% distribution,Total,2,100.0
3374,r065,R&D obligations -> 1965,% distribution,National defense,2,50.2
3374,r066,R&D obligations -> 1965,% distribution,Civilian functions,2,49.8
3374,r067,R&D obligations -> 1966,Current $millions,Total,2,15320
3374,r068,R&D obligations -> 1966,Current $millions,National defense,2,7536
3374,r069,R&D obligations -> 1966,Current $millions,Civilian functions,2,7784
3374,r070,R&D obligations -> 1966,% distribution,Total,2,100.0
3374,r071,R&D obligations -> 1966,% distribution,National defense,2,49.2
3374,r072,R&D obligations -> 1966,% distribution,Civilian functions,2,50.8
3374,r073,R&D obligations -> 1967,Current $millions,Total,2,16529
3374,r074,R&D obligations -> 1967,Current $millions,National defense,2,8566
3374,r075,R&D obligations -> 1967,Current $millions,Civilian functions,2,7963
3374,r076,R&D obligations -> 1967,% distribution,Total,2,100.0
3374,r077,R&D obligations -> 1967,% distribution,National defense,2,51.8
3374,r078,R&D obligations -> 1967,% distribution,Civilian functions,2,48.2
3374,r079,R&D obligations -> 1968,Current $millions,Total,2,15921
3374,r080,R&D obligations -> 1968,Current $millions,National defense,2,8275
3374,r081,R&D obligations -> 1968,Current $millions,Civilian functions,2,7646
3374,r082,R&D obligations -> 1968,% distribution,Total,2,100.0
3374,r083,R&D obligations -> 1968,% distribution,National defense,2,52.0
3374,r084,R&D obligations -> 1968,% distribution,Civilian functions,2,48.0
3374,r085,R&D obligations -> 1969,Current $millions,Total,2,15641
3374,r086,R&D obligations -> 1969,Current $millions,National defense,2,8356
3374,r087,R&D obligations -> 1969,Current $millions,Civilian functions,2,7285
3374,r088,R&D obligations -> 1969,% distribution,Total,2,100.0
3374,r089,R&D obligations -> 1969,% distribution,National defense,2,53.4
3374,r090,R&D obligations -> 1969,% distribution,Civilian functions,2,46.6
3374,r091,R&D obligations -> 1970,Current $millions,Total,2,15339
3374,r092,R&D obligations -> 1970,Current $millions,National defense,2,7981
3374,r093,R&D obligations -> 1970,Current $millions,Civilian functions,2,7358
3374,r094,R&D obligations -> 1970,% distribution,Total,2,100.0
3374,r095,R&D obligations -> 1970,% distribution,National defense,2,52.0
3374,r096,R&D obligations -> 1970,% distribution,Civilian functions,2,48.0
3374,r097,R&D obligations -> 1971,Current $millions,Total,2,15543
3374,r098,R&D obligations -> 1971,Current $millions,National defense,2,8110
3374,r099,R&D obligations -> 1971,Current $millions,Civilian functions,2,7433
