table_id,row_id,occupation_sex_ethnicity_race_and_disability_status_full_path,occupation_sex_ethnicity_race_and_disability_status_level_1,occupation_sex_ethnicity_race_and_disability_status_level_2,occupation_sex_ethnicity_race_and_disability_status_level_3,occupation_sex_ethnicity_race_and_disability_status_level_4,occupation_sex_ethnicity_race_and_disability_status_level_5,occupation_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_total,field_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_total,field_government_federal_government,field_government_state_or_local_government
6844,r001,All occupations,All occupations,,,,,1,48223000,33510000,25483000,4800000,3227000,9905000,3056000,6849000,4808000,1934000,2874000
6844,r002,All occupations -> Female,All occupations,Female,,,,2,24900000,15660000,10764000,3273000,1622000,6961000,1769000,5193000,2279000,803000,1477000
6844,r003,All occupations -> Male,All occupations,Male,,,,2,23323000,17850000,14719000,1526000,1605000,2944000,1288000,1656000,2529000,1132000,1397000
6844,r004,All occupations -> Hispanic or Latino,All occupations,Hispanic or Latino,,,,2,4280000,2790000,2199000,368000,223000,976000,206000,770000,514000,192000,321000
6844,r005,All occupations -> Not Hispanic or Latino,All occupations,Not Hispanic or Latino,,,,2,,,,,,,,,,,
6844,r006,All occupations -> Not Hispanic or Latino -> American Indian or Alaska Native,All occupations,Not Hispanic or Latino,American Indian or Alaska Native,,,3,121000,58000,43000,9000,6000,32000,13000,20000,31000,13000,18000
6844,r007,All occupations -> Not Hispanic or Latino -> Asian,All occupations,Not Hispanic or Latino,Asian,,,3,4498000,3458000,2920000,358000,179000,637000,417000,220000,403000,159000,244000
6844,r008,All occupations -> Not Hispanic or Latino -> Black or African American,All occupations,Not Hispanic or Latino,Black or African American,,,3,3805000,2196000,1616000,451000,129000,865000,237000,628000,745000,308000,437000
6844,r009,All occupations -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All occupations,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,3,137000,99000,64000,24000,S,18000,12000,5000,21000,3000,18000
6844,r010,All occupations -> Not Hispanic or Latino -> White,All occupations,Not Hispanic or Latino,White,,,3,34435000,24278000,18157000,3490000,2630000,7162000,2111000,5051000,2995000,1204000,1791000
6844,r011,All occupations -> Not Hispanic or Latino -> More than one race,All occupations,Not Hispanic or Latino,More than one race,,,3,946000,632000,483000,100000,50000,215000,60000,154000,99000,55000,44000
6844,r012,All occupations -> Without disability,All occupations,Without disability,,,,2,42610000,29679000,22592000,4315000,2771000,8703000,2738000,5965000,4228000,1656000,2573000
6844,r013,All occupations -> With disability,All occupations,With disability,,,,2,5613000,3832000,2891000,485000,456000,1202000,319000,883000,580000,279000,301000
6844,r014,All occupations -> S&E occupations,All occupations,S&E occupations,,,,2,6769000,4888000,4317000,360000,211000,1096000,880000,216000,785000,415000,370000
6844,r015,All occupations -> S&E occupations -> Female,All occupations,S&E occupations,Female,,,3,1966000,1217000,983000,154000,80000,474000,364000,110000,275000,140000,134000
