table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2710,r001,All business activities,All business activities,,1,21100–81000,"['441,036', '  ']","['377,806', '  ']","['63,230', '  ']"
2710,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['770', '  ']","['674', '  ']","['96', '  ']"
2710,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['92', '  ']","['92', '  ']","['*', '  ']"
2710,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['836', 'i ']","['810', 'i ']","['26', '  ']"
2710,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['272', '  ']","['221', '  ']","['51', '  ']"
2710,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['659', '  ']","['624', '  ']","['35', '  ']"
2710,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['4,737', '  ']","['4,525', '  ']","['212', '  ']"
2710,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['702', '  ']","['598', '  ']","['103', '  ']"
2710,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['196', '  ']","['191', '  ']","['5', '  ']"
2710,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['918', '  ']","['914', '  ']","['4', '  ']"
2710,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['261', '  ']","['257', '  ']","['4', '  ']"
2710,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,303', '  ']","['1,298', '  ']","['4', '  ']"
2710,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['321', '  ']","['318', '  ']","['3', '  ']"
2710,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['491', '  ']","['473', '  ']","['18', 'i ']"
2710,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['107', '  ']","['107', '  ']","['0', '  ']"
2710,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['133', '  ']","['128', '  ']","['5', '  ']"
2710,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['2,945', '  ']","['2,759', '  ']","['186', '  ']"
2710,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,264', '  ']","['1,174', '  ']","['90', '  ']"
2710,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['2,384', 'i ']","['2,038', 'i ']","['347', '  ']"
2710,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['48,462', '  ']","['40,982', '  ']","['7,480', '  ']"
2710,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,151', '  ']","['1,098', '  ']","['52', '  ']"
2710,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['23,411', '  ']","['21,262', '  ']","['2,149', '  ']"
2710,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,524', '  ']","['2,358', '  ']","['166', '  ']"
2710,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,363', '  ']","['1,332', '  ']","['31', '  ']"
2710,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['3,136', '  ']","['3,053', '  ']","['84', '  ']"
2710,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,333', '  ']","['1,325', '  ']","['8', '  ']"
