table_id,row_id,_b_stem_group_b_full_path,_b_stem_group_b_level_1,_b_stem_group_b_level_2,_b_stem_group_b_hierarchy_depth,field_employment_2022,field_employment_2032,field_projected_change,field_projected_change_
11026,r001,Total,Total,,1,164483,169147,4664,2.8
11026,r002,Non-STEM occupations,Non-STEM occupations,,1,128923,131139,2216,1.7
11026,r003,STEM occupations,STEM occupations,,1,35560,38008,2448,6.9
11026,r004,STEM occupations -> S&E occupations,STEM occupations,S&E occupations,2,8394,9442,1049,12.5
11026,r005,STEM occupations -> S&E-related occupations,STEM occupations,S&E-related occupations,2,12781,13893,1112,8.7
11026,r006,STEM occupations -> STEM middle-skill occupations,STEM occupations,STEM middle-skill occupations,2,14386,14674,288,2.0
