table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_2021,field_master_s_2022,field_master_s_change2018_22,field_master_s_change2021_22,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_2021,field_doctoral_2022,field_doctoral_change2018_22,field_doctoral_change2021_22
10749,r001,All graduate students,All graduate students,,,,1,391211,408228,414478,466613,501311,28.1,7.4,277096,281889,283335,293543,297223,7.3,1.3
10749,r002,All graduate students -> Science and engineering,All graduate students,Science and engineering,,,2,334391,351734,354354,400922,435003,30.1,8.5,261165,265961,268021,276912,279163,6.9,0.8
10749,r003,All graduate students -> Science and engineering -> Science,All graduate students,Science and engineering,Science,,3,241327,259795,267904,305796,331983,37.6,8.6,190928,193896,196742,203988,206183,8.0,1.1
10749,r004,All graduate students -> Science and engineering -> Science -> Agricultural and veterinary sciences,All graduate students,Science and engineering,Science,Agricultural and veterinary sciences,4,5658,5629,6487,6801,6949,22.8,2.2,3880,3889,4313,4443,4647,19.8,4.6
10749,r005,All graduate students -> Science and engineering -> Science -> Biological and biomedical sciences,All graduate students,Science and engineering,Science,Biological and biomedical sciences,4,35306,38078,39920,42728,43062,22.0,0.8,52627,53915,54905,58155,59638,13.3,2.6
10749,r006,All graduate students -> Science and engineering -> Science -> Computer and information sciences,All graduate students,Science and engineering,Science,Computer and information sciences,4,77351,84092,80690,102199,129972,68.0,27.2,16127,17192,18174,19531,20583,27.6,5.4
10749,r007,"All graduate students -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,5629,5327,5277,5520,5186,-7.9,-6.1,6704,6551,6515,6770,6784,1.2,0.2
10749,r008,All graduate students -> Science and engineering -> Science -> Mathematics and statistics,All graduate students,Science and engineering,Science,Mathematics and statistics,4,18073,19594,18284,20639,20798,15.1,0.8,13388,13565,13687,13619,13589,1.5,-0.2
10749,r009,All graduate students -> Science and engineering -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science and engineering,Science,Multidisciplinary and interdisciplinary studies,4,7414,8203,10980,11994,16931,128.4,41.2,2924,2978,3553,3774,4014,37.3,6.4
10749,r010,All graduate students -> Science and engineering -> Science -> Natural resources and conservation,All graduate students,Science and engineering,Science,Natural resources and conservation,4,7691,8066,8793,10012,9807,27.5,-2.0,3716,3677,3705,3910,3955,6.4,1.2
10749,r011,All graduate students -> Science and engineering -> Science -> Physical sciences,All graduate students,Science and engineering,Science,Physical sciences,4,6075,6361,6275,6409,6256,3.0,-2.4,36000,36506,36341,37732,37836,5.1,0.3
10749,r012,All graduate students -> Science and engineering -> Science -> Psychology,All graduate students,Science and engineering,Science,Psychology,4,35404,40838,47279,51878,48321,36.5,-6.9,20303,20231,21115,21447,21121,4.0,-1.5
10749,r013,All graduate students -> Science and engineering -> Science -> Social sciences,All graduate students,Science and engineering,Science,Social sciences,4,42726,43607,43919,47616,44701,4.6,-6.1,35259,35392,34434,34607,34016,-3.5,-1.7
10749,r014,All graduate students -> Science and engineering -> Engineering,All graduate students,Science and engineering,Engineering,,3,93064,91939,86450,95126,103020,10.7,8.3,70237,72065,71279,72924,72980,3.9,0.1
10749,r015,"All graduate students -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,3342,3701,4326,5065,5263,57.5,3.9,2506,2554,2645,2773,2832,13.0,2.1
10749,r016,"All graduate students -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,4282,4424,4536,5192,5177,20.9,-0.3,7481,7934,8239,8867,9265,23.8,4.5
10749,r017,"All graduate students -> Science and engineering -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Science and engineering,Engineering,"Chemical, petroleum, and chemical-related engineering",4,3815,3274,2942,2983,3011,-21.1,0.9,7599,7664,7612,7713,7590,-0.1,-1.6
10749,r018,"All graduate students -> Science and engineering -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Science and engineering,Engineering,"Civil, environmental, transportation and related engineering fields",4,12729,11873,10819,11730,12621,-0.8,7.6,7732,7752,7485,7878,7754,0.3,-1.6
10749,r019,"All graduate students -> Science and engineering -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Science and engineering,Engineering,"Electrical, electronics, communications and computer engineering",4,28108,28177,25312,27695,32316,15.0,16.7,18119,18577,17720,17570,17585,-2.9,0.1
10749,r020,"All graduate students -> Science and engineering -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Science and engineering,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,12389,11912,11030,11949,12579,1.5,5.3,3598,3762,3839,3921,3856,7.2,-1.7
10749,r021,All graduate students -> Science and engineering -> Engineering -> Mechanical engineering,All graduate students,Science and engineering,Engineering,Mechanical engineering,4,15434,14861,14305,15718,16029,3.9,2.0,11159,11247,11477,11540,11523,3.3,-0.1
10749,r022,"All graduate students -> Science and engineering -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Science and engineering,Engineering,"Metallurgical, mining, materials and related engineering fields",4,2395,2266,2299,2518,2545,6.3,1.1,4821,4817,4882,4904,4573,-5.1,-6.7
10749,r023,All graduate students -> Science and engineering -> Engineering -> Other engineering,All graduate students,Science and engineering,Engineering,Other engineering,4,10570,11451,10881,12276,13479,27.5,9.8,7222,7758,7380,7758,8002,10.8,3.1
10749,r024,All graduate students -> Health,All graduate students,Health,,,2,56820,56494,60124,65691,66308,16.7,0.9,15931,15928,15314,16631,18060,13.4,8.6
10749,r025,All graduate students -> Health -> Clinical medicine,All graduate students,Health,Clinical medicine,,3,27494,26251,29748,34021,33251,20.9,-2.3,4508,4571,4796,5612,5966,32.3,6.3
10749,r026,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,29326,30243,30376,31670,33057,12.7,4.4,11423,11357,10518,11019,12094,5.9,9.8
