table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiaries,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_governments,field_all_other
757,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['23,729', '&nbsp;']","['6,785', '&nbsp;']","['12,579', '&nbsp;']","['3,738', '&nbsp;']","['572', '&nbsp;']","['54', 'i']"
757,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['18,219', '&nbsp;']","['4,708', '&nbsp;']","['10,394', '&nbsp;']","['2,513', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['187', '&nbsp;']","['11', '&nbsp;']","['173', '&nbsp;']","['3', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['4', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['6', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['2', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['2', 'i']","['*', '&nbsp;']","['*', 'i']","['1', 'i']","['*', 'i']","['*', 'i']"
757,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['4', 'i']","['0', '&nbsp;']","['*', 'i']","['4', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['D', '&nbsp;']","['1,850', '&nbsp;']","['5,473', '&nbsp;']","['1,940', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '&nbsp;']","['23', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['D', '&nbsp;']","['45', '&nbsp;']","['2', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['D', '&nbsp;']","['1,768', '&nbsp;']","['4,884', '&nbsp;']","['1,888', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['125', '&nbsp;']","['12', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['*', 'i']"
757,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['12', 'i']","['2', '&nbsp;']","['6', 'i']","['4', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['12', '&nbsp;']","['4', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['D', '&nbsp;']","['1', '&nbsp;']","['6', 'i']","['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['47', '&nbsp;']","['38', '&nbsp;']","['7', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['450', 'i']","['11', '&nbsp;']","['417', 'i']","['21', 'i']","['*', 'i']","['*', 'i']"
757,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['10', '&nbsp;']","['3', '&nbsp;']","['6', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['*', 'i']"
757,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['226', 'i']","['2', '&nbsp;']","['217', 'i']","['7', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['81', '&nbsp;']","['0', '&nbsp;']","['81', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['133', '&nbsp;']","['6', '&nbsp;']","['113', '&nbsp;']","['14', '&nbsp;']","['*', 'i']","['*', 'i']"
757,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['D', '&nbsp;']","['2,364', '&nbsp;']","['2,153', '&nbsp;']","['306', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['D', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['D', '&nbsp;']","['1,377', '&nbsp;']","['1,246', '&nbsp;']","['169', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
757,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['D', '&nbsp;']","['117', '&nbsp;']","['430', '&nbsp;']","['115', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['211', '&nbsp;']","['56', '&nbsp;']","['142', '&nbsp;']","['13', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['D', '&nbsp;']","['45', '&nbsp;']","['D', '&nbsp;']","['91', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['D', '&nbsp;']","['16', '&nbsp;']","['D', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['D', '&nbsp;']","['865', '&nbsp;']","['D', '&nbsp;']","['21', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['486', 'i']","['73', '&nbsp;']","['349', 'i']","['47', 'i']","['0', '&nbsp;']","['17', 'i']"
757,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['D', '&nbsp;']","['217', '&nbsp;']","['1,523', '&nbsp;']","['167', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['D', '&nbsp;']","['80', '&nbsp;']","['1,480', '&nbsp;']","['122', 'i']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['D', '&nbsp;']","['D', '&nbsp;']","['31', 'i']","['45', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']"
757,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1', 'i']","['0', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']"
757,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['204', '&nbsp;']","['107', '&nbsp;']","['86', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
757,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['5,510', '&nbsp;']","['2,078', '&nbsp;']","['2,185', '&nbsp;']","['1,226', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
