table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_r_d_expenditures,field_r_d_expenditures_passed_through_to_subrecipients_total,field_r_d_expenditures_passed_through_to_subrecipients_to_higher_education_subrecipients,field_r_d_expenditures_passed_through_to_subrecipients_to_businesses,field_r_d_expenditures_passed_through_to_subrecipients_to_nonprofit_organizations,field_r_d_expenditures_passed_through_to_subrecipients_to_other_subrecipients
8019,r001,"Total R&D, all institutions","Total R&D, all institutions",,,1,89723447,7576989,4070435,1487533,1382664,636357
8019,r002,"Total R&D, all institutions -> Doctorate","Total R&D, all institutions",Doctorate,,2,89051221,7548281,4051282,1485443,1377709,633847
8019,r003,"Total R&D, all institutions -> Nondoctorate","Total R&D, all institutions",Nondoctorate,,2,672226,28708,19153,2090,4955,2510
8019,r004,"Total R&D, all institutions -> Public","Total R&D, all institutions",Public,,2,58667378,4599631,2560447,994614,667919,376651
8019,r005,"Total R&D, all institutions -> Private","Total R&D, all institutions",Private,,2,31056069,2977358,1509988,492919,714745,259706
8019,r006,"Total R&D, all institutions -> Federally financed R&D, all institutions","Total R&D, all institutions","Federally financed R&D, all institutions",,2,49143460,6537697,3648190,1222751,1177985,488771
8019,r007,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Doctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Doctorate,3,48776007,6513823,3631213,1221286,1174233,487091
8019,r008,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Nondoctorate","Total R&D, all institutions","Federally financed R&D, all institutions",Nondoctorate,3,367453,23874,16977,1465,3752,1680
8019,r009,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Public","Total R&D, all institutions","Federally financed R&D, all institutions",Public,3,30103415,4018212,2285553,869504,557476,305679
8019,r010,"Total R&D, all institutions -> Federally financed R&D, all institutions -> Private","Total R&D, all institutions","Federally financed R&D, all institutions",Private,3,19040045,2519485,1362637,353247,620509,183092
