table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
8834,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['537,619', '&nbsp;']","['466,162', '&nbsp;']","['71,457', '&nbsp;']","['48,075', '&nbsp;']","['38,631', '&nbsp;']","['9,444', '&nbsp;']"
8834,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['308,445', '&nbsp;']","['264,596', '&nbsp;']","['43,848', '&nbsp;']","['41,831', '&nbsp;']","['34,602', '&nbsp;']","['7,228', '&nbsp;']"
8834,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,239', '&nbsp;']","['4,985', '&nbsp;']","['254', '&nbsp;']","['257', '&nbsp;']","['255', '&nbsp;']","['1', '&nbsp;']"
8834,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,177', 'i']","['1,056', '&nbsp;']","['121', '&nbsp;']","['174', '&nbsp;']","['170', '&nbsp;']","['4', '&nbsp;']"
8834,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['822', '&nbsp;']","['812', '&nbsp;']","['9', '&nbsp;']","['10', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']"
8834,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['187', '&nbsp;']","['183', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']"
8834,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['928', '&nbsp;']","['927', '&nbsp;']","['1', '&nbsp;']","['6 - 8', '&nbsp;']","['7', '&nbsp;']","['0 - 1', '&nbsp;']"
8834,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['283', '&nbsp;']","['282', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']"
8834,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,311 - 1,324', '&nbsp;']","['1,222', '&nbsp;']","['89 - 103', '&nbsp;']","['194 - 207', '&nbsp;']","['195', '&nbsp;']","['0 - 12', '&nbsp;']"
8834,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['101,079', '&nbsp;']","['89,403', '&nbsp;']","['11,675', '&nbsp;']","['29,761', '&nbsp;']","['25,548', '&nbsp;']","['4,213', '&nbsp;']"
8834,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,694', '&nbsp;']","['2,523', '&nbsp;']","['171', '&nbsp;']","['66', '&nbsp;']","['65', '&nbsp;']","['1', '&nbsp;']"
8834,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,234', '&nbsp;']","['1,161', '&nbsp;']","['73', '&nbsp;']","['56', '&nbsp;']","['27', '&nbsp;']","['28', '&nbsp;']"
8834,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,060 - 1,066', '&nbsp;']","['775', '&nbsp;']","['284 - 291', '&nbsp;']","['81 - 88', '&nbsp;']","['68 - 85', '&nbsp;']","['0 - 13', '&nbsp;']"
8834,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['91,776', '&nbsp;']","['80,858', '&nbsp;']","['10,918', '&nbsp;']","['29,251', '&nbsp;']","['25,086', '&nbsp;']","['4,165', '&nbsp;']"
8834,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,665', '&nbsp;']","['2,476', '&nbsp;']","['189', '&nbsp;']","['260', '&nbsp;']","['253', '&nbsp;']","['7', '&nbsp;']"
8834,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,643 - 1,649', '&nbsp;']","['1,610', '&nbsp;']","['32 - 39', '&nbsp;']","['42 - 49', '&nbsp;']","['33 - 49', '&nbsp;']","['0 - 13', '&nbsp;']"
8834,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,634', '&nbsp;']","['2,607', '&nbsp;']","['26', '&nbsp;']","['23', '&nbsp;']","['21', '&nbsp;']","['2', '&nbsp;']"
8834,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,717', 'i']","['1,619', 'i']","['98', '&nbsp;']","['92', 'i']","['92', 'i']","['1', '&nbsp;']"
8834,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['815', '&nbsp;']","['795', '&nbsp;']","['20', '&nbsp;']","['21', '&nbsp;']","['20', '&nbsp;']","['1', '&nbsp;']"
8834,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,396', '&nbsp;']","['3,336', '&nbsp;']","['60', '&nbsp;']","['89', '&nbsp;']","['86', '&nbsp;']","['3', '&nbsp;']"
8834,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,223', '&nbsp;']","['15,071', '&nbsp;']","['1,152', '&nbsp;']","['440', '&nbsp;']","['379', '&nbsp;']","['61', '&nbsp;']"
8834,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,769 - 1,811', '&nbsp;']","['1,760', '&nbsp;']","['10 - 52', '&nbsp;']","['176 - 186', '&nbsp;']","['177', '&nbsp;']","['0 - 10', '&nbsp;']"
8834,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,807', '&nbsp;']","['4,121', '&nbsp;']","['686', '&nbsp;']","['49', '&nbsp;']","['6', '&nbsp;']","['43', '&nbsp;']"
8834,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,645', '&nbsp;']","['1,523', '&nbsp;']","['122', '&nbsp;']","['22', '&nbsp;']","['12', '&nbsp;']","['9', '&nbsp;']"
