table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_hierarchy_depth,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
2830,r001,Cumulative debt,Cumulative debt,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
2830,r002,Cumulative debt -> Mean,Cumulative debt,Mean,,2,"['$22,015', '']","['$31,039', '']","['$35,178', '']","['$8,591', '']","['$44,369', '']","['$52,692', '']","['$15,903', '']","['$84,050', '']","['$31,657', '']","['$39,445', '']","['$30,966', '']","['$38,486', '']"
2830,r003,Cumulative debt -> ,Cumulative debt,,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
2830,r004,Cumulative debt -> No debt,Cumulative debt,No debt,,2,"['16,780', '60.7']","['12,681', '54.6']","['15,808', '47.2']","['13,537', '78.6']","['965', '35.9']","['30', '28.8']","['2,219', '67.2']","['474', '20.0']","['11,396', '48.6']","['515', '46.4']","['150', '50.8']","['59', '41.5']"
2830,r005,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,2,"['2,215', '8.0']","['1,638', '7.1']","['2,460', '7.4']","['1,377', '8.0']","['245', '9.1']","['8', '7.7']","['250', '7.6']","['120', '5.1']","['1,729', '7.4']","['70', '6.3']","['25', '8.5']","['13', '9.2']"
2830,r006,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,2,"['1,647', '6.0']","['1,377', '5.9']","['2,393', '7.2']","['618', '3.6']","['205', '7.6']","['8', '7.7']","['216', '6.5']","['97', '4.1']","['1,758', '7.5']","['77', '6.9']","['22', '7.5']","['10', '7.0']"
2830,r007,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,2,"['1,293', '4.7']","['1,074', '4.6']","['1,965', '5.9']","['397', '2.3']","['177', '6.6']","['6', '5.8']","['119', '3.6']","['129', '5.4']","['1,459', '6.2']","['53', '4.8']","['16', '5.4']","['6', '4.2']"
2830,r008,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,2,"['925', '3.3']","['804', '3.5']","['1,490', '4.5']","['236', '1.4']","['133', '5.0']","['8', '7.7']","['73', '2.2']","['92', '3.9']","['1,117', '4.8']","['51', '4.6']","['8', '2.7']","['8', '5.6']"
2830,r009,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,2,"['677', '2.4']","['659', '2.8']","['1,142', '3.4']","['186', '1.1']","['119', '4.4']","['D', 'D']","['64', '1.9']","['113', '4.8']","['786', '3.4']","['39', '3.5']","['D', 'D']","['10', '7.0']"
2830,r010,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,2,"['517', '1.9']","['533', '2.3']","['924', '2.8']","['124', '0.7']","['96', '3.6']","['7', '6.7']","['51', '1.5']","['96', '4.1']","['629', '2.7']","['31', '2.8']","['9', '3.1']","['5', '3.5']"
2830,r011,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,2,"['478', '1.7']","['503', '2.2']","['874', '2.6']","['104', '0.6']","['83', '3.1']","['D', 'D']","['45', '1.4']","['86', '3.6']","['624', '2.7']","['26', '2.3']","['D', 'D']","['4', '2.8']"
