table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
7124,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    5,218,911 ', '&nbsp;']","['    4,109,445 ', '&nbsp;']","['    114,719 ', '&nbsp;']","['    211,608 ', '&nbsp;']","['    22,991 ', '&nbsp;']","['    12,065 ', '&nbsp;']","['    9,387 ', '&nbsp;']","['    712,053 ', '&nbsp;']","['    22,908 ', '&nbsp;']","['    3,736 ', '&nbsp;']"
7124,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    622,220 ', '&nbsp;']","['    525,012 ', '&nbsp;']","['    24,975 ', 'r']","['    15,484 ', '&nbsp;']","['    423 ', 'r']","['    821 ', '&nbsp;']","['    695 ', 'r']","['    53,506 ', '&nbsp;']","['    1,191 ', '&nbsp;']","['    113 ', '&nbsp;']"
7124,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    5,896 ', '&nbsp;']","['    4,140 ', 'r']","['-', '&nbsp;']","['    1,099 ', 'r']","['-', '&nbsp;']","['    417 ', 'r']","['-', '&nbsp;']","['    71 ', 'r']","['    168 ', 'r']","['-', '&nbsp;']"
7124,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    236 ', 'r']","['    236 ', 'r']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    4,065 ', 'r']","['    4,065 ', 'r']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    555 ', '&nbsp;']","['    555 ', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    178,170 ', '&nbsp;']","['    149,053 ', '&nbsp;']","['-', '&nbsp;']","['    3,045 ', 'r']","['    106 ', '&nbsp;']","['    127 ', 'r']","['    40 ', '&nbsp;']","['    25,452 ', '&nbsp;']","['    346 ', '&nbsp;']","['-', '&nbsp;']"
7124,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    117,508 ', '&nbsp;']","['    101,816 ', '&nbsp;']","['-', '&nbsp;']","['    865 ', '&nbsp;']","['-', '&nbsp;']","['    90 ', 'r']","['    40 ', '&nbsp;']","['    14,493 ', '&nbsp;']","['    204 ', '&nbsp;']","['-', '&nbsp;']"
7124,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    60,661 ', '&nbsp;']","['    47,237 ', '&nbsp;']","['-', '&nbsp;']","['    2,180 ', 'r']","['    106 ', '&nbsp;']","['    38 ', 'r']","['-', '&nbsp;']","['    10,959 ', 'r']","['    142 ', '&nbsp;']","['-', '&nbsp;']"
7124,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    6,261 ', '&nbsp;']","['    6,160 ', '&nbsp;']","['-', '&nbsp;']","['    33 ', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['69.00', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    5,860 ', 'r']","['    21 ', '&nbsp;']","['    5,644 ', 'r']","['    195 ', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
7124,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    2,353 ', 'r']","['    2,353 ', 'r']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']","['-', '&nbsp;']"
