table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere,field_r_d_plant
5219,r001,United States<sup>f</sup>,United States<sup>f</sup>,,1,2444981212,692719374,1752261838,951571893,459984365,340705580,9786932
5219,r002,United States<sup>f</sup> -> Alabama,United States<sup>f</sup>,Alabama,2,25695555,13704571,11990984,4956721,13600,7020663,0
5219,r003,United States<sup>f</sup> -> Alaska,United States<sup>f</sup>,Alaska,2,15193507,10745451,4448056,1340349,3107707,0,0
5219,r004,United States<sup>f</sup> -> Arizona,United States<sup>f</sup>,Arizona,2,16010502,1562435,14448067,7224814,813783,6409470,0
5219,r005,United States<sup>f</sup> -> Arkansas,United States<sup>f</sup>,Arkansas,2,19921168,189018,19732150,19328641,398009,5500,0
5219,r006,United States<sup>f</sup> -> California,United States<sup>f</sup>,California,2,533900597,81087677,452812920,143835743,209309516,99667661,0
5219,r007,United States<sup>f</sup> -> Colorado,United States<sup>f</sup>,Colorado,2,34365638,12047699,22317939,8619433,12006033,1692473,0
5219,r008,United States<sup>f</sup> -> Connecticut,United States<sup>f</sup>,Connecticut,2,58810853,25868030,32942823,7272360,24070158,1600305,0
5219,r009,United States<sup>f</sup> -> Delaware,United States<sup>f</sup>,Delaware,2,3598156,2312965,1285191,859673,374718,50800,0
5219,r010,United States<sup>f</sup> -> District of Columbia,United States<sup>f</sup>,District of Columbia,2,5860668,2510818,3349850,1015794,2134056,200000,0
5219,r011,United States<sup>f</sup> -> Florida,United States<sup>f</sup>,Florida,2,184600202,52430371,132169831,72664126,3549778,55955927,5209705
5219,r012,United States<sup>f</sup> -> Georgia,United States<sup>f</sup>,Georgia,2,15877238,2648196,13229042,5813168,3887493,3528381,0
5219,r013,United States<sup>f</sup> -> Hawaii,United States<sup>f</sup>,Hawaii,2,11122545,6531042,4591503,1238450,3263143,89910,0
5219,r014,United States<sup>f</sup> -> Idaho,United States<sup>f</sup>,Idaho,2,21882976,7967885,13915091,9416047,283302,4215742,5000
5219,r015,United States<sup>f</sup> -> Illinois,United States<sup>f</sup>,Illinois,2,16055917,626262,15429655,10844423,254784,4330448,0
5219,r016,United States<sup>f</sup> -> Indiana,United States<sup>f</sup>,Indiana,2,9591408,92268,9499140,8505448,100000,893692,0
5219,r017,United States<sup>f</sup> -> Iowa,United States<sup>f</sup>,Iowa,2,12348062,3430444,8917618,8383653,519554,14411,0
5219,r018,United States<sup>f</sup> -> Kansas,United States<sup>f</sup>,Kansas,2,13152904,999734,12153170,10382216,0,1770954,0
5219,r019,United States<sup>f</sup> -> Kentucky,United States<sup>f</sup>,Kentucky,2,26782125,1752643,25029482,23155605,1636871,237006,0
5219,r020,United States<sup>f</sup> -> Louisiana,United States<sup>f</sup>,Louisiana,2,32360516,11101353,21259163,18797267,2249822,212074,150000
5219,r021,United States<sup>f</sup> -> Maine,United States<sup>f</sup>,Maine,2,29035990,4038999,24996991,693082,15476463,8827446,0
5219,r022,United States<sup>f</sup> -> Maryland,United States<sup>f</sup>,Maryland,2,33407022,659436,32747586,29720355,2000399,1026832,0
5219,r023,United States<sup>f</sup> -> Massachusetts,United States<sup>f</sup>,Massachusetts,2,31700411,9681990,22018421,12797171,7736552,1484698,0
5219,r024,United States<sup>f</sup> -> Michigan,United States<sup>f</sup>,Michigan,2,11191816,527096,10664720,5687599,1125114,3852007,0
5219,r025,United States<sup>f</sup> -> Minnesota,United States<sup>f</sup>,Minnesota,2,20511698,2583398,17928300,11890847,3160956,2876497,0
5219,r026,United States<sup>f</sup> -> Mississippi,United States<sup>f</sup>,Mississippi,2,10268396,1236050,9032346,4803101,832974,3396271,0
5219,r027,United States<sup>f</sup> -> Missouri,United States<sup>f</sup>,Missouri,2,14826364,8112983,6713381,5121461,1331474,260446,0
5219,r028,United States<sup>f</sup> -> Montana,United States<sup>f</sup>,Montana,2,13131022,6104413,7026609,5798378,300381,927850,0
5219,r029,United States<sup>f</sup> -> Nebraska,United States<sup>f</sup>,Nebraska,2,32423818,2342783,30081035,27924739,1287704,868592,0
5219,r030,United States<sup>f</sup> -> Nevada,United States<sup>f</sup>,Nevada,2,4764898,188146,4576752,3484810,163044,928898,0
5219,r031,United States<sup>f</sup> -> New Hampshire,United States<sup>f</sup>,New Hampshire,2,8221518,49309,8172209,604163,7042440,525606,0
5219,r032,United States<sup>f</sup> -> New Jersey,United States<sup>f</sup>,New Jersey,2,23754925,2624342,21130583,18717366,1393217,1020000,0
5219,r033,United States<sup>f</sup> -> New Mexico,United States<sup>f</sup>,New Mexico,2,5227599,2594660,2632939,1891660,741279,0,0
5219,r034,United States<sup>f</sup> -> New York,United States<sup>f</sup>,New York,2,453807331,278751443,175055888,136921163,14666556,23468169,640000
5219,r035,United States<sup>f</sup> -> North Carolina,United States<sup>f</sup>,North Carolina,2,35892185,17813294,18078891,16274791,591263,1212837,1000000
5219,r036,United States<sup>f</sup> -> North Dakota,United States<sup>f</sup>,North Dakota,2,18065251,346342,17718909,9635162,7041396,1042351,0
