table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_level_3,_b_total_in_survey_b_hierarchy_depth,value
3447,r001,"Fall 2019, all surveyed fields",Total in survey,Master's students,Full time,3,254532
3447,r002,"Fall 2019, all surveyed fields",Total in survey,Master's students,Part time,3,153696
3447,r003,"Fall 2019, all surveyed fields",Total in survey,Doctoral students,Full time,3,247910
3447,r004,"Fall 2019, all surveyed fields",Total in survey,Doctoral students,Part time,3,33979
3447,r005,"Fall 2019, all surveyed fields",Number imputed,Master's students,Full time,3,7995
3447,r006,"Fall 2019, all surveyed fields",Number imputed,Master's students,Part time,3,3251
3447,r007,"Fall 2019, all surveyed fields",Number imputed,Doctoral students,Full time,3,5258
3447,r008,"Fall 2019, all surveyed fields",Number imputed,Doctoral students,Part time,3,527
3447,r009,"Fall 2019, all surveyed fields",Imputation rate (%),Master's students,Full time,3,3.1
3447,r010,"Fall 2019, all surveyed fields",Imputation rate (%),Master's students,Part time,3,2.1
3447,r011,"Fall 2019, all surveyed fields",Imputation rate (%),Doctoral students,Full time,3,2.1
3447,r012,"Fall 2019, all surveyed fields",Imputation rate (%),Doctoral students,Part time,3,1.6
3447,r013,"Fall 2019, all surveyed fields -> Science and engineering",Total in survey,Master's students,Full time,3,216427
3447,r014,"Fall 2019, all surveyed fields -> Science and engineering",Total in survey,Master's students,Part time,3,135307
3447,r015,"Fall 2019, all surveyed fields -> Science and engineering",Total in survey,Doctoral students,Full time,3,236363
3447,r016,"Fall 2019, all surveyed fields -> Science and engineering",Total in survey,Doctoral students,Part time,3,29598
3447,r017,"Fall 2019, all surveyed fields -> Science and engineering",Number imputed,Master's students,Full time,3,7064
3447,r018,"Fall 2019, all surveyed fields -> Science and engineering",Number imputed,Master's students,Part time,3,3064
3447,r019,"Fall 2019, all surveyed fields -> Science and engineering",Number imputed,Doctoral students,Full time,3,4841
3447,r020,"Fall 2019, all surveyed fields -> Science and engineering",Number imputed,Doctoral students,Part time,3,397
3447,r021,"Fall 2019, all surveyed fields -> Science and engineering",Imputation rate (%),Master's students,Full time,3,3.3
3447,r022,"Fall 2019, all surveyed fields -> Science and engineering",Imputation rate (%),Master's students,Part time,3,2.3
3447,r023,"Fall 2019, all surveyed fields -> Science and engineering",Imputation rate (%),Doctoral students,Full time,3,2.0
3447,r024,"Fall 2019, all surveyed fields -> Science and engineering",Imputation rate (%),Doctoral students,Part time,3,1.3
3447,r025,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Total in survey,Master's students,Full time,3,158704
3447,r026,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Total in survey,Master's students,Part time,3,101091
3447,r027,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Total in survey,Doctoral students,Full time,3,172969
3447,r028,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Total in survey,Doctoral students,Part time,3,20927
3447,r029,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Number imputed,Master's students,Full time,3,6069
3447,r030,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Number imputed,Master's students,Part time,3,2496
3447,r031,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Number imputed,Doctoral students,Full time,3,4140
3447,r032,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Number imputed,Doctoral students,Part time,3,299
3447,r033,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Imputation rate (%),Master's students,Full time,3,3.8
3447,r034,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Imputation rate (%),Master's students,Part time,3,2.5
3447,r035,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Imputation rate (%),Doctoral students,Full time,3,2.4
3447,r036,"Fall 2019, all surveyed fields -> Science and engineering -> Science",Imputation rate (%),Doctoral students,Part time,3,1.4
3447,r037,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Total in survey,Master's students,Full time,3,3504
3447,r038,"Fall 2019, all surveyed fields -> Science and engineering -> Science -> Agricultural sciences",Total in survey,Master's students,Part time,3,2125
