table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5540,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,4539,4537,6533,-0.0,44.0
5540,r002,R&D and R&D plant -> Energy supply (271),R&D and R&D plant,Energy supply (271),,,,2,4470,4471,6458,0.0,44.4
5540,r003,R&D and R&D plant ->    Department of Energy,R&D and R&D plant,   Department of Energy,,,,2,4462,4460,6447,-0.0,44.5
5540,r004,R&D and R&D plant ->    Department of Energy ->    Energy programs,R&D and R&D plant,   Department of Energy,   Energy programs,,,3,4070,4066,5416,-0.1,33.2
5540,r005,R&D and R&D plant ->    Department of Energy ->    Energy programs ->    Energy efficiency and renewable energy,R&D and R&D plant,   Department of Energy,   Energy programs,   Energy efficiency and renewable energy,,4,2009,2043,2980,1.7,45.8
5540,r006,R&D and R&D plant ->    Department of Energy ->    Energy programs ->    Fossil energy,R&D and R&D plant,   Department of Energy,   Energy programs,   Fossil energy,,4,709,721,868,1.6,20.5
5540,r007,R&D and R&D plant ->    Department of Energy ->    Energy programs ->    Nuclear energy,R&D and R&D plant,   Department of Energy,   Energy programs,   Nuclear energy,,4,1161,1068,1261,-8.0,18.1
5540,r008,R&D and R&D plant ->    Department of Energy ->    Energy programs ->    Electricity delivery,R&D and R&D plant,   Department of Energy,   Energy programs,   Electricity delivery,,4,155,171,236,10.5,38.0
5540,r009,"R&D and R&D plant ->    Department of Energy ->    Energy programs ->    Cybersecurity, Energy Security, and Emergency Response",R&D and R&D plant,   Department of Energy,   Energy programs,"   Cybersecurity, Energy Security, and Emergency Response",,4,36,63,70,76.1,11.5
5540,r010,R&D and R&D plant ->    Department of Energy ->    Advanced Research Projects Agency-Energy (ARPA-E),R&D and R&D plant,   Department of Energy,   Advanced Research Projects Agency-Energy (ARPA-E),,,3,390,392,463,0.5,18.1
