table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
7695,r001,United States<sup>b</sup>,United States<sup>b</sup>,,1,2471471226,612123519,1859347707
7695,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,2,29812345,6067898,23744447
7695,r003,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,2,19671388,11068861,8602527
7695,r004,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,2,15011508,5070319,9941189
7695,r005,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,2,9908767,983181,8925586
7695,r006,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,2,523819635,28494592,495325043
7695,r007,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,2,38436248,6546643,31889605
7695,r008,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,2,55050702,15879739,39170963
7695,r009,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,2,3338773,1355648,1983125
7695,r010,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,2,8128666,6245794,1882872
7695,r011,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,2,178360429,25068596,153291833
7695,r012,United States<sup>b</sup> -> Georgia,United States<sup>b</sup>,Georgia,2,18798826,17725257,1073569
7695,r013,United States<sup>b</sup> -> Hawaii,United States<sup>b</sup>,Hawaii,2,10315823,8334826,1980997
7695,r014,United States<sup>b</sup> -> Idaho,United States<sup>b</sup>,Idaho,2,18210054,9698956,8511098
7695,r015,United States<sup>b</sup> -> Illinois,United States<sup>b</sup>,Illinois,2,16213542,7152110,9061432
7695,r016,United States<sup>b</sup> -> Indiana,United States<sup>b</sup>,Indiana,2,10485205,6875499,3609706
7695,r017,United States<sup>b</sup> -> Iowa,United States<sup>b</sup>,Iowa,2,10579028,4841194,5737834
7695,r018,United States<sup>b</sup> -> Kansas,United States<sup>b</sup>,Kansas,2,15002554,8343437,6659117
7695,r019,United States<sup>b</sup> -> Kentucky,United States<sup>b</sup>,Kentucky,2,29737068,7548030,22189038
7695,r020,United States<sup>b</sup> -> Louisiana,United States<sup>b</sup>,Louisiana,2,32115461,19523775,12591686
