table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support,field_unknown,field_male,field_female
6023,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,,,,,,,,,,,,
6023,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,4.5,5.7,6.0,8.6,13.3,3.7,8.1,4.3,6.5,7.4,11.4,5.9,5.1,10.4,6.7,8.0
6023,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,9.6,7.9,29.3,7.0,11.0,5.1,20.8,30.5,10.4,7.2,16.4,4.9,na,18.0,8.9,10.7
6023,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,8.7,6.1,6.8,10.1,14.7,4.5,8.3,5.0,9.4,7.0,4.4,6.7,na,20.7,10.8,12.0
6023,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,7.1,0.0,0.0,3.4,3.6,0.0,7.7,0.0,47.6,2.2,14.3,9.6,na,48.1,8.0,8.5
6023,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,8.4,9.2,6.7,9.4,16.0,0.0,5.1,2.1,5.2,14.3,17.3,6.8,5.1,7.3,11.0,11.8
6023,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,,,,,,,,,,,,
6023,r008,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,2927,135,130,1728,122,26,293,37,173,721,165,877,32,596,2548,2190
6023,r009,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,662,9,22,105,11,2,46,18,30,95,63,88,na,181,337,334
6023,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,3502,132,139,1595,104,28,272,35,187,408,25,375,na,202,2623,1916
6023,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,237,0,0,77,3,0,2,0,40,4,2,58,na,51,121,155
6023,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1266,7,3,50,4,0,4,2,16,336,82,464,32,266,939,771
