table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_foreign_r_d_performance_total,field_total_foreign_r_d_performance_paid_for_by_the_company,field_total_foreign_r_d_performance_paid_for_by_others,field_research_basic_and_applied_total,field_research_basic_and_applied_paid_for_by_the_company,field_research_basic_and_applied_paid_for_by_others,field_development_total,field_development_paid_for_by_the_company,field_development_paid_for_by_others
9659,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['135,412', '  ']","['120,270', '  ']","['15,142', 'i ']","['24,477', '  ']","['19,940', '  ']","['4,537', 'i ']","['110,936', '  ']","['100,330', '  ']","['10,605', 'i ']"
9659,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['78,389', '  ']","['76,683', '  ']","['1,706', '  ']","['14,143', '  ']","['13,865', '  ']","['279', '  ']","['64,245', '  ']","['62,818', '  ']","['1,427', '  ']"
9659,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,190', '  ']","['1,182 - 1,187', '  ']","['3 - 8', '  ']","['441', '  ']","['437 - 442', '  ']","['0 - 5', '  ']","['749', '  ']","['745', '  ']","['4', 'i ']"
9659,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['893', '  ']","['893', '  ']","['0', '  ']","['202', '  ']","['202', '  ']","['0', '  ']","['691', '  ']","['691', '  ']","['0', '  ']"
9659,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['169', '  ']","['169', '  ']","['0', '  ']","['31', '  ']","['31', '  ']","['0', '  ']","['138', '  ']","['138', '  ']","['0', '  ']"
9659,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['4', '  ']","['0', '  ']","['0 - 4', '  ']","['0 - 4', '  ']","['0', '  ']","['0 - 4', '  ']","['0 - 4', '  ']","['0', '  ']"
9659,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['67', '  ']","['67', '  ']","['*', 'i ']","['11', '  ']","['11', '  ']","['*', 'i ']","['57', '  ']","['57', '  ']","['*', 'i ']"
9659,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['27', '  ']","['27', '  ']","['0', '  ']","['2', '  ']","['2', '  ']","['0', '  ']","['25', '  ']","['25', '  ']","['0', '  ']"
9659,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['175', '  ']","['175', '  ']","['0', '  ']","['40', '  ']","['40', '  ']","['0', '  ']","['135', '  ']","['135', '  ']","['0', '  ']"
9659,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['23,741', '  ']","['23,419', '  ']","['322', '  ']","['5,980', '  ']","['5,875', '  ']","['105', '  ']","['17,761', '  ']","['17,544', '  ']","['217', '  ']"
9659,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['997', '  ']","['994', '  ']","['4', '  ']","['420', '  ']","['417', '  ']","['3', '  ']","['577', '  ']","['577', '  ']","['*', '  ']"
9659,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['580', 'i ']","['550 - 581', 'i ']","['0 - 29', '  ']","['151', '  ']","['122 - 152', 'i ']","['0 - 29', '  ']","['429', 'i ']","['429', 'i ']","['*', 'i ']"
