table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent,field_unknown_number,field_unknown_percent
10685,r001,All surveyed fields,All surveyed fields,,,1,62750,31643,50.4,14529,23.2,9680,15.4,1166,1.9,633,1.0,5099,8.1
10685,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,36673,18955,51.7,8685,23.7,5217,14.2,519,1.4,297,0.8,3000,8.2
10685,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,1705,809,47.4,499,29.3,257,15.1,19,1.1,5,0.3,116,6.8
10685,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,19585,10900,55.7,3694,18.9,2787,14.2,266,1.4,94,0.5,1844,9.4
10685,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,859,385,44.8,273,31.8,115,13.4,28,3.3,12,1.4,46,5.4
10685,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1787,903,50.5,413,23.1,237,13.3,39,2.2,76,4.3,119,6.7
10685,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1110,310,27.9,577,52.0,117,10.5,7,0.6,11,1.0,88,7.9
10685,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary sciences,All surveyed fields,Science,Multidisciplinary and interdisciplinary sciences,3,840,366,43.6,252,30.0,131,15.6,11,1.3,8,1.0,72,8.6
10685,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,936,447,47.8,268,28.6,136,14.5,12,1.3,15,1.6,58,6.2
10685,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,6877,3797,55.2,1502,21.8,1012,14.7,91,1.3,42,0.6,433,6.3
10685,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1308,697,53.3,334,25.5,153,11.7,23,1.8,22,1.7,79,6.0
10685,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1666,341,20.5,873,52.4,272,16.3,23,1.4,12,0.7,145,8.7
10685,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8335,4169,50.0,2019,24.2,1423,17.1,230,2.8,79,0.9,415,5.0
10685,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,244,124,50.8,50,20.5,35,14.3,4,1.6,2,0.8,29,11.9
10685,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,1540,881,57.2,308,20.0,257,16.7,30,1.9,8,0.5,56,3.6
10685,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,1239,577,46.6,286,23.1,270,21.8,34,2.7,5,0.4,67,5.4
10685,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,1018,414,40.7,339,33.3,184,18.1,18,1.8,7,0.7,56,5.5
10685,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,1217,653,53.7,248,20.4,203,16.7,34,2.8,21,1.7,58,4.8
10685,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,143,53,37.1,53,37.1,19,13.3,8,5.6,0,0.0,10,7.0
10685,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,1189,595,50.0,314,26.4,151,12.7,47,4.0,8,0.7,74,6.2
10685,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,542,283,52.2,118,21.8,102,18.8,8,1.5,9,1.7,22,4.1
10685,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,1203,589,49.0,303,25.2,202,16.8,47,3.9,19,1.6,43,3.6
10685,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,17742,8519,48.0,3825,21.6,3040,17.1,417,2.4,257,1.4,1684,9.5
10685,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,15630,7521,48.1,3243,20.7,2692,17.2,406,2.6,245,1.6,1523,9.7
10685,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2112,998,47.3,582,27.6,348,16.5,11,0.5,12,0.6,161,7.6
