table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_total_number,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_number,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_number,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_number,field_science_mathematics_and_statistics_se,field_science_physical_sciences_number,field_science_physical_sciences_se,field_science_psychology_number,field_science_psychology_se,field_science_social_sciences_number,field_science_social_sciences_se,field_engineering_number,field_engineering_se,field_health_number,field_health_se
8203,r001,Doctorate recipient,Doctorate recipient,,,,1,872100,2425,647300,2000,226850,1275,33600,425,36600,575,137050,1025,113500,825,99700,1000,183100,1325,41650,525
8203,r002,Doctorate recipient -> Sex,Doctorate recipient,Sex,,,2,,,,,,,,,,,,,,,,,,,,
8203,r003,Doctorate recipient -> Sex -> Male,Doctorate recipient,Sex,Male,,3,543550,2350,378200,2000,125000,1225,27350,425,28100,575,101250,975,41050,900,55400,850,149800,1425,15600,450
8203,r004,Doctorate recipient -> Sex -> Female,Doctorate recipient,Sex,Female,,3,328500,1250,269100,1300,101850,900,6250,275,8500,350,35750,725,72450,825,44300,650,33300,675,26100,500
8203,r005,Doctorate recipient -> Ethnicity,Doctorate recipient,Ethnicity,,,2,,,,,,,,,,,,,,,,,,,,
8203,r006,Doctorate recipient -> Ethnicity -> Hispanic or Latino<sup>a</sup>,Doctorate recipient,Ethnicity,Hispanic or Latino<sup>a</sup>,,3,40100,475,31500,475,11300,325,1050,100,1500,125,4850,225,6550,300,6300,275,6900,250,1700,125
8203,r007,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,,3,,,,,,,,,,,,,,,,,,,,
8203,r008,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,4,1400,125,1050,100,250,50,,,0.05,0.05,100,25,350,75,350,75,200,50,150,50
8203,r009,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Asian,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Asian,4,219800,1600,133500,1475,53200,1025,14200,400,11150,500,34750,900,6600,375,13600,525,78100,1175,8250,350
8203,r010,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Black or African American,4,31800,475,23950,450,7300,300,750,100,900,100,2850,175,6000,325,6150,250,4500,250,3350,225
8203,r011,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> White,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,White,4,562950,2075,444750,2100,150150,1350,17050,500,22450,575,91950,1025,91600,825,71550,875,90800,1100,27400,500
8203,r012,Doctorate recipient -> Ethnicity -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,Doctorate recipient,Ethnicity,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,4,16000,575,12500,525,4700,325,550,175,600,150,2550,275,2400,225,1750,175,2600,250,900,150
8203,r013,Doctorate recipient -> Age,Doctorate recipient,Age,,,2,,,,,,,,,,,,,,,,,,,,
8203,r014,Doctorate recipient -> Age -> Under 35,Doctorate recipient,Age,Under 35,,3,99200,925,68800,850,25650,550,3650,250,5150,325,19850,525,7850,350,6700,325,26400,575,4000,225
8203,r015,Doctorate recipient -> Age -> 35&#8211;39,Doctorate recipient,Age,35&#8211;39,,3,130150,1225,93700,1175,37050,775,6500,350,6250,375,18100,525,13000,450,12850,500,31200,700,5250,275
8203,r016,Doctorate recipient -> Age -> 40&#8211;44,Doctorate recipient,Age,40&#8211;44,,3,127550,1400,94150,1200,35600,800,6350,350,5250,375,19200,625,13600,525,14150,425,27750,675,5650,325
8203,r017,Doctorate recipient -> Age -> 45&#8211;49,Doctorate recipient,Age,45&#8211;49,,3,111200,1250,83450,1050,30850,750,5250,325,4650,275,15700,550,13700,575,13300,525,22500,700,5300,350
8203,r018,Doctorate recipient -> Age -> 50&#8211;54,Doctorate recipient,Age,50&#8211;54,,3,104550,1225,78150,1150,26050,650,3600,225,4050,275,16050,550,13850,500,14500,500,21300,700,5100,300
8203,r019,Doctorate recipient -> Age -> 55&#8211;59,Doctorate recipient,Age,55&#8211;59,,3,98950,1375,72950,1100,24550,625,3100,225,4100,275,16750,575,12800,475,11650,475,21450,725,4600,275
8203,r020,Doctorate recipient -> Age -> 60&#8211;64,Doctorate recipient,Age,60&#8211;64,,3,86450,1375,64300,1175,21250,725,3050,250,3200,275,14300,600,12000,475,10450,425,17350,600,4800,325
8203,r021,Doctorate recipient -> Age -> 65&#8211;75,Doctorate recipient,Age,65&#8211;75,,3,114100,1575,91850,1350,25900,775,2150,225,4000,300,17050,600,26700,775,16100,575,15200,675,7000,400
8203,r022,Doctorate recipient -> Citizenship,Doctorate recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,,,
8203,r023,Doctorate recipient -> Citizenship -> U.S. citizen,Doctorate recipient,Citizenship,U.S. citizen,,3,746850,2200,570500,1950,201500,1325,23050,450,28500,575,117450,1050,110950,825,89050,1100,138850,1425,37550,525
8203,r024,Doctorate recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate recipient,Citizenship,U.S. citizen,Native-born,4,554050,1850,449900,1950,157450,1300,13350,400,19300,475,86600,1050,101250,900,71950,875,74600,925,29600,500
8203,r025,Doctorate recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate recipient,Citizenship,U.S. citizen,Naturalized,4,192800,1675,120600,1375,44050,925,9700,425,9200,450,30850,775,9750,475,17050,650,64250,1175,7950,400
8203,r026,Doctorate recipient -> Citizenship -> Non-U.S. citizen,Doctorate recipient,Citizenship,Non-U.S. citizen,,3,125250,1425,76800,1200,25350,675,10600,450,8150,450,19600,750,2500,275,10650,500,44300,975,4100,300
8203,r027,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,84250,1300,51300,1050,16350,550,7400,400,4950,400,12900,650,1850,225,7850,525,30400,825,2600,250
8203,r028,Doctorate recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,40950,825,25550,725,9000,425,3150,300,3200,300,6700,425,650,175,2800,225,13900,475,1550,200
8203,r029,Doctorate recipient -> Years since doctorate,Doctorate recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,,,
8203,r030,Doctorate recipient -> Years since doctorate -> &#8804; 5,Doctorate recipient,Years since doctorate,&#8804; 5,,3,141750,600,99900,775,36150,575,6600,275,6150,325,22050,525,13550,400,15350,475,32750,575,9100,275
8203,r031,Doctorate recipient -> Years since doctorate -> 6&#8211;10,Doctorate recipient,Years since doctorate,6&#8211;10,,3,159000,975,114100,1025,41900,600,8250,350,6800,350,21350,525,17150,425,18700,525,35750,725,9150,375
