table_id,row_id,selected_industry_and_naics_code_full_path,selected_industry_and_naics_code_level_1,selected_industry_and_naics_code_level_2,selected_industry_and_naics_code_hierarchy_depth,field_totalb,field_used_for_domestic_r_da_totalb_c,field_used_for_domestic_r_da_land_acquisition_,field_used_for_domestic_r_da_buildingsand_land_improvementd,field_used_for_domestic_r_da_equipment,field_used_for_domestic_r_da_capitalized_software,field_used_for_domestic_r_da_all_other_andundistributede
2361,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,1,"['665,199', '  ']","['34,743', '  ']","['659', '  ']","['4,063', '  ']","['16,393', '  ']","['9,659', '  ']","['3,969', '  ']"
2361,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",2,"['283,452', '  ']","['18,582', '  ']","['240', '  ']","['3,047', '  ']","['11,541', '  ']","['1,750', '  ']","['2,004', '  ']"
2361,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",2,"['381,747', '  ']","['16,161', '  ']","['419', '  ']","['1,016', '  ']","['4,852', '  ']","['7,908', '  ']","['1,965', '  ']"
