table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_expenditures_total,field_all_expenditures_public,field_all_expenditures_private,field_federal_total,field_federal_public,field_federal_private,field_nonfederal_total,field_nonfederal_public,field_nonfederal_private
3133,r001,All R&D fields,All R&D fields,,,,1,2433525,1745660,687865,1065901,696751,369150,1367624,1048909,318715
3133,r002,All R&D fields -> Science,All R&D fields,Science,,,2,1616462,1113722,502740,755246,479528,275718,861216,634194,227022
3133,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,81785,50482,31303,44768,28987,15781,37017,21495,15522
3133,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,108984,92571,16413,69685,60306,9379,39299,32265,7034
3133,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,19105,16442,2663,13554,11611,1943,5551,4831,720
3133,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,38369,29333,9036,17984,12968,5016,20385,16365,4020
3133,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,42810,40092,2718,32883,31491,1392,9927,8601,1326
3133,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,8700,6704,1996,5264,4236,1028,3436,2468,968
3133,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,968567,680075,288492,376377,225401,150976,592190,454674,137516
3133,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,80396,78480,1916,18556,17619,937,61840,60861,979
3133,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,450427,283060,167367,207058,117889,89169,243369,165171,78198
3133,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,388011,285143,102868,136534,82487,54047,251477,202656,48821
3133,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,11721,10738,983,3532,3256,276,8189,7482,707
3133,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,38012,22654,15358,10697,4150,6547,27315,18504,8811
3133,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,7938,4176,3762,4323,2959,1364,3615,1217,2398
3133,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,378838,232017,146821,239981,146551,93430,138857,85466,53391
3133,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,31787,20028,11759,18658,11175,7483,13129,8853,4276
3133,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,124277,89934,34343,69812,49149,20663,54465,40785,13680
3133,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,17684,11408,6276,10769,6773,3996,6915,4635,2280
3133,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,180942,101466,79476,131221,74378,56843,49721,27088,22633
3133,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,24148,9181,14967,9521,5076,4445,14627,4105,10522
3133,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,16725,12008,4717,8047,5354,2693,8678,6654,2024
3133,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,15003,11767,3236,3605,3343,262,11398,8424,2974
3133,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,1757,1317,440,316,249,67,1441,1068,373
3133,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,1369,1176,193,105,83,22,1264,1093,171
3133,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,1224,1130,94,356,343,13,868,787,81
3133,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,1891,1539,352,566,475,91,1325,1064,261
3133,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,8762,6605,2157,2262,2193,69,6500,4412,2088
3133,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,38622,30626,7996,8460,6627,1833,30162,23999,6163
3133,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,770261,597002,173259,305152,212328,92824,465109,384674,80435
3133,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,44407,32692,11715,24698,20027,4671,19709,12665,7044
3133,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,59748,37985,21763,26910,14535,12375,32838,23450,9388
3133,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,46903,34695,12208,17049,11382,5667,29854,23313,6541
3133,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,34843,29554,5289,12342,10339,2003,22501,19215,3286
3133,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,136852,95896,40956,80364,63550,16814,56488,32346,24142
3133,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,26118,15507,10611,18575,11118,7457,7543,4389,3154
3133,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,93404,65717,27687,49220,34251,14969,44184,31466,12718
3133,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,68605,48858,19747,38508,23688,14820,30097,25170,4927
3133,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,259381,236098,23283,37486,23438,14048,221895,212660,9235
3133,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,46802,34936,11866,5503,4895,608,41299,30041,11258
3133,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,7606,4020,3586,214,206,8,7392,3814,3578
3133,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,3996,3945,51,141,130,11,3855,3815,40
3133,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,4296,3797,499,1154,1131,23,3142,2666,476
3133,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,4435,2339,2096,26,26,0,4409,2313,2096
3133,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,526,519,7,182,182,0,344,337,7
3133,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,2144,2069,75,173,159,14,1971,1910,61
3133,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,1416,1161,255,135,2,133,1281,1159,122
3133,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,22383,17086,5297,3478,3059,419,18905,14027,4878
