table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_hierarchy_depth,field_census_code_s_,field_rural_czs,field_urban_czs
5971,r001,"Science, engineering, and technical occupations","Science, engineering, and technical occupations",,1,"100–76, 190–96",99.95,89.12
5971,r002,Management occupations,Management occupations,,1,,,
5971,r003,Management occupations -> Marketing and sales managers,Management occupations,Marketing and sales managers,2,5,96.77,99.68
5971,r004,Management occupations -> Engineering managers,Management occupations,Engineering managers,2,30,60,100
5971,r005,"Life, physical, and social science occupations","Life, physical, and social science occupations",,1,,,
5971,r006,"Life, physical, and social science occupations -> Market and survey researchers","Life, physical, and social science occupations",Market and survey researchers,2,181,0,99.31
5971,r007,"Arts, design, entertainment, sports, and media occupations","Arts, design, entertainment, sports, and media occupations",,1,,,
5971,r008,"Arts, design, entertainment, sports, and media occupations -> Designers","Arts, design, entertainment, sports, and media occupations",Designers,2,263,3.48,97.63
5971,r009,"Arts, design, entertainment, sports, and media occupations -> Technical writers","Arts, design, entertainment, sports, and media occupations",Technical writers,2,284,14.52,100
5971,r010,Production occupations,Production occupations,,1,,,
5971,r011,"Production occupations -> Electrical, electronics, and electromechanical assemblers",Production occupations,"Electrical, electronics, and electromechanical assemblers",2,772,0,100
5971,r012,Production occupations -> Computer control programmers and operators,Production occupations,Computer control programmers and operators,2,790,90.21,0
5971,r013,Production occupations -> Machinists,Production occupations,Machinists,2,803,99.01,0
5971,r014,"Production occupations -> Model makers and patternmakers, metal and plastic",Production occupations,"Model makers and patternmakers, metal and plastic",2,806,100,0
5971,r015,Production occupations -> Tool and die makers,Production occupations,Tool and die makers,2,813,100,0
5971,r016,Production occupations -> Semiconductor processors,Production occupations,Semiconductor processors,2,884,100,0.8
