table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_economy,field_isic_rev_4_industry_codes,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10758,r001,&nbsp;,&nbsp;,,,,,1,,,Millions of current U.S. dollars,,,,,,,,,,,,,,,,,,,,
10758,r002,"All ISIC, Rev.4, industries","All ISIC, Rev.4, industries",,,,,1,World (75),A to U,32297883,36163924,40550700,43802880,47269665,53041164,57933180,55400804,60317236,67029752,68189227,70206619,72110177,68520870,69908875,74247554,79084302,80470247,78728503,89248692,94811409
10758,r003,"All ISIC, Rev.4, industries -> All manufacturing","All ISIC, Rev.4, industries",All manufacturing,,,,2,World (75),C (10–33),5558390,6221091,6985730,7542582,8148070,9159801,9870391,9032916,10224710,11422949,11592891,11871820,12255809,11841348,11952702,12815571,13926074,13808605,13456782,15881774,17038528
10758,r004,"All ISIC, Rev.4, industries -> Total private services","All ISIC, Rev.4, industries",Total private services,,,,2,World (75),G to N,15908966,17741453,19763717,21305368,22849606,25656899,27698311,26594724,28617845,31522594,32208170,33236522,34335252,33046000,33932230,35832141,37954130,38724790,37791498,42484749,44297731
10758,r005,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries","All ISIC, Rev.4, industries",Total private services,All KTI industries,,,3,World (75),,3425923,3819787,4241315,4494433,4855642,5458518,5945369,5528571,6302297,7034753,7153230,7370458,7690667,7532478,7741689,8380363,9085075,9093984,9055296,10486860,11079014
10758,r006,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,,4,World (75),,2603969,2913361,3225580,3403308,3683119,4128065,4417167,4016089,4657186,5182790,5243087,5363161,5561042,5472152,5567676,6028582,6497567,6388958,6310852,7345881,7820964
10758,r007,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Chemicals and chemical products","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,Chemicals and chemical products,5,World (75),C20,391552,430214,493438,513783,557109,644899,701593,667802,793620,918241,908870,936278,941946,935324,931621,991734,1072221,1040445,1017728,1172896,1405789
10758,r008,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Pharmaceuticals, medicinal chemical, and botanical products","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,"Pharmaceuticals, medicinal chemical, and botanical products",5,World (75),C21,269638,300154,323865,338160,369171,403242,429152,451514,458261,490602,486054,495959,513559,542848,579058,611550,663460,682537,736094,867901,873662
10758,r009,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Weapons and ammunition","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,Weapons and ammunition,5,World (75),C252,15070,17238,19590,21414,24225,27013,30898,27057,30468,33644,36119,37920,36364,35138,36484,37097,38642,40149,40882,46679,53709
10758,r010,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Computer, electronic, and optical products","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,"Computer, electronic, and optical products",5,World (75),C26,541650,618213,689850,721009,775364,837846,863762,782008,900277,957114,965394,999162,1057349,1055356,1064033,1166197,1285242,1249585,1281462,1478183,1539262
10758,r011,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Electrical equipment","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,Electrical equipment,5,World (75),C27,240575,268261,294655,313701,351529,394180,450834,416332,469454,514242,524844,545986,561699,546078,552340,609600,661285,658307,669097,793869,837491
10758,r012,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Machinery and equipment nec","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,Machinery and equipment nec,5,World (75),C28,444028,498616,570569,616180,673537,775717,875357,736187,855887,1006789,1023916,1030301,1055399,983939,978865,1073913,1168605,1144606,1144934,1354805,1427041
10758,r013,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Motor vehicles, trailers, and semi-trailers","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,"Motor vehicles, trailers, and semi-trailers",5,World (75),C29,481597,543729,579544,599813,628426,694549,682223,551858,743990,820583,856622,874668,940579,914002,959632,1039633,1074212,1029293,921801,1071028,1073795
10758,r014,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Railroad, military vehicles, and transport equipment nec","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,"Railroad, military vehicles, and transport equipment nec",5,World (75),C30X,40344,44667,47595,52175,56122,66713,79048,80351,89282,102135,102582,95591,96545,97184,100325,102526,111902,114073,103187,124463,137378
10758,r015,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Air and spacecraft and related machinery","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,Air and spacecraft and related machinery,5,World (75),C303,106154,111071,121268,138414,152095,178359,187254,181964,191918,207928,206684,211855,219237,220862,219463,237059,247390,256611,225915,246474,276821
10758,r016,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI manufacturing industries -> Medical and dental instruments and supplies","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI manufacturing industries,Medical and dental instruments and supplies,5,World (75),C325,73360,81198,85206,88659,95541,105547,117046,121014,124029,131512,132001,135441,138364,141420,145853,159273,174608,173352,169751,189583,196016
10758,r017,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI service industries","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI service industries,,4,World (75),,821954,906426,1015735,1091125,1172524,1330453,1528202,1512482,1645111,1851963,1910143,2007298,2129626,2060326,2174014,2351781,2587509,2705026,2744444,3140979,3258050
10758,r018,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI service industries -> Software publishing","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI service industries,Software publishing,5,World (75),J582,87775,94031,110606,121827,123193,143181,152209,152808,166800,190239,198502,212995,226706,223928,242489,264804,300563,333045,381780,442984,462761
10758,r019,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI service industries -> IT and other information services","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI service industries,IT and other information services,5,World (75),J62–63,519408,570917,632362,676096,731007,823095,938611,915924,986602,1110549,1137779,1195327,1265749,1234312,1311703,1420210,1569211,1632407,1654316,1883978,1970875
10758,r020,"All ISIC, Rev.4, industries -> Total private services -> All KTI industries -> KTI service industries -> Scientific R&D","All ISIC, Rev.4, industries",Total private services,All KTI industries,KTI service industries,Scientific R&D,5,World (75),M72,214771,241478,272768,293202,318324,364177,437382,443750,491709,551175,573862,598976,637171,602085,619822,666766,717734,739574,708349,814017,824414
10758,r021,Analytical ratios (%),Analytical ratios (%),,,,,1,,,KTI shares (%),,,,,,,,,,,,,,,,,,,,
10758,r022,"Analytical ratios (%) -> KTI/all ISIC, Rev.4, industries (%)",Analytical ratios (%),"KTI/all ISIC, Rev.4, industries (%)",,,,2,World (75),,10.6,10.6,10.5,10.3,10.3,10.3,10.3,10.0,10.4,10.5,10.5,10.5,10.7,11.0,11.1,11.3,11.5,11.3,11.5,11.8,11.7
10758,r023,Analytical ratios (%) -> KTI manufacturing industries/all KTI (%),Analytical ratios (%),KTI manufacturing industries/all KTI (%),,,,2,World (75),,76.0,76.3,76.1,75.7,75.9,75.6,74.3,72.6,73.9,73.7,73.3,72.8,72.3,72.6,71.9,71.9,71.5,70.3,69.7,70.0,70.6
10758,r024,Analytical ratios (%) -> KTI service industries/all KTI (%),Analytical ratios (%),KTI service industries/all KTI (%),,,,2,World (75),,24.0,23.7,23.9,24.3,24.1,24.4,25.7,27.4,26.1,26.3,26.7,27.2,27.7,27.4,28.1,28.1,28.5,29.7,30.3,30.0,29.4
10758,r025,&nbsp;,&nbsp;,,,,,1,,,Millions of current U.S. dollars,,,,,,,,,,,,,,,,,,,,
10758,r026,"All ISIC, Rev.4, industries","All ISIC, Rev.4, industries",,,,,1,Canada,A to U,703718,831869,954242,1092839,1230567,1371505,1457280,1286975,1513478,1680410,1711527,1729799,1690662,1452009,1422812,1534376,1607441,1626468,1536979,1858713,2096357
