table_id,row_id,field_of_research_full_path,field_of_research_level_1,field_of_research_level_2,field_of_research_level_3,field_of_research_level_4,field_of_research_hierarchy_depth,field_total_number,field_total_percent,field_citizenship_status_u_s_citizens_and_permanent_residents_number,field_citizenship_status_u_s_citizens_and_permanent_residents_percent,field_citizenship_status_temporary_visa_holders_number,field_citizenship_status_temporary_visa_holders_percent,field_federal_sponsor_department_of_energy_number,field_federal_sponsor_department_of_energy_percent,field_federal_sponsor_all_other_federal_sponsors_number,field_federal_sponsor_all_other_federal_sponsors_percent
7505,r001,All postdoctoral researchers,All postdoctoral researchers,,,,1,3637,100.0,1779,100.0,1858,100.0,3357,100.0,280,100.0
7505,r002,All postdoctoral researchers -> Science and engineering,All postdoctoral researchers,Science and engineering,,,2,3513,96.6,1700,95.6,1813,97.6,3252,96.9,261,93.2
7505,r003,All postdoctoral researchers -> Science and engineering -> Science,All postdoctoral researchers,Science and engineering,Science,,3,2571,70.7,1238,69.6,1333,71.7,2359,70.3,212,75.7
7505,r004,All postdoctoral researchers -> Science and engineering -> Science -> Agricultural and veterinary sciences,All postdoctoral researchers,Science and engineering,Science,Agricultural and veterinary sciences,4,7,0.2,4,0.2,3,0.2,7,0.2,0,0.0
7505,r005,All postdoctoral researchers -> Science and engineering -> Science -> Biological and biomedical sciences,All postdoctoral researchers,Science and engineering,Science,Biological and biomedical sciences,4,258,7.1,155,8.7,103,5.5,248,7.4,10,3.6
7505,r006,All postdoctoral researchers -> Science and engineering -> Science -> Chemistry,All postdoctoral researchers,Science and engineering,Science,Chemistry,4,458,12.6,265,14.9,193,10.4,442,13.2,16,5.7
7505,r007,All postdoctoral researchers -> Science and engineering -> Science -> Computer and information sciences,All postdoctoral researchers,Science and engineering,Science,Computer and information sciences,4,173,4.8,62,3.5,111,6.0,164,4.9,9,3.2
7505,r008,"All postdoctoral researchers -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences ",All postdoctoral researchers,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences ",4,242,6.7,108,6.1,134,7.2,151,4.5,91,32.5
7505,r009,All postdoctoral researchers -> Science and engineering -> Science -> Materials science and chemistry,All postdoctoral researchers,Science and engineering,Science,Materials science and chemistry,4,412,11.3,171,9.6,241,13.0,410,12.2,2,0.7
7505,r010,All postdoctoral researchers -> Science and engineering -> Science -> Mathematics and statistics,All postdoctoral researchers,Science and engineering,Science,Mathematics and statistics,4,75,2.1,32,1.8,43,2.3,67,2.0,8,2.9
7505,r011,All postdoctoral researchers -> Science and engineering -> Science -> Natural resources and conservation,All postdoctoral researchers,Science and engineering,Science,Natural resources and conservation,4,16,0.4,10,0.6,6,0.3,16,0.5,0,0.0
