table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_capital_expenditures_total,field_worldwide_capital_expenditures_property_plant_and_equipment,field_worldwide_capital_expenditures_identifiable_intangible_assets,field_foreign_capital_expenditures_total,field_foreign_capital_expenditures_property_plant_and_equipment,field_foreign_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_total,field_domestic_capital_expenditures_property_plant_and_equipment,field_domestic_capital_expenditures_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_total,field_domestic_capital_expenditures_for_r_d_property_plant_and_equipment,field_domestic_capital_expenditures_for_r_d_identifiable_intangible_assets,field_domestic_capital_expenditures_for_r_d_type_of_property_land_acquisition,field_domestic_capital_expenditures_for_r_d_type_of_property_buildings_and_land_improvement,field_domestic_capital_expenditures_for_r_d_type_of_property_machinery_and_equipment,field_domestic_capital_expenditures_for_r_d_type_of_property_capitalized_software,field_domestic_capital_expenditures_for_r_d_type_of_property_other_intellectual_property,field_domestic_capital_expenditures_for_r_d_type_of_property_all_other
12316,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['1,088,280', '  ']","['993,314', '  ']","['94,965', '  ']","['218,741', '  ']","['203,823', '  ']","['14,919', '  ']","['869,538', '  ']","['789,492', '  ']","['80,047', '  ']","['36,069', '  ']","['31,655', '  ']","['4,414', '  ']","['155', '  ']","['5,135', '  ']","['22,228', '  ']","['2,743', '  ']","['3,726', '  ']","['2,082', '  ']"
12316,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['446,684', '  ']","['415,504', '  ']","['31,180', '  ']","['136,573', '  ']","['130,849', '  ']","['5,725', '  ']","['310,111', '  ']","['284,655', '  ']","['25,456', '  ']","['23,717', '  ']","['20,988', '  ']","['2,729', '  ']","['100', '  ']","['3,790', '  ']","['14,713', '  ']","['1,466', '  ']","['2,144', '  ']","['1,504', '  ']"
12316,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['45,943', '  ']","['43,461', '  ']","['2,481', '  ']","['11,102', 'i ']","['10,483', 'i ']","['619', '  ']","['34,841', '  ']","['32,978', '  ']","['1,863', '  ']","['544', '  ']","['542', '  ']","['2', '  ']","['4', '  ']","['141', '  ']","['382', '  ']","['3', '  ']","['1', '  ']","['12', '  ']"
12316,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['8,780', '  ']","['7,965', '  ']","['815', 'i ']","['2,738', '  ']","['2,705', '  ']","['33', '  ']","['6,041', '  ']","['5,260', '  ']","['782', 'i ']","['76', 'i ']","['74', 'i ']","['2', 'i ']","['*', 'i ']","['7', 'i ']","['66', 'i ']","['2', 'i ']","['*', 'i ']","['1', 'i ']"
12316,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['3,578', '  ']","['3,372', '  ']","['205', '  ']","['981', '  ']","['958', '  ']","['23', '  ']","['2,596', '  ']","['2,415', '  ']","['182', '  ']","['44', '  ']","['42', '  ']","['2', '  ']","['*', '  ']","['15', '  ']","['24', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
12316,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3,032', '  ']","['3,030', '  ']","['2', 'i ']","['76', '  ']","['76', '  ']","['0', '  ']","['2,956', '  ']","['2,954', '  ']","['2', 'i ']","['40', 'i ']","['39', 'i ']","['1', 'i ']","['0', '  ']","['2', 'i ']","['34', 'i ']","['2', 'i ']","['*', 'i ']","['2', 'i ']"
12316,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['5,474', '  ']","['5,471', '  ']","['3', '  ']","['436', '  ']","['436', '  ']","['*', '  ']","['5,037', '  ']","['5,035', '  ']","['3', '  ']","['266', '  ']","['266', '  ']","['*', 'i ']","['0', '  ']","['2', 'i ']","['264', '  ']","['*', 'i ']","['0', '  ']","['*', 'i ']"
12316,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1,311', '  ']","['1,177', '  ']","['135', '  ']","['91', '  ']","['91', '  ']","['*', '  ']","['1,220', '  ']","['1,085', '  ']","['135', '  ']","['12', '  ']","['12', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['11', '  ']","['*', '  ']","['0', '  ']","['*', '  ']"
12316,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['30,051', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['142', '  ']","['141', '  ']","['1', '  ']","['0', '  ']","['16', '  ']","['119', '  ']","['2', '  ']","['*', 'i ']","['5', 'i ']"
12316,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['87,797', '  ']","['79,451', '  ']","['8,346', '  ']","['24,865', '  ']","['22,232', '  ']","['2,633', '  ']","['62,932', '  ']","['57,219', '  ']","['5,713', '  ']","['6,121', '  ']","['5,180', '  ']","['941', '  ']","['52', '  ']","['1,611', '  ']","['2,988', '  ']","['323', '  ']","['884', '  ']","['263', '  ']"
