table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female
2578,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    55,083 ', '&nbsp;']","['    42,704 ', '&nbsp;']","['    12,379 ', '&nbsp;']"
2578,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    6,295 ', '&nbsp;']","['    5,175 ', '&nbsp;']","['    1,120 ', '&nbsp;']"
2578,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    67 ', '&nbsp;']","['    63 ', '&nbsp;']","['    3 ', 'r']"
2578,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    35 ', 'r']","['    27 ', 'r']","['    7 ', 'r']"
2578,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2578,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2578,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2578,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2578,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    349 ', '&nbsp;']","['    221 ', '&nbsp;']","['    128 ', '&nbsp;']"
2578,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    724 ', '&nbsp;']","['    511 ', '&nbsp;']","['    213 ', '&nbsp;']"
2578,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    45 ', '&nbsp;']","['    38 ', '&nbsp;']","['    7 ', '&nbsp;']"
2578,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    14 ', 'r']","['    9 ', '&nbsp;']","['    6 ', 'r']"
2578,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    3 ', 'r']","['    3 ', 'r']","['    0 ', '&nbsp;']"
2578,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    69 ', '&nbsp;']","['    53 ', '&nbsp;']","['    15 ', '&nbsp;']"
2578,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    687 ', '&nbsp;']","['    652 ', '&nbsp;']","['    35 ', '&nbsp;']"
2578,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    2,977 ', '&nbsp;']","['    2,567 ', '&nbsp;']","['    411 ', '&nbsp;']"
2578,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    378 ', '&nbsp;']","['    279 ', '&nbsp;']","['    99 ', '&nbsp;']"
2578,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    142 ', '&nbsp;']","['    130 ', '&nbsp;']","['    12 ', '&nbsp;']"
2578,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2578,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    806 ', '&nbsp;']","['    622 ', '&nbsp;']","['    184 ', '&nbsp;']"
2578,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    48,788 ', '&nbsp;']","['    37,529 ', '&nbsp;']","['    11,259 ', '&nbsp;']"
2578,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    517 ', '&nbsp;']","['    417 ', '&nbsp;']","['    100 ', '&nbsp;']"
2578,r023,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    7,209 ', '&nbsp;']","['    5,985 ', '&nbsp;']","['    1,224 ', '&nbsp;']"
2578,r024,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    5,331 ', '&nbsp;']","['    4,340 ', '&nbsp;']","['    991 ', '&nbsp;']"
2578,r025,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 (excluding 5112),"['    1,877 ', '&nbsp;']","['    1,645 ', '&nbsp;']","['    232 ', '&nbsp;']"
2578,r026,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    3,297 ', '&nbsp;']","['    2,755 ', '&nbsp;']","['    542 ', '&nbsp;']"
2578,r027,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    26,428 ', '&nbsp;']","['    20,973 ', '&nbsp;']","['    5,456 ', '&nbsp;']"
2578,r028,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    11,336 ', '&nbsp;']","['    7,399 ', '&nbsp;']","['    3,937 ', '&nbsp;']"
