table_id,row_id,citizenship_status_at_graduation,s_e_occupation_in_major_degree_field,s_e_occupation_not_in_major_degree_field,s_e_related_occupation,non_s_e_occupation,not_working
4558,r001,"Temporary visa holders (""early career stayers"")",63,19,7,7,5
4558,r002,U.S. citizen or permanent resident,58,12,12,14,5
