table_id,row_id,_b_field_medical_school_space_and_research_animal_space_b_full_path,_b_field_medical_school_space_and_research_animal_space_b_level_1,_b_field_medical_school_space_and_research_animal_space_b_level_2,_b_field_medical_school_space_and_research_animal_space_b_hierarchy_depth,field_all_institutions,field_doctorate_granting_all,field_doctorate_granting_public,field_doctorate_granting_private,field_nondoctorate_granting
7842,r001,All research space,All research space,,1,236.1,227.9,170.0,58.0,8.2
7842,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,32.5,31.8,30.6,1.2,0.7
7842,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,60.0,57.9,37.4,20.6,2.1
7842,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,4.6,4.2,2.9,1.3,0.3
7842,r005,All research space -> Engineering,All research space,Engineering,2,40.5,39.7,30.9,8.9,0.8
7842,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,9.0,8.4,7.0,1.4,0.5
7842,r007,All research space -> Health sciences,All research space,Health sciences,2,40.3,39.8,27.6,12.2,0.5
7842,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,1.8,1.5,1.0,0.5,0.3
7842,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,4.9,4.5,4.1,0.4,0.3
7842,r010,All research space -> Physical sciences,All research space,Physical sciences,2,23.9,22.3,15.8,6.5,1.6
7842,r011,All research space -> Psychology,All research space,Psychology,2,5.8,5.3,4.0,1.2,0.6
7842,r012,All research space -> Social sciences,All research space,Social sciences,2,6.7,6.2,4.3,1.9,0.4
7842,r013,All research space -> Other,All research space,Other,2,6.2,6.1,4.4,1.8,0.1
7842,r014,All research space -> Medical school space<sup>a</sup>,All research space,Medical school space<sup>a</sup>,2,51.5,51.3,30.2,21.1,0.2
7842,r015,All research space -> Research animal space<sup>b</sup>,All research space,Research animal space<sup>b</sup>,2,19.2,18.6,13.9,4.7,0.6
