table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
2777,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['6,987', '']","['6,340', '']","['17', '']","['336', '']","['171', '']","['123', '']"
2777,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['213,369', '']","['213,369', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['54,751', '']","['54,751', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['115,813', '']","['115,813', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,"['7,331', '']","['7,331', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['39,003', '']","['39,003', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['22,205', '']","['22,205', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['67,647', '']","['67,647', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['455,016', '']","['405,923', '']","['7,202', '']","['27,207', '']","['14,684', '']","['0', '']"
2777,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,124,861', '']","['1,123,616', '']","['0', '']","['0', '']","['5', '']","['1,240', '']"
2777,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,470,372', '']","['1,454,122', '']","['0', '']","['6,770', '']","['2,444', '']","['7,036', '']"
2777,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['1,012,136', '']","['993,733', '']","['3,043', '']","['6,820', '']","['6,320', '']","['2,220', '']"
2777,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['48,325', '']","['48,325', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['9,080', '']","['9,080', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['177,948', '']","['177,948', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r040,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['8,758,076', ' ']","['8,650,429', ' ']","['1,454', ' ']","['73,269', ' ']","['575', ' ']","['32,349', ' ']"
2777,r041,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['751,452', '']","['751,452', '']","['0', '']","['0', '']","['0', '']","['0', '']"
2777,r042,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,"['478,324', '']","['463,588', '']","['510', '']","['6,724', '']","['245', '']","['7,257', '']"
2777,r043,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,517,429', '']","['1,480,978', '']","['671', '']","['24,361', '']","['330', '']","['11,089', '']"
2777,r044,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['2,461,275', '']","['2,440,514', '']","['0', '']","['20,761', '']","['0', '']","['0', '']"
2777,r045,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['3,373,217', '']","['3,340,658', '']","['273', '']","['18,612', '']","['NA', '']","['13,674', '']"
2777,r046,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,"['176,379', '']","['173,239', '']","['0', '']","['2,811', '']","['0', '']","['329', '']"
