table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_hierarchy_depth,value
10650,r001,1975,Graduate students,All fields,2,328510
10650,r002,1975,Graduate students,Science,2,234649
10650,r003,1975,Graduate students,Engineering,2,68332
10650,r004,1975,Graduate students,Health,2,25529
10650,r005,1975,Postdoctoral appointees,All fields,2,na
10650,r006,1975,Postdoctoral appointees,Science,2,na
10650,r007,1975,Postdoctoral appointees,Engineering,2,na
10650,r008,1975,Postdoctoral appointees,Health,2,na
10650,r009,1975,Nonfaculty researchers,All fields,2,na
10650,r010,1975,Nonfaculty researchers,Science,2,na
10650,r011,1975,Nonfaculty researchers,Engineering,2,na
10650,r012,1975,Nonfaculty researchers,Health,2,na
10650,r013,1976,Graduate students,All fields,2,333716
10650,r014,1976,Graduate students,Science,2,238675
10650,r015,1976,Graduate students,Engineering,2,66723
10650,r016,1976,Graduate students,Health,2,28318
10650,r017,1976,Postdoctoral appointees,All fields,2,na
10650,r018,1976,Postdoctoral appointees,Science,2,na
10650,r019,1976,Postdoctoral appointees,Engineering,2,na
10650,r020,1976,Postdoctoral appointees,Health,2,na
10650,r021,1976,Nonfaculty researchers,All fields,2,na
10650,r022,1976,Nonfaculty researchers,Science,2,na
10650,r023,1976,Nonfaculty researchers,Engineering,2,na
10650,r024,1976,Nonfaculty researchers,Health,2,na
10650,r025,1977,Graduate students,All fields,2,345374
10650,r026,1977,Graduate students,Science,2,242932
10650,r027,1977,Graduate students,Engineering,2,68757
10650,r028,1977,Graduate students,Health,2,33685
10650,r029,1977,Postdoctoral appointees,All fields,2,na
10650,r030,1977,Postdoctoral appointees,Science,2,na
10650,r031,1977,Postdoctoral appointees,Engineering,2,na
10650,r032,1977,Postdoctoral appointees,Health,2,na
10650,r033,1977,Nonfaculty researchers,All fields,2,na
10650,r034,1977,Nonfaculty researchers,Science,2,na
10650,r035,1977,Nonfaculty researchers,Engineering,2,na
10650,r036,1977,Nonfaculty researchers,Health,2,na
10650,r037,1978<sup>a</sup>,Graduate students,All fields,2,339912
10650,r038,1978<sup>a</sup>,Graduate students,Science,2,236465
10650,r039,1978<sup>a</sup>,Graduate students,Engineering,2,67787
10650,r040,1978<sup>a</sup>,Graduate students,Health,2,35660
10650,r041,1978<sup>a</sup>,Postdoctoral appointees,All fields,2,na
10650,r042,1978<sup>a</sup>,Postdoctoral appointees,Science,2,na
10650,r043,1978<sup>a</sup>,Postdoctoral appointees,Engineering,2,na
