table_id,row_id,_b_doctoral_degree_type_b_full_path,_b_doctoral_degree_type_b_level_1,_b_doctoral_degree_type_b_level_2,_b_doctoral_degree_type_b_hierarchy_depth,field_degree_title,field_2019_number,field_2019_percent,field_2020_number,field_2020_percent,field_2021_number,field_2021_percent,field_2022_number,field_2022_percent,field_2023_number,field_2023_percent
11747,r001,All research doctorates ,All research doctorates ,,1,-,55599,100.0,55203,100.0,52160,100.0,57448,100.0,57862,100.0
11747,r002,All research doctorates  -> PhD ,All research doctorates ,PhD ,2,Doctor of Philosophy ,54701,98.4,54249,98.3,51360,98.5,56671,98.6,57048,98.6
11747,r003,All research doctorates  -> EdD ,All research doctorates ,EdD ,2,Doctor of Education ,469,0.8,486,0.9,463,0.9,471,0.8,502,0.9
11747,r004,"All research doctorates  -> DSc, ScD",All research doctorates ,"DSc, ScD",2,Doctor of Science ,92,0.2,68,0.1,28,0.1,36,0.1,21,0.05
11747,r005,"All research doctorates  -> DEng, DESc, DES",All research doctorates ,"DEng, DESc, DES",2,Doctor of Engineering or Engineering Science,43,0.1,54,0.1,21,0.05,19,0.05,22,0.05
11747,r006,All research doctorates  -> DA ,All research doctorates ,DA ,2,Doctor of Arts ,1,0.05,1,0.05,0,0.0,1,0.05,0,0.0
11747,r007,All research doctorates  -> DBA ,All research doctorates ,DBA ,2,Doctor of Business Administration ,17,0.05,22,0.05,13,0.05,15,0.05,14,0.05
11747,r008,All research doctorates  -> DMA ,All research doctorates ,DMA ,2,Doctor of Musical Arts ,115,0.2,170,0.3,155,0.3,130,0.2,148,0.3
11747,r009,All research doctorates  -> DDes ,All research doctorates ,DDes ,2,Doctor of Design ,8,0.05,8,0.05,13,0.05,4,0.05,9,0.05
11747,r010,All research doctorates  -> DPH ,All research doctorates ,DPH ,2,Doctor of Public Health ,37,0.1,38,0.1,34,0.1,24,0.05,26,0.05
11747,r011,All research doctorates  -> DHL ,All research doctorates ,DHL ,2,Doctor of Hebrew Letters ,1,0.05,1,0.05,0,0.0,1,0.05,0,0.0
11747,r012,All research doctorates  -> DME ,All research doctorates ,DME ,2,Doctor of Music Education ,1,0.05,2,0.05,2,0.05,0,0.0,2,0.05
11747,r013,All research doctorates  -> DML ,All research doctorates ,DML ,2,Doctor of Modern Languages ,6,0.05,5,0.05,1,0.05,4,0.05,4,0.05
11747,r014,All research doctorates  -> DNSc ,All research doctorates ,DNSc ,2,Doctor of Nursing Science ,2,0.05,5,0.05,0,0.0,0,0.0,3,0.05
11747,r015,All research doctorates  -> ThD ,All research doctorates ,ThD ,2,Doctor of Theology ,11,0.05,3,0.05,7,0.05,8,0.05,9,0.05
11747,r016,All research doctorates  -> DFA ,All research doctorates ,DFA ,2,Doctor of Fine Arts ,2,0.05,1,0.05,5,0.05,4,0.05,2,0.05
11747,r017,"All research doctorates  -> JSD, SJD",All research doctorates ,"JSD, SJD",2,Doctor of Juridical Science ,91,0.2,84,0.2,54,0.1,57,0.1,48,0.1
11747,r018,All research doctorates  -> STD ,All research doctorates ,STD ,2,Doctor of Sacred Theology ,1,0.05,2,0.05,2,0.05,2,0.05,3,0.05
11747,r019,All research doctorates  -> JCD ,All research doctorates ,JCD ,2,Doctor of Canon Law ,1,0.05,4,0.05,2,0.05,1,0.05,1,0.05
