table_id,row_id,question_full_path,question_level_1,question_level_2,question_hierarchy_depth,field_survey_item,field_aggregate_amount
8792,r001,Company and financial information (US$millions),Company and financial information (US$millions),,1,,"['', '']"
8792,r002,Company and financial information (US$millions) -> 1.12,Company and financial information (US$millions),1.12,2,Worldwide net sales and operating revenues,"['14,863,520', '&nbsp;']"
8792,r003,Company and financial information (US$millions) -> 1.13,Company and financial information (US$millions),1.13,2,Net sales and operating revenues from domestic operations,"['11,296,552', '&nbsp;']"
8792,r004,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,R&D paid for by the company and performed by the company and others,"['&nbsp;', '&nbsp;']"
8792,r005,Company and financial information (US$millions) -> 2.1,Company and financial information (US$millions),2.1,2,"Worldwide R&D paid for by the company (expense), total","['660,748', '&nbsp;']"
8792,r006,Company and financial information (US$millions) -> 2.3,Company and financial information (US$millions),2.3,2,"Worldwide R&D paid for by the company (expense), adjustments","['48,421', '&nbsp;']"
8792,r007,Company and financial information (US$millions) -> 2.4/ 2.7c,Company and financial information (US$millions),2.4/ 2.7c,2,Worldwide R&D paid for by the company and performed by the company and others,"['612,326', '&nbsp;']"
8792,r008,Company and financial information (US$millions) -> 2.7a,Company and financial information (US$millions),2.7a,2,Domestic R&D paid for by the company and performed by the company and others,"['504,793', '&nbsp;']"
8792,r009,Company and financial information (US$millions) -> 2.7b,Company and financial information (US$millions),2.7b,2,Foreign R&D paid for by the company and performed by the company and others,"['107,533', '&nbsp;']"
8792,r010,Company and financial information (US$millions) -> 2.5,Company and financial information (US$millions),2.5,2,Indirect R&D charges to be recouped from the U.S. federal government (independent R&D [IR&D])a,"['6,307', '&nbsp;']"
8792,r011,Company and financial information (US$millions) -> 2.8m(1),Company and financial information (US$millions),2.8m(1),2,Domestic R&D paid for by the company and performed by the company and others,"['504,793', '&nbsp;']"
8792,r012,Company and financial information (US$millions) -> 2.8a(1),Company and financial information (US$millions),2.8a(1),2,"Salaries, wages, and fringe benefits","['258,088', '&nbsp;']"
8792,r013,Company and financial information (US$millions) -> 2.8b(1),Company and financial information (US$millions),2.8b(1),2,Stock-based compensation,"['47,548', '&nbsp;']"
8792,r014,Company and financial information (US$millions) -> 2.8c(1),Company and financial information (US$millions),2.8c(1),2,"Leased or temporary staffing, including on-site contractors, working on R&D","['20,710', '&nbsp;']"
8792,r015,Company and financial information (US$millions) -> 2.8d(1),Company and financial information (US$millions),2.8d(1),2,Expensed equipment (not capitalized),"['7,555', '&nbsp;']"
8792,r016,Company and financial information (US$millions) -> 2.8e(1),Company and financial information (US$millions),2.8e(1),2,Materials and supplies,"['27,379', '&nbsp;']"
8792,r017,Company and financial information (US$millions) -> 2.8f(1),Company and financial information (US$millions),2.8f(1),2,Leased facilities and equipment,"['7,799', '&nbsp;']"
8792,r018,Company and financial information (US$millions) -> 2.8g(1),Company and financial information (US$millions),2.8g(1),2,"Depreciation and amortization on R&D property, plant, equipment, and intangible assets","['18,558', '&nbsp;']"
8792,r019,Company and financial information (US$millions) -> 2.8h(1),Company and financial information (US$millions),2.8h(1),2,Royalties and licensing fees,"['3,476', '&nbsp;']"
8792,r020,Company and financial information (US$millions) -> 2.8i(1),Company and financial information (US$millions),2.8i(1),2,Collaborative R&D payments,"['7,751', '&nbsp;']"
8792,r021,Company and financial information (US$millions) -> 2.8j(1),Company and financial information (US$millions),2.8j(1),2,Contract R&D,"['30,880', '&nbsp;']"
8792,r022,Company and financial information (US$millions) -> 2.8k(1),Company and financial information (US$millions),2.8k(1),2,Other purchased services,"['12,415', '&nbsp;']"
8792,r023,Company and financial information (US$millions) -> 2.8l(1),Company and financial information (US$millions),2.8l(1),2,All other costs,"['62,634', '&nbsp;']"
8792,r024,Company and financial information (US$millions) -> 2.9(3),Company and financial information (US$millions),2.9(3),2,Worldwide R&D paid for by the company and performed by others,"['47,977', '&nbsp;']"
8792,r025,Company and financial information (US$millions) -> 2.9(1),Company and financial information (US$millions),2.9(1),2,Domestic R&D paid for by the company and performed by others,"['38,631', '&nbsp;']"
8792,r026,Company and financial information (US$millions) -> 2.9(2),Company and financial information (US$millions),2.9(2),2,Foreign R&D paid for by the company and performed by others,"['9,346', '&nbsp;']"
8792,r027,Company and financial information (US$millions) -> 2.10(3),Company and financial information (US$millions),2.10(3),2,Worldwide R&D paid for and performed by the company,"['564,350', '&nbsp;']"
8792,r028,Company and financial information (US$millions) -> 2.10(1),Company and financial information (US$millions),2.10(1),2,Domestic R&D paid for and performed by the company,"['466,162', '&nbsp;']"
8792,r029,Company and financial information (US$millions) -> 2.10(2),Company and financial information (US$millions),2.10(2),2,Foreign R&D paid for and performed by the company,"['98,187', '&nbsp;']"
8792,r030,Company and financial information (US$millions) -> 2.9(3) + 2.10(3) + 3.4(3) + 3.5(3),Company and financial information (US$millions),2.9(3) + 2.10(3) + 3.4(3) + 3.5(3),2,Worldwide R&D paid for by the company and others and performed by the company and others,"['705,790', '&nbsp;']"
8792,r031,Company and financial information (US$millions) -> 2.10(3) + 3.5(3),Company and financial information (US$millions),2.10(3) + 3.5(3),2,Worldwide R&D paid for by the company and others and performed by the company,"['647,324', '&nbsp;']"
8792,r032,Company and financial information (US$millions) -> 2.9(1) + 2.10(1) + 3.4(1) + 3.5(1),Company and financial information (US$millions),2.9(1) + 2.10(1) + 3.4(1) + 3.5(1),2,Domestic R&D paid for by the company and others and performed by the company and others,"['585,694', '&nbsp;']"
8792,r033,Company and financial information (US$millions) -> 2.10(1) + 3.5 (1),Company and financial information (US$millions),2.10(1) + 3.5 (1),2,Domestic R&D paid for by the company and others and performed by the company,"['537,619', '&nbsp;']"
8792,r034,Company and financial information (US$millions) -> &nbsp;,Company and financial information (US$millions),&nbsp;,2,Domestic R&D paid for and performed by the company,"['&nbsp;', '&nbsp;']"
8792,r035,Company and financial information (US$millions) -> 2.14,Company and financial information (US$millions),2.14,2,Performed at largest domestic location,"['294,994', '&nbsp;']"
8792,r036,Company and financial information (US$millions) -> 2.16,Company and financial information (US$millions),2.16,2,Performed at second-largest domestic location,"['44,160', '&nbsp;']"
8792,r037,Company and financial information (US$millions) -> 2.18,Company and financial information (US$millions),2.18,2,Domestic R&D paid for by foreign operations or subsidiaries and performed by the companya,"['27,038', '&nbsp;']"
8792,r038,Company and financial information (US$millions) -> 2.19,Company and financial information (US$millions),2.19,2,Foreign R&D paid for by domestic operations or subsidiaries and performed by the companya,"['21,993', '&nbsp;']"
