table_id,row_id,_b_type_of_doctoral_degree_b_full_path,_b_type_of_doctoral_degree_b_level_1,_b_type_of_doctoral_degree_b_level_2,_b_type_of_doctoral_degree_b_level_3,_b_type_of_doctoral_degree_b_hierarchy_depth,field_total,field_male,field_female
6026,r001,Imputation rate (%),Imputation rate (%),,,1,,,
6026,r002,Imputation rate (%) -> All nonfaculty researchers,Imputation rate (%),All nonfaculty researchers,,2,6.5,8.0,8.4
6026,r003,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree,Imputation rate (%),All nonfaculty researchers,Doctoral degree,3,7.3,8.6,9.0
6026,r004,Imputation rate (%) -> All nonfaculty researchers -> Professional degree,Imputation rate (%),All nonfaculty researchers,Professional degree,3,7.6,7.5,7.6
6026,r005,Imputation rate (%) -> All nonfaculty researchers -> Dual degree,Imputation rate (%),All nonfaculty researchers,Dual degree,3,4.9,6.3,3.4
6026,r006,Imputation rate (%) -> All nonfaculty researchers -> Doctoral degree type unknown,Imputation rate (%),All nonfaculty researchers,Doctoral degree type unknown,3,6.8,9.0,9.8
6026,r007,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,
6026,r008,Number imputed<sup>a</sup> -> All nonfaculty researchers,Number imputed<sup>a</sup>,All nonfaculty researchers,,2,1935,1386,1039
6026,r009,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree,3,1572,1112,761
6026,r010,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Professional degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Professional degree,3,141,66,75
6026,r011,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Dual degree,Number imputed<sup>a</sup>,All nonfaculty researchers,Dual degree,3,22,15,7
6026,r012,Number imputed<sup>a</sup> -> All nonfaculty researchers -> Doctoral degree type unknown,Number imputed<sup>a</sup>,All nonfaculty researchers,Doctoral degree type unknown,3,401,282,274
