table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_dod,field_doe,field_nasa,field_nih,field_dhs,field_dot,field_epa,field_nsf,field_all_other_agencies
756,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['26,990', '&nbsp;']","['18,163', '&nbsp;']","['1,727', 'i']","['4,331', 'i']","['877', 'i']","['47', '&nbsp;']","['117', '&nbsp;']","['5', '&nbsp;']","['16', '&nbsp;']","['1,707', '&nbsp;']"
756,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['21,552', 'i']","['15,414', '&nbsp;']","['810', 'i']","['4,067', 'i']","['210', 'i']","['23', '&nbsp;']","['7', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['1,019', '&nbsp;']"
756,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']"
756,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['*', 'i']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['25', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']"
756,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['*', 'i']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['*', 'i']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', 'i']","['*', 'i']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
756,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['410', '&nbsp;']","['D', '&nbsp;']","['272', '&nbsp;']","['0', '&nbsp;']","['73', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
756,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '&nbsp;']","['D', '&nbsp;']","['252', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
756,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['*', '&nbsp;']","['*', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['138', '&nbsp;']","['D', '&nbsp;']","['12', 'i']","['0', '&nbsp;']","['70', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
756,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['1', '&nbsp;']","['*', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['8', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['14', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['10', 'i']","['6', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['222', '&nbsp;']","['87', '&nbsp;']","['122', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
756,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['3', 'i']","['0', '&nbsp;']","['3', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['71', 'i']","['0', '&nbsp;']","['71', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['33', '&nbsp;']","['D', '&nbsp;']","['28', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
756,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['114', '&nbsp;']","['D', '&nbsp;']","['19', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
756,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['4,213', '&nbsp;']","['3,614', '&nbsp;']","['D', '&nbsp;']","['308', 'i']","['89', 'i']","['D', '&nbsp;']","['6', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
756,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['776', 'i']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
756,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['45', '&nbsp;']","['16', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
756,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,365', '&nbsp;']","['3,028', '&nbsp;']","['31', '&nbsp;']","['156', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['5', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
756,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['15', 'i']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']"
