table_id,row_id,_b_occupation_b_full_path,_b_occupation_b_level_1,_b_occupation_b_level_2,_b_occupation_b_level_3,_b_occupation_b_hierarchy_depth,field_total_number_,field_college_or_universitya_,field_government,field_business_or_industry_all_business_or_industry,field_business_or_industry_for_profit,field_business_or_industry_self_employed_or_not_incorporated,field_business_or_industry_nonprofit
11029,r001,All occupations,All occupations,,,1,872100,42.3,9.0,48.8,37.0,4.9,6.9
11029,r002,All occupations -> S&E occupations,All occupations,S&E occupations,,2,625000,44.9,9.5,45.6,35.2,4.5,5.8
11029,r003,All occupations -> S&E occupations -> Computer and mathematical scientists,All occupations,S&E occupations,Computer and mathematical scientists,3,109400,34.4,4.9,60.8,54.9,1.7,4.1
11029,r004,"All occupations -> S&E occupations -> Biological, agricultural, and environmental life scientists",All occupations,S&E occupations,"Biological, agricultural, and environmental life scientists",3,160900,50.2,11.4,38.4,28.4,2.2,7.8
11029,r005,All occupations -> S&E occupations -> Physical scientists,All occupations,S&E occupations,Physical scientists,3,85100,53.2,12.2,34.6,27.4,1.9,5.3
11029,r006,All occupations -> S&E occupations -> Social scientists,All occupations,S&E occupations,Social scientists,3,146900,54.6,9.6,35.8,15.7,12.9,7.2
11029,r007,All occupations -> S&E occupations -> Engineers,All occupations,S&E occupations,Engineers,3,122800,30.2,9.0,60.8,55.6,1.9,3.3
11029,r008,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,2,100500,42.3,8.6,49.1,35.3,2.5,11.3
11029,r009,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,2,146600,30.9,7.1,62.1,45.5,8.1,8.5
