table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
1135,r026,"All S&E graduate students -> Science -> Earth, atmospheric, and ocean sciences -> Geosciences",All S&E graduate students,Science,"Earth, atmospheric, and ocean sciences",Geosciences,,4,8610,494,43,233,162,15,5144,188,395,1936
1135,r027,"All S&E graduate students -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",All S&E graduate students,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,,4,2743,179,11,97,36,3,1775,61,146,435
1135,r028,"All S&E graduate students -> Science -> Earth, atmospheric, and ocean sciences -> Earth, atmospheric, and ocean sciences nec",All S&E graduate students,Science,"Earth, atmospheric, and ocean sciences","Earth, atmospheric, and ocean sciences nec",,4,2263,265,8,85,77,20,1157,50,94,507
1135,r029,All S&E graduate students -> Science -> Family and consumer sciences and human sciences,All S&E graduate students,Science,Family and consumer sciences and human sciences,,,3,3750,313,26,125,529,6,2086,109,115,441
1135,r030,All S&E graduate students -> Science -> Mathematics and statistics,All S&E graduate students,Science,Mathematics and statistics,,,3,28050,1145,42,1842,648,24,9313,364,966,13706
1135,r031,All S&E graduate students -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,All S&E graduate students,Science,Mathematics and statistics,Mathematics and applied mathematics,,4,20028,954,32,1188,494,21,7387,292,760,8900
1135,r032,All S&E graduate students -> Science -> Mathematics and statistics -> Statistics,All S&E graduate students,Science,Mathematics and statistics,Statistics,,4,8022,191,10,654,154,3,1926,72,206,4806
1135,r033,All S&E graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Science,Multidisciplinary and interdisciplinary studies,,,3,9251,599,41,592,587,18,4235,192,402,2585
1135,r034,All S&E graduate students -> Science -> Neurobiology and neuroscience,All S&E graduate students,Science,Neurobiology and neuroscience,,,3,5226,460,26,519,172,5,2894,110,187,853
1135,r035,All S&E graduate students -> Science -> Physical sciences,All S&E graduate students,Science,Physical sciences,,,3,40518,2081,95,2130,906,35,17576,602,1150,15943
1135,r036,All S&E graduate students -> Science -> Physical sciences -> Astronomy and astrophysics,All S&E graduate students,Science,Physical sciences,Astronomy and astrophysics,,4,1353,81,5,77,19,1,730,24,45,371
1135,r037,All S&E graduate students -> Science -> Physical sciences -> Chemistry,All S&E graduate students,Science,Physical sciences,Chemistry,,4,22676,1254,63,1312,656,24,9874,361,612,8520
1135,r038,All S&E graduate students -> Science -> Physical sciences -> Physics,All S&E graduate students,Science,Physical sciences,Physics,,4,15764,696,26,702,196,8,6633,208,480,6815
1135,r039,All S&E graduate students -> Science -> Physical sciences -> Physical sciences nec,All S&E graduate students,Science,Physical sciences,Physical sciences nec,,4,725,50,1,39,35,2,339,9,13,237
1135,r040,All S&E graduate students -> Science -> Psychology,All S&E graduate students,Science,Psychology,,,3,47609,6844,223,2283,3730,91,27355,1355,2628,3100
1135,r041,All S&E graduate students -> Science -> Psychology -> Clinical psychology,All S&E graduate students,Science,Psychology,Clinical psychology,,4,8356,1502,41,459,549,12,4650,229,593,321
1135,r042,"All S&E graduate students -> Science -> Psychology -> Psychology, general",All S&E graduate students,Science,Psychology,"Psychology, general",,4,12318,1417,46,649,1000,25,7239,352,617,973
1135,r043,All S&E graduate students -> Science -> Psychology -> Psychology nec,All S&E graduate students,Science,Psychology,Psychology nec,,4,26935,3925,136,1175,2181,54,15466,774,1418,1806
1135,r044,All S&E graduate students -> Science -> Social sciences,All S&E graduate students,Science,Social sciences,,,3,100200,9382,573,4471,10037,247,45630,2290,5007,22563
1135,r045,All S&E graduate students -> Science -> Social sciences -> Agricultural economics,All S&E graduate students,Science,Social sciences,Agricultural economics,,4,1756,63,2,51,46,0,670,17,44,863
1135,r046,All S&E graduate students -> Science -> Social sciences -> Anthropology,All S&E graduate students,Science,Social sciences,Anthropology,,4,7309,638,91,248,232,23,4381,241,480,975
1135,r047,All S&E graduate students -> Science -> Social sciences -> Economics (except agricultural),All S&E graduate students,Science,Social sciences,Economics (except agricultural),,4,14488,532,8,630,387,4,3708,150,499,8570
1135,r048,All S&E graduate students -> Science -> Social sciences -> Geography,All S&E graduate students,Science,Social sciences,Geography,,4,4315,256,25,130,139,2,2509,76,241,937
1135,r049,All S&E graduate students -> Science -> Social sciences -> History and philosophy of science,All S&E graduate students,Science,Social sciences,History and philosophy of science,,4,379,10,0,11,6,1,252,10,12,77
1135,r050,All S&E graduate students -> Science -> Social sciences -> Linguistics,All S&E graduate students,Science,Social sciences,Linguistics,,4,3149,250,31,188,66,3,1400,76,135,1000
