table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latinoa,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race,field_temporary_visa_holders
1135,r132,All S&E graduate students -> Female -> Engineering -> Electrical engineering,All S&E graduate students,Female,Engineering,Electrical engineering,,4,10880,187,6,551,144,0,973,53,149,8817
1135,r133,"All S&E graduate students -> Female -> Engineering -> Engineering science, mechanics, and physics",All S&E graduate students,Female,Engineering,"Engineering science, mechanics, and physics",,4,407,11,4,23,13,1,132,7,9,207
1135,r134,All S&E graduate students -> Female -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Female,Engineering,Industrial and manufacturing engineering,,4,4125,266,10,206,176,4,917,43,134,2369
1135,r135,All S&E graduate students -> Female -> Engineering -> Mechanical engineering,All S&E graduate students,Female,Engineering,Mechanical engineering,,4,4128,200,4,301,91,3,1246,80,127,2076
1135,r136,All S&E graduate students -> Female -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Female,Engineering,Metallurgical and materials engineering,,4,2479,104,3,191,54,4,752,36,38,1297
1135,r137,All S&E graduate students -> Female -> Engineering -> Mining engineering,All S&E graduate students,Female,Engineering,Mining engineering,,4,74,2,1,1,0,0,37,2,2,29
1135,r138,All S&E graduate students -> Female -> Engineering -> Nuclear engineering,All S&E graduate students,Female,Engineering,Nuclear engineering,,4,242,17,1,10,12,0,116,6,6,74
1135,r139,All S&E graduate students -> Female -> Engineering -> Petroleum engineering,All S&E graduate students,Female,Engineering,Petroleum engineering,,4,366,12,1,8,4,0,39,1,8,293
1135,r140,All S&E graduate students -> Female -> Engineering -> Engineering nec,All S&E graduate students,Female,Engineering,Engineering nec,,4,2727,118,8,212,148,4,907,43,71,1216
1135,r141,All S&E graduate students -> Male,All S&E graduate students,Male,,,,2,358914,19121,855,19818,12970,412,129923,5063,12672,158080
1135,r142,All S&E graduate students -> Male -> Science,All S&E graduate students,Male,Science,,,3,231826,13939,681,12728,10329,321,94615,3761,9041,86411
1135,r143,All S&E graduate students -> Male -> Science -> Agricultural sciences,All S&E graduate students,Male,Science,Agricultural sciences,,4,8724,481,57,166,237,8,5212,151,326,2086
1135,r144,All S&E graduate students -> Male -> Science -> Biological sciences,All S&E graduate students,Male,Science,Biological sciences,,4,33928,2431,100,3113,1411,70,17292,708,1338,7465
1135,r145,All S&E graduate students -> Male -> Science -> Biological sciences -> Anatomy,All S&E graduate students,Male,Science,Biological sciences,Anatomy,5,202,20,0,13,8,2,112,8,7,32
1135,r146,All S&E graduate students -> Male -> Science -> Biological sciences -> Biochemistry,All S&E graduate students,Male,Science,Biological sciences,Biochemistry,5,2297,173,4,180,67,3,1162,46,69,593
1135,r147,All S&E graduate students -> Male -> Science -> Biological sciences -> Biology,All S&E graduate students,Male,Science,Biological sciences,Biology,5,7050,577,22,438,317,11,3910,115,277,1383
1135,r148,All S&E graduate students -> Male -> Science -> Biological sciences -> Biometry and epidemiology,All S&E graduate students,Male,Science,Biological sciences,Biometry and epidemiology,5,3662,163,11,468,171,4,1383,60,152,1250
1135,r149,All S&E graduate students -> Male -> Science -> Biological sciences -> Biophysics,All S&E graduate students,Male,Science,Biological sciences,Biophysics,5,618,38,2,62,3,2,315,7,26,163
1135,r150,All S&E graduate students -> Male -> Science -> Biological sciences -> Botany and plant biology,All S&E graduate students,Male,Science,Biological sciences,Botany and plant biology,5,914,44,4,53,14,1,470,20,29,279
1135,r151,All S&E graduate students -> Male -> Science -> Biological sciences -> Cell and molecular biology,All S&E graduate students,Male,Science,Biological sciences,Cell and molecular biology,5,2958,250,6,295,91,3,1431,54,116,712
1135,r152,All S&E graduate students -> Male -> Science -> Biological sciences -> Ecology,All S&E graduate students,Male,Science,Biological sciences,Ecology,5,614,19,2,15,5,0,414,9,51,99
1135,r153,All S&E graduate students -> Male -> Science -> Biological sciences -> Entomology and parasitology,All S&E graduate students,Male,Science,Biological sciences,Entomology and parasitology,5,590,28,2,20,8,1,368,16,15,132
1135,r154,All S&E graduate students -> Male -> Science -> Biological sciences -> Genetics,All S&E graduate students,Male,Science,Biological sciences,Genetics,5,986,75,2,72,17,1,544,17,34,224
1135,r155,"All S&E graduate students -> Male -> Science -> Biological sciences -> Microbiology, immunology, and virology",All S&E graduate students,Male,Science,Biological sciences,"Microbiology, immunology, and virology",5,1971,137,7,181,76,2,1104,57,52,355
1135,r156,All S&E graduate students -> Male -> Science -> Biological sciences -> Nutrition,All S&E graduate students,Male,Science,Biological sciences,Nutrition,5,1014,57,3,65,46,0,562,22,30,229
1135,r157,All S&E graduate students -> Male -> Science -> Biological sciences -> Pathology,All S&E graduate students,Male,Science,Biological sciences,Pathology,5,412,31,1,42,17,0,182,15,15,109
1135,r158,All S&E graduate students -> Male -> Science -> Biological sciences -> Pharmacology and toxicology,All S&E graduate students,Male,Science,Biological sciences,Pharmacology and toxicology,5,1278,77,3,118,82,1,648,36,35,278
1135,r159,All S&E graduate students -> Male -> Science -> Biological sciences -> Physiology,All S&E graduate students,Male,Science,Biological sciences,Physiology,5,1969,146,2,232,82,3,1051,36,70,347
1135,r160,All S&E graduate students -> Male -> Science -> Biological sciences -> Zoology,All S&E graduate students,Male,Science,Biological sciences,Zoology,5,349,6,0,7,2,1,250,8,21,54
1135,r161,All S&E graduate students -> Male -> Science -> Biological sciences -> Biosciences nec,All S&E graduate students,Male,Science,Biological sciences,Biosciences nec,5,7044,590,29,852,405,35,3386,182,339,1226
1135,r162,All S&E graduate students -> Male -> Science -> Communication,All S&E graduate students,Male,Science,Communication,,4,4147,357,18,112,362,8,2237,93,244,716
1135,r163,All S&E graduate students -> Male -> Science -> Computer sciences,All S&E graduate students,Male,Science,Computer sciences,,4,65729,2058,54,3771,2512,35,13562,650,2030,41057
1135,r164,"All S&E graduate students -> Male -> Science -> Earth, atmospheric, and ocean sciences",All S&E graduate students,Male,Science,"Earth, atmospheric, and ocean sciences",,4,8099,474,33,201,158,24,4783,151,345,1930
1135,r165,"All S&E graduate students -> Male -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",All S&E graduate students,Male,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,5,866,42,2,12,19,0,527,14,18,232
1135,r166,"All S&E graduate students -> Male -> Science -> Earth, atmospheric, and ocean sciences -> Geosciences",All S&E graduate students,Male,Science,"Earth, atmospheric, and ocean sciences",Geosciences,5,5056,267,24,110,87,8,3020,94,234,1212
1135,r167,"All S&E graduate students -> Male -> Science -> Earth, atmospheric, and ocean sciences -> Ocean sciences",All S&E graduate students,Male,Science,"Earth, atmospheric, and ocean sciences",Ocean sciences,5,1140,59,3,37,18,2,707,24,56,234
1135,r168,"All S&E graduate students -> Male -> Science -> Earth, atmospheric, and ocean sciences -> Earth, atmospheric, and ocean sciences nec",All S&E graduate students,Male,Science,"Earth, atmospheric, and ocean sciences","Earth, atmospheric, and ocean sciences nec",5,1037,106,4,42,34,14,529,19,37,252
1135,r169,All S&E graduate students -> Male -> Science -> Family and consumer sciences and human sciences,All S&E graduate students,Male,Science,Family and consumer sciences and human sciences,,4,630,36,5,25,88,3,339,18,19,97
1135,r170,All S&E graduate students -> Male -> Science -> Mathematics and statistics,All S&E graduate students,Male,Science,Mathematics and statistics,,4,17859,781,32,1126,390,15,6382,243,683,8207
1135,r171,All S&E graduate students -> Male -> Science -> Mathematics and statistics -> Mathematics and applied mathematics,All S&E graduate students,Male,Science,Mathematics and statistics,Mathematics and applied mathematics,5,13301,652,25,771,291,12,5077,191,531,5751
1135,r172,All S&E graduate students -> Male -> Science -> Mathematics and statistics -> Statistics,All S&E graduate students,Male,Science,Mathematics and statistics,Statistics,5,4558,129,7,355,99,3,1305,52,152,2456
1135,r173,All S&E graduate students -> Male -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,Male,Science,Multidisciplinary and interdisciplinary studies,,4,4754,264,14,282,231,7,2121,83,171,1581
1135,r174,All S&E graduate students -> Male -> Science -> Neurobiology and neuroscience,All S&E graduate students,Male,Science,Neurobiology and neuroscience,,4,2435,196,13,229,68,3,1359,46,94,427
1135,r175,All S&E graduate students -> Male -> Science -> Physical sciences,All S&E graduate students,Male,Science,Physical sciences,,4,27278,1341,69,1323,493,21,12227,403,787,10614
1135,r176,All S&E graduate students -> Male -> Science -> Physical sciences -> Astronomy and astrophysics,All S&E graduate students,Male,Science,Physical sciences,Astronomy and astrophysics,5,871,54,2,44,11,0,470,13,30,247
1135,r177,All S&E graduate students -> Male -> Science -> Physical sciences -> Chemistry,All S&E graduate students,Male,Science,Physical sciences,Chemistry,5,13399,691,44,726,313,13,6075,219,369,4949
1135,r178,All S&E graduate students -> Male -> Science -> Physical sciences -> Physics,All S&E graduate students,Male,Science,Physical sciences,Physics,5,12560,569,23,527,149,6,5466,164,382,5274
1135,r179,All S&E graduate students -> Male -> Science -> Physical sciences -> Physical sciences nec,All S&E graduate students,Male,Science,Physical sciences,Physical sciences nec,5,448,27,0,26,20,2,216,7,6,144
1135,r180,All S&E graduate students -> Male -> Science -> Psychology,All S&E graduate students,Male,Science,Psychology,,4,12117,1638,61,525,850,23,7248,305,660,807
1135,r181,All S&E graduate students -> Male -> Science -> Psychology -> Clinical psychology,All S&E graduate students,Male,Science,Psychology,Clinical psychology,5,1883,338,10,99,126,0,1064,38,146,62
1135,r182,"All S&E graduate students -> Male -> Science -> Psychology -> Psychology, general",All S&E graduate students,Male,Science,Psychology,"Psychology, general",5,3685,380,12,177,249,7,2282,100,195,283
1135,r183,All S&E graduate students -> Male -> Science -> Psychology -> Psychology nec,All S&E graduate students,Male,Science,Psychology,Psychology nec,5,6549,920,39,249,475,16,3902,167,319,462
1135,r184,All S&E graduate students -> Male -> Science -> Social sciences,All S&E graduate students,Male,Science,Social sciences,,4,46126,3882,225,1855,3529,104,21853,910,2344,11424
1135,r185,All S&E graduate students -> Male -> Science -> Social sciences -> Agricultural economics,All S&E graduate students,Male,Science,Social sciences,Agricultural economics,5,986,33,1,26,26,0,410,9,26,455
1135,r186,All S&E graduate students -> Male -> Science -> Social sciences -> Anthropology,All S&E graduate students,Male,Science,Social sciences,Anthropology,5,2503,233,35,90,62,12,1463,65,152,391
1135,r187,All S&E graduate students -> Male -> Science -> Social sciences -> Economics (except agricultural),All S&E graduate students,Male,Science,Social sciences,Economics (except agricultural),5,9175,369,5,358,246,4,2690,91,345,5067
1135,r188,All S&E graduate students -> Male -> Science -> Social sciences -> Geography,All S&E graduate students,Male,Science,Social sciences,Geography,5,2391,119,8,59,68,1,1456,38,137,505
1135,r189,All S&E graduate students -> Male -> Science -> Social sciences -> History and philosophy of science,All S&E graduate students,Male,Science,Social sciences,History and philosophy of science,5,194,6,0,4,2,0,129,7,8,38
1135,r190,All S&E graduate students -> Male -> Science -> Social sciences -> Linguistics,All S&E graduate students,Male,Science,Social sciences,Linguistics,5,1235,87,16,53,14,2,592,31,60,380
1135,r191,All S&E graduate students -> Male -> Science -> Social sciences -> Political science and government,All S&E graduate students,Male,Science,Social sciences,Political science and government,5,20821,2003,95,916,2000,61,10778,433,1185,3350
1135,r192,All S&E graduate students -> Male -> Science -> Social sciences -> Sociology,All S&E graduate students,Male,Science,Social sciences,Sociology,5,2975,346,16,126,299,3,1485,75,129,496
1135,r193,All S&E graduate students -> Male -> Science -> Social sciences -> Sociology and anthropology,All S&E graduate students,Male,Science,Social sciences,Sociology and anthropology,5,63,8,0,0,13,0,28,0,9,5
1135,r194,All S&E graduate students -> Male -> Science -> Social sciences -> Social sciences nec,All S&E graduate students,Male,Science,Social sciences,Social sciences nec,5,5783,678,49,223,799,21,2822,161,293,737
1135,r195,All S&E graduate students -> Male -> Engineering,All S&E graduate students,Male,Engineering,,,3,127088,5182,174,7090,2641,91,35308,1302,3631,71669
1135,r196,All S&E graduate students -> Male -> Engineering -> Aerospace engineering,All S&E graduate students,Male,Engineering,Aerospace engineering,,4,4622,258,11,328,74,3,2065,70,134,1679
1135,r197,All S&E graduate students -> Male -> Engineering -> Agricultural engineering,All S&E graduate students,Male,Engineering,Agricultural engineering,,4,977,31,1,40,13,1,350,13,13,515
1135,r198,All S&E graduate students -> Male -> Engineering -> Architecture,All S&E graduate students,Male,Engineering,Architecture,,4,867,71,5,20,50,0,304,18,27,372
1135,r199,All S&E graduate students -> Male -> Engineering -> Biomedical engineering,All S&E graduate students,Male,Engineering,Biomedical engineering,,4,6001,329,11,815,160,4,2422,118,285,1857
1135,r200,All S&E graduate students -> Male -> Engineering -> Chemical engineering,All S&E graduate students,Male,Engineering,Chemical engineering,,4,6914,231,10,450,146,3,2199,79,165,3631
1135,r201,All S&E graduate students -> Male -> Engineering -> Civil engineering,All S&E graduate students,Male,Engineering,Civil engineering,,4,14369,795,27,648,311,19,4305,153,469,7642
1135,r202,All S&E graduate students -> Male -> Engineering -> Electrical engineering,All S&E graduate students,Male,Engineering,Electrical engineering,,4,39182,1170,29,2148,662,19,7040,273,787,27054
1135,r203,"All S&E graduate students -> Male -> Engineering -> Engineering science, mechanics, and physics",All S&E graduate students,Male,Engineering,"Engineering science, mechanics, and physics",,4,1349,26,7,71,30,7,369,13,45,781
1135,r204,All S&E graduate students -> Male -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,Male,Engineering,Industrial and manufacturing engineering,,4,12075,490,16,507,353,11,3092,89,445,7072
1135,r205,All S&E graduate students -> Male -> Engineering -> Mechanical engineering,All S&E graduate students,Male,Engineering,Mechanical engineering,,4,23770,1073,32,1129,355,10,7123,254,811,12983
1135,r206,All S&E graduate students -> Male -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,Male,Engineering,Metallurgical and materials engineering,,4,5627,220,7,310,100,3,1829,76,115,2967
1135,r207,All S&E graduate students -> Male -> Engineering -> Mining engineering,All S&E graduate students,Male,Engineering,Mining engineering,,4,304,13,1,3,7,0,122,4,3,151
1135,r208,All S&E graduate students -> Male -> Engineering -> Nuclear engineering,All S&E graduate students,Male,Engineering,Nuclear engineering,,4,1224,73,1,48,10,0,728,18,45,301
1135,r209,All S&E graduate students -> Male -> Engineering -> Petroleum engineering,All S&E graduate students,Male,Engineering,Petroleum engineering,,4,1496,39,2,76,30,0,273,9,42,1025
1135,r210,All S&E graduate students -> Male -> Engineering -> Engineering nec,All S&E graduate students,Male,Engineering,Engineering nec,,4,8311,363,14,497,340,11,3087,115,245,3639
