table_id,row_id,time_period,_b_manufacturing_b_level_1,_b_manufacturing_b_level_2,_b_manufacturing_b_hierarchy_depth,value
6251,r001_1,High R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,303
6251,r001_2,High R&D intensity,Manufacturing,Name,2,Air and spacecraft and related machinery
6251,r001_3,High R&D intensity,Manufacturing,R&D intensity (%),2,31.69
6251,r001_4,High R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,72
6251,r001_5,High R&D intensity,Nonmanufacturing,Name,2,Scientific research and development
6251,r001_6,High R&D intensity,Nonmanufacturing,R&D intensity (%),2,30.39
6251,r002_1,,Manufacturing,"ISIC, Rev.4, industry code",2,21
6251,r002_2,,Manufacturing,Name,2,Pharmaceuticals
6251,r002_3,,Manufacturing,R&D intensity (%),2,27.98
6251,r002_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,582
6251,r002_5,,Nonmanufacturing,Name,2,Software publishing
6251,r002_6,,Nonmanufacturing,R&D intensity (%),2,28.94
6251,r003_1,,Manufacturing,"ISIC, Rev.4, industry code",2,26
6251,r003_2,,Manufacturing,Name,2,"Computer, electronic, and optical products"
6251,r003_3,,Manufacturing,R&D intensity (%),2,24.05
6251,r004_1,Medium-high R&D intensity,Manufacturing,"ISIC, Rev.4, industry code",2,252
6251,r004_2,Medium-high R&D intensity,Manufacturing,Name,2,Weapons and ammunition
6251,r004_3,Medium-high R&D intensity,Manufacturing,R&D intensity (%),2,18.87
6251,r004_4,Medium-high R&D intensity,Nonmanufacturing,"ISIC, Rev.4, industry code",2,62 - 63
6251,r004_5,Medium-high R&D intensity,Nonmanufacturing,Name,2,IT and other information services
6251,r004_6,Medium-high R&D intensity,Nonmanufacturing,R&D intensity (%),2,5.92
6251,r005_1,,Manufacturing,"ISIC, Rev.4, industry code",2,29
6251,r005_2,,Manufacturing,Name,2,"Motor vehicles, trailers, and semi-trailers"
6251,r005_3,,Manufacturing,R&D intensity (%),2,15.36
6251,r006_1,,Manufacturing,"ISIC, Rev.4, industry code",2,325
6251,r006_2,,Manufacturing,Name,2,Medical and dental instruments
6251,r006_3,,Manufacturing,R&D intensity (%),2,9.29
6251,r007_1,,Manufacturing,"ISIC, Rev.4, industry code",2,28
6251,r007_2,,Manufacturing,Name,2,Machinery and equipment nec
6251,r007_3,,Manufacturing,R&D intensity (%),2,7.89
6251,r008_1,,Manufacturing,"ISIC, Rev.4, industry code",2,20
6251,r008_2,,Manufacturing,Name,2,Chemicals and chemical products
6251,r008_3,,Manufacturing,R&D intensity (%),2,6.52
6251,r009_1,,Manufacturing,"ISIC, Rev.4, industry code",2,27
6251,r009_2,,Manufacturing,Name,2,Electrical equipment
6251,r009_3,,Manufacturing,R&D intensity (%),2,6.22
6251,r010_1,,Manufacturing,"ISIC, Rev.4, industry code",2,30X
