table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_us_millions_,field_percent_of_domestic_sales_of_r_d_performers_or_fundersa,field_percent_of_domestic_sales_of_r_d_performers_onlyb
2712,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['493,583', '  ']","['4.6', '  ']","['4.9', '  ']"
2712,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['321,395', '  ']","['5.4', '  ']","['5.5', '  ']"
2712,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,888', '  ']","['0.9', '  ']","['0.9', '  ']"
2712,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,347', '  ']","['0.9', '  ']","['0.9', '  ']"
2712,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1,008', '  ']","['1.4', '  ']","['1.4', '  ']"
2712,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['216', '  ']","['0.7', '  ']","['0.8', '  ']"
2712,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['949', '  ']","['1.1', '  ']","['1.1', '  ']"
2712,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['244', '  ']","['0.8', '  ']","['0.8', '  ']"
2712,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,499', '  ']","['0.4', '  ']","['0.4', '  ']"
2712,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['119,689', '  ']","['10.3', '  ']","['10.3', '  ']"
2712,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,515', '  ']","['1.4', '  ']","['1.4', '  ']"
2712,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,659 - 1,750', '  ']","['D', '  ']","['D', '  ']"
2712,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,560 - 1,567', '  ']","['D', '  ']","['1.6', '  ']"
2712,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['109,573', '  ']","['16.8', '  ']","['17.0', '  ']"
2712,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,980 - 3,060', '  ']","['D', '  ']","['D', '  ']"
2712,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,311 - 1,402', '  ']","['D', '  ']","['D', '  ']"
