table_id,row_id,field_of_highest_degree_and_place_of_birth_full_path,field_of_highest_degree_and_place_of_birth_level_1,field_of_highest_degree_and_place_of_birth_level_2,field_of_highest_degree_and_place_of_birth_level_3,field_of_highest_degree_and_place_of_birth_hierarchy_depth,field_total,field_s_e_occupations,field_s_e_related_occupations,field_non_s_e_occupations
6857,r001,"All foreign-born college graduates, all degree fields","All foreign-born college graduates, all degree fields",,,1,8126000,1998000,1630000,4499000
6857,r002,"All foreign-born college graduates, all degree fields -> India","All foreign-born college graduates, all degree fields",India,,2,1255000,574000,244000,437000
6857,r003,"All foreign-born college graduates, all degree fields -> Philippines","All foreign-born college graduates, all degree fields",Philippines,,2,606000,57000,239000,310000
6857,r004,"All foreign-born college graduates, all degree fields -> China","All foreign-born college graduates, all degree fields",China,,2,542000,254000,107000,181000
6857,r005,"All foreign-born college graduates, all degree fields -> Mexico","All foreign-born college graduates, all degree fields",Mexico,,2,484000,68000,73000,344000
6857,r006,"All foreign-born college graduates, all degree fields -> Canada","All foreign-born college graduates, all degree fields",Canada,,2,323000,57000,58000,209000
6857,r007,"All foreign-born college graduates, all degree fields -> Germany, not specified","All foreign-born college graduates, all degree fields","Germany, not specified",,2,288000,49000,46000,192000
6857,r008,"All foreign-born college graduates, all degree fields -> Vietnam","All foreign-born college graduates, all degree fields",Vietnam,,2,234000,64000,52000,117000
6857,r009,"All foreign-born college graduates, all degree fields -> South Korea","All foreign-born college graduates, all degree fields",South Korea,,2,218000,37000,49000,132000
6857,r010,"All foreign-born college graduates, all degree fields -> Taiwan","All foreign-born college graduates, all degree fields",Taiwan,,2,175000,49000,36000,90000
6857,r011,"All foreign-born college graduates, all degree fields -> United Kingdom, not specified","All foreign-born college graduates, all degree fields","United Kingdom, not specified",,2,174000,32000,27000,115000
6857,r012,"All foreign-born college graduates, all degree fields -> Japan","All foreign-born college graduates, all degree fields",Japan,,2,143000,28000,21000,94000
6857,r013,"All foreign-born college graduates, all degree fields -> Jamaica","All foreign-born college graduates, all degree fields",Jamaica,,2,138000,8000,34000,95000
6857,r014,"All foreign-born college graduates, all degree fields -> Colombia","All foreign-born college graduates, all degree fields",Colombia,,2,133000,20000,20000,93000
6857,r015,"All foreign-born college graduates, all degree fields -> Iran","All foreign-born college graduates, all degree fields",Iran,,2,128000,36000,32000,61000
6857,r016,"All foreign-born college graduates, all degree fields -> Cuba","All foreign-born college graduates, all degree fields",Cuba,,2,120000,15000,27000,78000
6857,r017,"All foreign-born college graduates, all degree fields -> Nigeria","All foreign-born college graduates, all degree fields",Nigeria,,2,114000,17000,36000,61000
6857,r018,"All foreign-born college graduates, all degree fields -> Russia","All foreign-born college graduates, all degree fields",Russia,,2,108000,35000,14000,59000
6857,r019,"All foreign-born college graduates, all degree fields -> France","All foreign-born college graduates, all degree fields",France,,2,104000,25000,12000,68000
6857,r020,"All foreign-born college graduates, all degree fields -> Hong Kong","All foreign-born college graduates, all degree fields",Hong Kong,,2,100000,27000,30000,44000
6857,r021,"All foreign-born college graduates, all degree fields -> Pakistan","All foreign-born college graduates, all degree fields",Pakistan,,2,96000,18000,17000,60000
6857,r022,"All foreign-born college graduates, all degree fields -> Dominican Republic","All foreign-born college graduates, all degree fields",Dominican Republic,,2,94000,3000,16000,75000
6857,r023,"All foreign-born college graduates, all degree fields -> Peru","All foreign-born college graduates, all degree fields",Peru,,2,86000,8000,10000,67000
6857,r024,"All foreign-born college graduates, all degree fields -> Brazil","All foreign-born college graduates, all degree fields",Brazil,,2,86000,18000,8000,60000
6857,r025,"All foreign-born college graduates, all degree fields -> Italy","All foreign-born college graduates, all degree fields",Italy,,2,85000,18000,12000,55000
6857,r026,"All foreign-born college graduates, all degree fields -> Venezuela","All foreign-born college graduates, all degree fields",Venezuela,,2,82000,12000,7000,63000
6857,r027,"All foreign-born college graduates, all degree fields -> All other countries","All foreign-born college graduates, all degree fields",All other countries,,2,2210000,467000,401000,1342000
6857,r028,"All foreign-born college graduates, all degree fields -> S&E fields","All foreign-born college graduates, all degree fields",S&E fields,,2,3576000,1678000,575000,1324000
6857,r029,"All foreign-born college graduates, all degree fields -> S&E fields -> India","All foreign-born college graduates, all degree fields",S&E fields,India,3,803000,492000,113000,197000
6857,r030,"All foreign-born college graduates, all degree fields -> S&E fields -> China","All foreign-born college graduates, all degree fields",S&E fields,China,3,356000,225000,64000,67000
6857,r031,"All foreign-born college graduates, all degree fields -> S&E fields -> Mexico","All foreign-born college graduates, all degree fields",S&E fields,Mexico,3,161000,55000,45000,61000
6857,r032,"All foreign-born college graduates, all degree fields -> S&E fields -> Philippines","All foreign-born college graduates, all degree fields",S&E fields,Philippines,3,158000,46000,31000,81000
6857,r033,"All foreign-born college graduates, all degree fields -> S&E fields -> Vietnam","All foreign-born college graduates, all degree fields",S&E fields,Vietnam,3,118000,57000,24000,37000
6857,r034,"All foreign-born college graduates, all degree fields -> S&E fields -> Germany, not specified","All foreign-born college graduates, all degree fields",S&E fields,"Germany, not specified",3,106000,38000,16000,52000
6857,r035,"All foreign-born college graduates, all degree fields -> S&E fields -> Canada","All foreign-born college graduates, all degree fields",S&E fields,Canada,3,104000,50000,18000,37000
6857,r036,"All foreign-born college graduates, all degree fields -> S&E fields -> Taiwan","All foreign-born college graduates, all degree fields",S&E fields,Taiwan,3,104000,44000,16000,44000
6857,r037,"All foreign-born college graduates, all degree fields -> S&E fields -> South Korea","All foreign-born college graduates, all degree fields",S&E fields,South Korea,3,92000,28000,20000,44000
