table_id,row_id,_b_industry_b_full_path,_b_industry_b_level_1,_b_industry_b_level_2,_b_industry_b_level_3,_b_industry_b_level_4,_b_industry_b_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
10940,r001,All industries,All industries,,,,1,"21–23, 31–33, 42–81",290680,282505,279289,290240,302759,323107,340539,355671,378590,396979,443633,491434,538870,602499
10940,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,2,31–33,203755,196441,199147,202363,208577,222718,231705,236170,249999,255602,274315,284673,309021,326060
10940,r003,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,3,334,60464,55856,61623,62438,66290,68629,73256,72182,77451,78003,83948,85571,99523,101063
10940,r004,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,22324,20023,23011,24237,28218,30176,31668,30451,31413,30373,"30,232 - 43,377",35178,43184,47396
10940,r005,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,2,"21–23, 42–81",86926,86064,80142,87877,94183,100389,108834,119501,128591,141377,169318,206761,229849,276439
