table_id,row_id,_b_source_of_funds_and_r_d_field_b_full_path,_b_source_of_funds_and_r_d_field_b_level_1,_b_source_of_funds_and_r_d_field_b_level_2,_b_source_of_funds_and_r_d_field_b_level_3,_b_source_of_funds_and_r_d_field_b_hierarchy_depth,field_all_institutions,field_survey_population_short_form,field_survey_population_standard_form
10095,r001,All R&D expenditures,All R&D expenditures,,,1,97842057,161529,97680528
10095,r002,All R&D expenditures -> Federal government,All R&D expenditures,Federal government,,2,54052605,81137,53971468
10095,r003,All R&D expenditures -> State and local government,All R&D expenditures,State and local government,,2,4917987,10788,4907199
10095,r004,All R&D expenditures -> Institution funds,All R&D expenditures,Institution funds,,2,24536445,43782,24492663
10095,r005,All R&D expenditures -> Institution funds -> Institutionally financed research,All R&D expenditures,Institution funds,Institutionally financed research,3,16649164,36869,16612295
10095,r006,All R&D expenditures -> Institution funds -> Cost sharing,All R&D expenditures,Institution funds,Cost sharing,3,1708852,2320,1706532
10095,r007,All R&D expenditures -> Institution funds -> Unrecovered indirect costs,All R&D expenditures,Institution funds,Unrecovered indirect costs,3,6178429,4593,6173836
10095,r008,All R&D expenditures -> Business,All R&D expenditures,Business,,2,5706668,5012,5701656
10095,r009,All R&D expenditures -> Nonprofit organizations,All R&D expenditures,Nonprofit organizations,,2,5990077,15922,5974155
10095,r010,All R&D expenditures -> All other sources,All R&D expenditures,All other sources,,2,2638275,4888,2633387
10095,r011,All R&D expenditures -> Science,All R&D expenditures,Science,,2,76346853,120567,76226286
10095,r012,All R&D expenditures -> Science -> Computer and information sciences,All R&D expenditures,Science,Computer and information sciences,3,3232098,7149,3224949
10095,r013,"All R&D expenditures -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D expenditures,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,3699940,9705,3690235
10095,r014,All R&D expenditures -> Science -> Life sciences,All R&D expenditures,Science,Life sciences,3,56555981,57774,56498207
10095,r015,All R&D expenditures -> Science -> Mathematics and statistics,All R&D expenditures,Science,Mathematics and statistics,3,882746,3220,879526
10095,r016,All R&D expenditures -> Science -> Physical sciences,All R&D expenditures,Science,Physical sciences,3,6189165,21582,6167583
10095,r017,All R&D expenditures -> Science -> Psychology,All R&D expenditures,Science,Psychology,3,1447705,3811,1443894
10095,r018,All R&D expenditures -> Science -> Social sciences,All R&D expenditures,Science,Social sciences,3,3177966,12526,3165440
10095,r019,All R&D expenditures -> Science -> Sciences nec,All R&D expenditures,Science,Sciences nec,3,1161252,4800,1156452
10095,r020,All R&D expenditures -> Engineering,All R&D expenditures,Engineering,,2,15604248,7614,15596634
10095,r021,All R&D expenditures -> Non-S&E,All R&D expenditures,Non-S&E,,2,5890956,33348,5857608
