table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
6368,r001,All agencies,All agencies,,,,,1,2897912.5,70357.1,14899.7,94067.1,16302.7,205349.7,115557.7,281055.0,2100323.6
6368,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,
6368,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,55748.3,0.0,0.0,43.0,0.0,0.0,0.0,0.0,55705.3
6368,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,6405.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6405.9
6368,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,3863.4,0.0,0.0,43.0,0.0,0.0,0.0,0.0,3820.4
6368,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,45479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45479.0
6368,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,26118.4,140.0,0.0,24.0,0.0,7511.7,24.5,14100.8,4317.4
6368,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,26118.4,140.0,0.0,24.0,0.0,7511.7,24.5,14100.8,4317.4
6368,r009,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,589401.5,69272.0,14899.7,17396.1,12482.6,81883.3,55044.7,78435.0,259988.0
6368,r010,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,34362.5,0.0,0.0,0.0,0.0,5542.7,0.0,2613.0,26206.7
6368,r011,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,270596.1,37361.3,6241.7,5838.4,11.8,17697.8,19653.4,8465.6,175326.1
6368,r012,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,41710.1,3997.0,0.0,0.0,749.4,6364.0,13094.4,16452.6,1052.6
6368,r013,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,124403.3,15718.5,0.0,730.9,0.0,27654.4,3177.9,35371.7,41750.0
6368,r014,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,118329.6,12195.2,8658.0,10826.9,11721.4,24624.5,19119.0,15532.0,15652.7
6368,r015,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,50825.3,0.0,0.0,13104.1,0.0,15751.9,5705.8,9960.8,6302.7
6368,r016,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,13038.1,0.0,0.0,0.0,0.0,13038.1,0.0,0.0,0.0
6368,r017,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2336.6,0.0,0.0,144.0,0.0,105.0,0.0,1347.6,740.0
6368,r018,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,2336.6,0.0,0.0,144.0,0.0,105.0,0.0,1347.6,740.0
6368,r019,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,35450.5,0.0,0.0,12960.1,0.0,2608.8,5705.8,8613.2,5562.7
6368,r020,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,1295114.4,0.0,0.0,0.0,0.0,0.0,0.0,10450.4,1284664.1
6368,r021,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,1295114.4,0.0,0.0,0.0,0.0,0.0,0.0,10450.4,1284664.1
6368,r022,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,22702.8,945.0,0.0,0.0,0.0,0.0,0.0,0.0,21757.7
6368,r023,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,22702.8,945.0,0.0,0.0,0.0,0.0,0.0,0.0,21757.7
6368,r024,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,309.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.8
6368,r025,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,309.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.8
6368,r026,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,104.1,0.0,0.0,0.0,0.0,0.0,0.0,104.1,0.0
6368,r027,All agencies -> Departments -> Department of the Treasury -> U.S. Mint,All agencies,Departments,Department of the Treasury,U.S. Mint,,4,104.1,0.0,0.0,0.0,0.0,0.0,0.0,104.1,0.0
6368,r028,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,18531.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18531.6
6368,r029,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,,
6368,r030,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,838056.4,0.0,0.0,63499.8,3820.1,100202.8,54782.8,168003.9,447747.1
