table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_hierarchy_depth,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_2021,field_master_s_2022,field_master_s_change2018_22,field_master_s_change2021_22,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_2021,field_doctoral_2022,field_doctoral_change2018_22,field_doctoral_change2021_22
10751,r001,Part-time students,Part-time students,,,,,1,142659,153696,170619,179659,181693,27.4,1.1,34199,33979,35679,36674,37540,9.8,2.4
10751,r002,Part-time students -> U.S. citizens and permanent residents<sup>a</sup>,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,,,,2,121757,133180,146539,158843,153345,25.9,-3.5,25133,25327,25818,27403,28145,12.0,2.7
10751,r003,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Male,,,3,64500,69495,75037,78723,76439,18.5,-2.9,12752,12952,12934,13447,13515,6.0,0.5
10751,r004,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Female,,,3,57257,63685,71502,80120,76906,34.3,-4.0,12381,12375,12884,13956,14630,18.2,4.8
10751,r005,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,13912,16182,19314,21809,22200,59.6,1.8,2152,2302,2550,2666,2978,38.4,11.7
10751,r006,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,
10751,r007,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,534,581,562,612,537,0.6,-12.3,133,137,158,175,174,30.8,-0.6
10751,r008,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,12675,14401,16531,18932,19522,54.0,3.1,1961,2127,2061,2218,2359,20.3,6.4
10751,r009,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,12584,13615,14853,16213,15518,23.3,-4.3,2199,2478,2503,2858,2977,35.4,4.2
10751,r010,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,228,257,284,280,269,18.0,-3.9,44,43,40,42,38,-13.6,-9.5
10751,r011,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,69311,75359,81476,86873,81680,17.8,-6.0,16482,16121,16204,17071,17081,3.6,0.1
10751,r012,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,3665,4045,4692,5316,5079,38.6,-4.5,697,741,784,913,874,25.4,-4.3
10751,r013,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,,3,8848,8740,8827,8808,8540,-3.5,-3.0,1465,1378,1518,1460,1664,13.6,14.0
10751,r014,Part-time students -> Temporary visa holders,Part-time students,Temporary visa holders,,,,2,20902,20516,24080,20816,28348,35.6,36.2,9066,8652,9861,9271,9395,3.6,1.3
10751,r015,Part-time students -> Temporary visa holders -> Male,Part-time students,Temporary visa holders,Male,,,3,13357,12888,14819,12508,17573,31.6,40.5,6010,5719,6374,5885,5943,-1.1,1.0
10751,r016,Part-time students -> Temporary visa holders -> Female,Part-time students,Temporary visa holders,Female,,,3,7545,7628,9261,8308,10775,42.8,29.7,3056,2933,3487,3386,3452,13.0,1.9
10751,r017,Full-time students,Full-time students,,,,,1,248552,254532,243859,286954,319618,28.6,11.4,242897,247910,247656,256869,259683,6.9,1.1
10751,r018,Full-time students -> U.S. citizens and permanent residents<sup>a</sup>,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,,,,2,149533,154190,167766,178812,168660,12.8,-5.7,142158,143807,146928,150539,150149,5.6,-0.3
10751,r019,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Male,,,3,62052,62191,66803,69780,64543,4.0,-7.5,73849,73699,74278,74407,73050,-1.1,-1.8
10751,r020,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Female,,,3,87481,91999,100963,109032,104117,19.0,-4.5,68309,70108,72650,76132,77099,12.9,1.3
10751,r021,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,19011,20595,24436,26872,26103,37.3,-2.9,14009,15388,16379,17827,18340,30.9,2.9
10751,r022,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,
10751,r023,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,685,746,722,744,794,15.9,6.7,580,613,600,574,577,-0.5,0.5
10751,r024,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,15882,16900,18544,21675,21351,34.4,-1.5,14789,15416,15958,17378,18194,23.0,4.7
10751,r025,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,13294,13983,15989,16916,15880,19.5,-6.1,7866,7972,8571,9315,9641,22.6,3.5
10751,r026,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,269,285,294,317,272,1.1,-14.2,189,159,160,153,159,-15.9,3.9
10751,r027,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,86699,88477,93614,97735,90532,4.4,-7.4,93243,92588,92761,92519,90364,-3.1,-2.3
10751,r028,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,5455,5548,6377,6985,6923,26.9,-0.9,5047,5279,5726,6257,6455,27.9,3.2
10751,r029,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,,3,8238,7656,7790,7568,6805,-17.4,-10.1,6435,6392,6773,6516,6419,-0.2,-1.5
10751,r030,Full-time students -> Temporary visa holders,Full-time students,Temporary visa holders,,,,2,99019,100342,76093,108142,150958,52.5,39.6,100739,104103,100728,106330,109534,8.7,3.0
10751,r031,Full-time students -> Temporary visa holders -> Male,Full-time students,Temporary visa holders,Male,,,3,61405,61194,45489,65845,92976,51.4,41.2,65408,66857,64179,66682,68070,4.1,2.1
10751,r032,Full-time students -> Temporary visa holders -> Female,Full-time students,Temporary visa holders,Female,,,3,37614,39148,30604,42297,57982,54.2,37.1,35331,37246,36549,39648,41464,17.4,4.6
10751,r033,"Full-time students -> First time, full-time students",Full-time students,"First time, full-time students",,,,2,114214,116507,102096,147266,147317,29.0,0.05,45510,46525,41173,46670,47416,4.2,1.6
10751,r034,"Full-time students -> First time, full-time students -> U.S. citizens and permanent residents<sup>a</sup>",Full-time students,"First time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,,,3,67821,68897,79715,82441,72404,6.8,-12.2,27009,27177,27744,27515,26758,-0.9,-2.8
10751,r035,"Full-time students -> First time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male",Full-time students,"First time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Male,,4,28480,28005,32396,32799,28218,-0.9,-14.0,13558,13366,13419,12694,12294,-9.3,-3.2
10751,r036,"Full-time students -> First time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female",Full-time students,"First time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Female,,4,39341,40892,47319,49642,44186,12.3,-11.0,13451,13811,14325,14821,14464,7.5,-2.4
10751,r037,"Full-time students -> First time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",Full-time students,"First time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,8618,9034,11483,12193,10881,26.3,-10.8,2921,3267,3383,3669,3579,22.5,-2.5
10751,r038,"Full-time students -> First time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",Full-time students,"First time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,,,,,
10751,r039,"Full-time students -> First time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",Full-time students,"First time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,291,314,306,337,353,21.3,4.7,100,115,96,85,108,8.0,27.1
