table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11232,r884,All institutions -> Viterbo U.,All institutions,Viterbo U.,2,883,330,0,0,0,330,0
11232,r885,All institutions -> Dickinson C.,All institutions,Dickinson C.,2,884,330,330,0,0,0,0
11232,r886,All institutions -> Abilene Christian U.,All institutions,Abilene Christian U.,2,885,329,329,0,0,0,0
11232,r887,All institutions -> Gustavus Adolphus C.,All institutions,Gustavus Adolphus C.,2,886,325,325,0,0,0,0
11232,r888,All institutions -> Broward C.,All institutions,Broward C.,2,887,324,65,0,0,259,0
11232,r889,All institutions -> Chesapeake C.,All institutions,Chesapeake C.,2,888,317,63,0,0,254,0
11232,r890,All institutions -> St. Edward's U.,All institutions,St. Edward's U.,2,889,316,298,0,0,18,0
11232,r891,"All institutions -> U. West Alabama, The",All institutions,"U. West Alabama, The",2,890,313,6,0,0,306,0
11232,r892,"All institutions -> SUNY, C. Brockport, The",All institutions,"SUNY, C. Brockport, The",2,891,310,0,310,0,0,0
11232,r893,All institutions -> Whitworth U.,All institutions,Whitworth U.,2,891,310,310,0,0,0,0
11232,r894,All institutions -> C. Mainland,All institutions,C. Mainland,2,893,308,62,0,0,246,0
11232,r895,All institutions -> Framingham State U.,All institutions,Framingham State U.,2,894,304,304,0,0,0,0
11232,r896,"All institutions -> Concordia C., Moorhead",All institutions,"Concordia C., Moorhead",2,895,303,0,303,0,0,0
11232,r897,All institutions -> Hardin-Simmons U.,All institutions,Hardin-Simmons U.,2,896,301,301,0,0,0,0
11232,r898,"All institutions -> Westminster C., Salt Lake City",All institutions,"Westminster C., Salt Lake City",2,897,300,276,0,0,24,0
11232,r899,All institutions -> Skagit Valley C.,All institutions,Skagit Valley C.,2,898,300,276,0,0,24,0
11232,r900,All institutions -> St. Petersburg C.,All institutions,St. Petersburg C.,2,899,300,0,0,0,208,91
11232,r901,All institutions -> Lewis and Clark C.,All institutions,Lewis and Clark C.,2,900,299,183,0,0,117,0
11232,r902,All institutions -> Pratt Institute,All institutions,Pratt Institute,2,901,299,275,0,0,24,0
11232,r903,All institutions -> Merrimack C.,All institutions,Merrimack C.,2,902,299,299,0,0,0,0
11232,r904,"All institutions -> SUNY, Fulton-Montgomery Community C.",All institutions,"SUNY, Fulton-Montgomery Community C.",2,903,298,0,0,0,298,0
11232,r905,All institutions -> Babson C.,All institutions,Babson C.,2,904,297,297,0,0,0,0
11232,r906,All institutions -> Austin C.,All institutions,Austin C.,2,905,295,147,0,0,147,0
11232,r907,"All institutions -> Bennett C., Greensboro",All institutions,"Bennett C., Greensboro",2,906,293,293,0,0,0,0
11232,r908,All institutions -> Franklin W. Olin C. Engineering,All institutions,Franklin W. Olin C. Engineering,2,907,292,292,0,0,0,0
11232,r909,All institutions -> Vaughn C. Aeronautics and Technology,All institutions,Vaughn C. Aeronautics and Technology,2,908,285,57,0,0,228,0
11232,r910,All institutions -> Whitman C.,All institutions,Whitman C.,2,909,281,281,0,0,0,0
11232,r911,All institutions -> Ferris State U.,All institutions,Ferris State U.,2,910,272,272,0,0,0,0
11232,r912,All institutions -> Liberty U.,All institutions,Liberty U.,2,911,272,272,0,0,0,0
11232,r913,All institutions -> Wheeling U.,All institutions,Wheeling U.,2,912,270,270,0,0,0,0
11232,r914,All institutions -> Wenatchee Valley C.,All institutions,Wenatchee Valley C.,2,913,269,67,0,0,134,67
11232,r915,All institutions -> Berkshire Community C.,All institutions,Berkshire Community C.,2,914,269,0,0,0,269,0
11232,r916,All institutions -> Avila U.,All institutions,Avila U.,2,915,268,246,0,0,21,0
11232,r917,All institutions -> Pima Community C.,All institutions,Pima Community C.,2,916,267,245,0,0,21,0
11232,r918,All institutions -> Rhode Island C.,All institutions,Rhode Island C.,2,917,265,0,0,0,265,0
11232,r919,All institutions -> Rollins C.,All institutions,Rollins C.,2,918,261,261,0,0,0,0
11232,r920,All institutions -> Washington and Lee U.,All institutions,Washington and Lee U.,2,919,260,260,0,0,0,0
11232,r921,All institutions -> Galveston C.,All institutions,Galveston C.,2,920,259,238,0,0,21,0
11232,r922,All institutions -> Gonzaga U.,All institutions,Gonzaga U.,2,921,258,258,0,0,0,0
11232,r923,All institutions -> South Central C.,All institutions,South Central C.,2,922,257,51,0,0,206,0
11232,r924,All institutions -> Eastern Illinois U.,All institutions,Eastern Illinois U.,2,923,250,250,0,0,0,0
11232,r925,All institutions -> Johnson C. Smith U.,All institutions,Johnson C. Smith U.,2,923,250,0,0,0,0,250
11232,r926,"All institutions -> U. St. Thomas, Houston",All institutions,"U. St. Thomas, Houston",2,923,250,0,0,0,0,250
11232,r927,"All institutions -> St. Thomas U., Miami Gardens",All institutions,"St. Thomas U., Miami Gardens",2,926,250,0,0,0,0,250
11232,r928,All institutions -> State U. New York at Buffalo State C.,All institutions,State U. New York at Buffalo State C.,2,927,250,250,0,0,0,0
11232,r929,All institutions -> Houston Baptist U.,All institutions,Houston Baptist U.,2,928,250,230,0,0,20,0
11232,r930,All institutions -> U. Redlands,All institutions,U. Redlands,2,929,249,249,0,0,0,0
11232,r931,All institutions -> Saint Peter's U.,All institutions,Saint Peter's U.,2,930,249,249,0,0,0,0
11232,r932,All institutions -> Denison U.,All institutions,Denison U.,2,931,248,248,0,0,0,0
11232,r933,All institutions -> Milwaukee School of Engineering,All institutions,Milwaukee School of Engineering,2,932,248,248,0,0,0,0
11232,r934,All institutions -> Southern Utah U.,All institutions,Southern Utah U.,2,933,245,245,0,0,0,0
11232,r935,All institutions -> Webster U.,All institutions,Webster U.,2,934,245,0,0,0,245,0
11232,r936,All institutions -> U. Wisconsin-La Crosse,All institutions,U. Wisconsin-La Crosse,2,935,245,245,0,0,0,0
11232,r937,All institutions -> Montgomery Community C.,All institutions,Montgomery Community C.,2,936,242,0,0,0,242,0
11232,r938,All institutions -> Amarillo C.,All institutions,Amarillo C.,2,937,240,48,0,0,192,0
11232,r939,All institutions -> Tennessee Board of Regents,All institutions,Tennessee Board of Regents,2,938,240,240,0,0,0,0
11232,r940,All institutions -> U. Houston-Downtown,All institutions,U. Houston-Downtown,2,939,239,239,0,0,0,0
11232,r941,"All institutions -> Ivy Tech Community C., central office",All institutions,"Ivy Tech Community C., central office",2,940,238,119,0,0,119,0
11232,r942,All institutions -> U. La Verne,All institutions,U. La Verne,2,941,235,235,0,0,0,0
11232,r943,All institutions -> Walla Walla Community C.,All institutions,Walla Walla Community C.,2,942,235,71,0,0,165,0
11232,r944,All institutions -> U. of Sacred Heart,All institutions,U. of Sacred Heart,2,943,232,0,0,0,232,0
11232,r945,All institutions -> Connecticut C.,All institutions,Connecticut C.,2,944,223,223,0,0,0,0
11232,r946,All institutions -> State U. New York at Old Westbury,All institutions,State U. New York at Old Westbury,2,945,220,220,0,0,0,0
11232,r947,All institutions -> Winona State U.,All institutions,Winona State U.,2,946,212,212,0,0,0,0
11232,r948,All institutions -> Alma C.,All institutions,Alma C.,2,947,211,194,0,0,17,0
11232,r949,"All institutions -> Carlos Albizu U., San Juan",All institutions,"Carlos Albizu U., San Juan",2,948,206,0,0,0,206,0
