table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_all_full_time_employed_10_median_salary,field_all_full_time_employed_10_se,field_full_professor_median_salary,field_full_professor_se,field_full_professor_10_median_salary,field_full_professor_10_se,field_associate_professor_median_salary,field_associate_professor_se,field_associate_professor_10_median_salary,field_associate_professor_10_se,field_assistant_professor_median_salary,field_assistant_professor_se,field_assistant_professor_10_median_salary,field_assistant_professor_10_se,field_instructor_or_lecturer_median_salary,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_median_salary,field_instructor_or_lecturer_10_se,field_all_other_faculty_median_salary,field_all_other_faculty_se,field_all_other_faculty_10_median_salary,field_all_other_faculty_10_se,field_rank_not_applicable_median_salary,field_rank_not_applicable_se,field_rank_not_applicable_10_median_salary,field_rank_not_applicable_10_se
8151,r001,All fields,All fields,,,,1,75000,500,110000,500,77000,18500,135000,2000,88000,2000,100000,500,85000,1500,91000,2000,63000,3000,72000,1000,62000,7000,75000,5500,60000,500,91000,2500
8151,r002,All fields -> Male,All fields,Male,,,2,76000,1500,115000,1000,74000,12000,140000,1000,90000,2500,100000,500,89000,2000,95000,2500,60000,2000,75000,2500,65000,14000,75000,9500,60000,1000,95000,4000
8151,r003,All fields -> Female,All fields,Female,,,2,75000,1000,102000,2000,98000,26500,127000,4000,86000,2000,98000,2000,82000,1500,89000,2500,65000,2500,68000,3500,59000,6000,70000,7000,60000,1000,88000,2000
8151,r004,All fields -> Science,All fields,Science,,,2,72000,1000,108000,2000,76000,14500,130000,1000,84000,2500,97000,2000,82000,1500,90000,500,60000,2000,70000,2000,61000,7500,76000,8000,60000,500,90000,1000
8151,r005,All fields -> Science -> Male,All fields,Science,Male,,3,73000,1500,111000,2000,75000,19500,135000,2500,85000,1500,98000,2500,85000,1500,94000,3000,60000,1500,72000,3000,65000,13500,78000,10500,60000,1500,91000,3000
8151,r006,All fields -> Science -> Female,All fields,Science,Female,,3,71000,1500,100000,500,75000,35500,120000,3500,80000,3500,95000,2500,80000,1000,85000,3000,65000,3500,66000,3000,58000,6000,,,60000,500,87000,2000
8151,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,65000,500,109000,500,69000,30000,149000,3000,78000,4500,105000,3000,84000,2500,98000,3500,60000,2000,70000,2500,52000,5500,,,59000,1500,80000,2500
8151,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Male",All fields,Science,"Biological, agricultural, and environmental life sciences",Male,4,65000,1000,115000,4000,,,154000,5500,78000,10000,108000,4500,86000,4000,102000,4000,61000,3000,72000,2000,S,S,,,59000,1000,80000,5000
8151,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Female",All fields,Science,"Biological, agricultural, and environmental life sciences",Female,4,65000,1000,100000,1000,S,S,138000,5500,76000,7000,98000,2000,79000,1500,89000,3500,58000,3000,64000,5500,54000,11000,,,58000,1500,80000,5000
8151,r010,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,93000,2000,129000,7500,,,145000,5500,90000,4000,110000,2000,98000,3000,99000,2500,66000,3000,88000,6000,,,,,85000,4000,123000,15500
