table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d,field_r_d_rank,field_performer_source_of_funds_,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederald,field_business_total,field_business_own,field_business_paid_by_others_nonfederale,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_npo,field_higher_educationa_other,field_npos_federalf,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_percent,field_r_d_intensityc_rank
3627,r001,U.S. total<sup>g</sup>,U.S. total<sup>g</sup>,,1,606085,na,,36793,21563,21163,400,445637,381615,38823,25199,74897,37736,4210,4580,20704,5204,2465,8451,656,20611900,na,2.91,na
3627,r002,States total<sup>g</sup>,States total<sup>g</sup>,,1,579587,na,,32351,21172,20770,401,438454,375406,"38,337 - 38,568","24,447 - 24,708",79159,41856,4303,4713,20370,5438,2478,7816,635,20495101,na,2.83,na
3627,r003,States total<sup>g</sup> -> Alabama,States total<sup>g</sup>,Alabama,2,4876,26,,1524,0,0,0,2236,1284,101,851,1069,592,54,72,302,33,16,35,11,221031,27,2.21,24
3627,r004,States total<sup>g</sup> -> Alaska,States total<sup>g</sup>,Alaska,2,297,50,,95,0,0,0,25,20,4,1,165,111,4,3,45,1,1,5,7,54293,47,0.55,49
3627,r005,States total<sup>g</sup> -> Arizona,States total<sup>g</sup>,Arizona,2,7773,21,,126,34,24,10,6203,4673,715,815,1359,577,67,33,467,85,130,50,2,350718,20,2.22,23
3627,r006,States total<sup>g</sup> -> Arkansas,States total<sup>g</sup>,Arkansas,2,852,42,,28,0,0,0,471,423,28,19,343,126,66,12,119,9,12,10,0.05,127761,35,0.67,47
3627,r007,States total<sup>g</sup> -> California,States total<sup>g</sup>,California,2,164398,1,,2138,6462,6349,113,144524,129656,7691,7177,10175,5090,445,693,2249,1061,636,1021,78,2975083,1,5.53,5
3627,r008,States total<sup>g</sup> -> Colorado,States total<sup>g</sup>,Colorado,2,7712,22,,469,547,489,58,5032,4286,232,514,1552,1083,54,86,151,88,90,103,9,372453,16,2.07,27
3627,r009,States total<sup>g</sup> -> Connecticut,States total<sup>g</sup>,Connecticut,2,8851,16,,20,0,0,0,7488,6193,356,939,1287,709,9,96,360,99,14,34,23,279782,23,3.16,13
3627,r010,States total<sup>g</sup> -> Delaware,States total<sup>g</sup>,Delaware,2,2594,34,,3,0,0,0,2375,1432,933,9,208,132,14,5,48,5,4,6,3,74187,43,3.5,12
