table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_internet,field_television,field_book_or_other_print,field_newspaper,field_magazine,field_family,field_government_agency,field_friend_or_colleague,field_radio,field_library,field_don_t_know
2292,r001,"All adults (<i>n</i> = 1,175)","All adults (<i>n</i> = 1,175)",,1,70,11,7,2,2,2,2,1,1,1,1
2292,r002,Sex,Sex,,1,,,,,,,,,,,
2292,r003,Sex -> Male (<i>n</i> = 485),Sex,Male (<i>n</i> = 485),2,71,11,6,2,2,2,3,1,1,1,1
2292,r004,Sex -> Female (<i>n</i> = 690),Sex,Female (<i>n</i> = 690),2,70,12,8,2,2,2,1,1,1,1,1
2292,r005,Formal education,Formal education,,1,,,,,,,,,,,
2292,r006,Formal education -> Less than high school diploma (<i>n</i> = 137),Formal education,Less than high school diploma (<i>n</i> = 137),2,54,25,5,5,2,2,4,0.05,0,0,3
2292,r007,Formal education -> High school diploma (<i>n</i> = 362),Formal education,High school diploma (<i>n</i> = 362),2,68,14,7,2,2,2,1,1,1,0.05,1
2292,r008,Formal education -> Some college (<i>n</i> = 330),Formal education,Some college (<i>n</i> = 330),2,72,7,7,2,3,3,2,2,2,1,0.05
2292,r009,Formal education -> Bachelor's degree (<i>n</i> = 232),Formal education,Bachelor's degree (<i>n</i> = 232),2,77,7,10,1,1,1,0.05,0,1,1,1
2292,r010,Formal education -> Graduate or professional degree (<i>n</i> = 114),Formal education,Graduate or professional degree (<i>n</i> = 114),2,77,6,6,3,1,2,2,1,1,1,0
2292,r011,"Science and mathematics education<sup>a</sup><sup>,b</sup>","Science and mathematics education<sup>a</sup><sup>,b</sup>",,1,,,,,,,,,,,
2292,r012,"Science and mathematics education<sup>a</sup><sup>,b</sup> -> Low (<i>n</i> = 598)","Science and mathematics education<sup>a</sup><sup>,b</sup>",Low (<i>n</i> = 598),2,65,15,8,3,2,2,2,1,1,0.05,1
2292,r013,"Science and mathematics education<sup>a</sup><sup>,b</sup> -> Middle (<i>n</i> = 237)","Science and mathematics education<sup>a</sup><sup>,b</sup>",Middle (<i>n</i> = 237),2,75,7,5,1,2,3,2,0.05,1,1,1
2292,r014,"Science and mathematics education<sup>a</sup><sup>,b</sup> -> High (<i>n</i> = 252)","Science and mathematics education<sup>a</sup><sup>,b</sup>",High (<i>n</i> = 252),2,79,5,9,2,1,1,1,0.05,1,1,0
2292,r015,Family income (quartile)<sup>b</sup>,Family income (quartile)<sup>b</sup>,,1,,,,,,,,,,,
2292,r016,Family income (quartile)<sup>b</sup> -> Bottom (<i>n</i> = 277),Family income (quartile)<sup>b</sup>,Bottom (<i>n</i> = 277),2,60,16,8,3,2,3,3,1,0.05,1,1
2292,r017,Family income (quartile)<sup>b</sup> -> Third (<i>n</i> = 223),Family income (quartile)<sup>b</sup>,Third (<i>n</i> = 223),2,69,10,11,1,1,4,2,1,1,0.05,1
2292,r018,Family income (quartile)<sup>b</sup> -> Second (<i>n</i> = 290),Family income (quartile)<sup>b</sup>,Second (<i>n</i> = 290),2,75,8,7,2,2,2,1,2,1,1,0.05
2292,r019,Family income (quartile)<sup>b</sup> -> Top (<i>n</i> = 287),Family income (quartile)<sup>b</sup>,Top (<i>n</i> = 287),2,79,9,5,1,2,1,1,0.05,1,0.05,1
2292,r020,Age (years)<sup>b</sup>,Age (years)<sup>b</sup>,,1,,,,,,,,,,,
2292,r021,Age (years)<sup>b</sup> -> 18&#8211;24 (<i>n</i> = 94),Age (years)<sup>b</sup>,18&#8211;24 (<i>n</i> = 94),2,79,1,12,3,1,0,3,0.05,0,1,0
2292,r022,Age (years)<sup>b</sup> -> 25&#8211;34 (<i>n</i> = 225),Age (years)<sup>b</sup>,25&#8211;34 (<i>n</i> = 225),2,85,4,3,0.05,1,1,2,2,0.05,0,1
2292,r023,Age (years)<sup>b</sup> -> 35&#8211;44 (<i>n</i> = 206),Age (years)<sup>b</sup>,35&#8211;44 (<i>n</i> = 206),2,79,9,6,0.05,1,1,2,0,1,1,0
2292,r024,Age (years)<sup>b</sup> -> 45&#8211;54 (<i>n</i> = 190),Age (years)<sup>b</sup>,45&#8211;54 (<i>n</i> = 190),2,73,11,6,1,2,3,1,2,0,1,1
2292,r025,Age (years)<sup>b</sup> -> 55&#8211;64 (<i>n</i> = 186),Age (years)<sup>b</sup>,55&#8211;64 (<i>n</i> = 186),2,70,12,8,4,2,1,0,1,2,0,0.05
2292,r026,Age (years)<sup>b</sup> -> 65 or older (<i>n</i> = 269),Age (years)<sup>b</sup>,65 or older (<i>n</i> = 269),2,39,26,10,6,5,4,3,1,2,1,3
2292,r027,Trend factual knowledge of science scale (quartile)<sup>c</sup>,Trend factual knowledge of science scale (quartile)<sup>c</sup>,,1,,,,,,,,,,,
2292,r028,Trend factual knowledge of science scale (quartile)<sup>c</sup> -> Low (<i>n</i> = 227),Trend factual knowledge of science scale (quartile)<sup>c</sup>,Low (<i>n</i> = 227),2,62,20,5,5,1,1,1,1,0.05,1,2
2292,r029,Trend factual knowledge of science scale (quartile)<sup>c</sup> -> Middle (<i>n</i> = 512),Trend factual knowledge of science scale (quartile)<sup>c</sup>,Middle (<i>n</i> = 512),2,65,13,9,2,3,3,3,1,1,1,1
2292,r030,Trend factual knowledge of science scale (quartile)<sup>c</sup> -> High (<i>n</i> = 436),Trend factual knowledge of science scale (quartile)<sup>c</sup>,High (<i>n</i> = 436),2,80,5,7,2,2,1,1,1,1,0.05,1
